
[00:00:00.000 --> 00:00:07.480]  今日我們所講的題目是《作跨代傳承》
[00:00:07.480 --> 00:00:13.820]  英文是《約書亞記》二十四章一至三十一節
[00:00:13.820 --> 00:00:19.000]  這是教會主題的書卷
[00:00:19.000 --> 00:00:24.600]  《約書亞記》講道系列的今晚最後一講
[00:00:24.600 --> 00:00:32.200]  講題《作跨代傳承》亦回應教會年度的主題
[00:00:32.200 --> 00:00:35.320]  講到《跨代傳承》這個題目
[00:00:35.320 --> 00:00:44.160]  不知道大家會否覺得這個題目是又大又難的事呢?
[00:00:44.160 --> 00:00:46.800]  跟大家分享一張照片
[00:00:46.800 --> 00:00:49.080]  好 看到了
[00:00:49.080 --> 00:00:54.680]  大家猜猜在照片中間的位置
[00:00:54.680 --> 00:00:56.840]  都有一些帥哥
[00:00:56.840 --> 00:01:00.400]  還有頗多頭髮的人是誰呢?
[00:01:00.400 --> 00:01:04.080]  大家很聰明 是小弟
[00:01:04.080 --> 00:01:07.560]  當年是一九幾幾年
[00:01:07.560 --> 00:01:09.800]  即是N年之前
[00:01:09.800 --> 00:01:15.240]  大家或許都知道我現在是教會三福部的童工
[00:01:15.240 --> 00:01:18.720]  而當年我還未參加三福
[00:01:18.720 --> 00:01:24.160]  而是參與在學員傳道會的新生命領袖訓練
[00:01:24.160 --> 00:01:30.280]  是傳揚福音 栽培初信者和建立門徒的
[00:01:30.280 --> 00:01:32.400]  靠月神的恩典
[00:01:32.400 --> 00:01:37.080]  十幾年的時間建立了四代的門徒
[00:01:37.080 --> 00:01:41.760]  其中包括 都可以看回這張照片
[00:01:41.760 --> 00:01:45.240]  在我的左手邊這一位
[00:01:45.240 --> 00:01:50.160]  他現在已經是一間福音機構的董事
[00:01:50.160 --> 00:01:52.200]  在我右手邊那位
[00:01:52.200 --> 00:01:54.840]  他就以他建築師的專業
[00:01:54.840 --> 00:01:58.320]  在宣教工場當中的服事
[00:01:58.320 --> 00:01:59.840]  其實在當中
[00:01:59.840 --> 00:02:02.760]  並不是我自己有什麼優勝之處
[00:02:02.760 --> 00:02:04.760]  是並無的
[00:02:04.760 --> 00:02:06.840]  而是只要我們去到中心
[00:02:06.840 --> 00:02:09.000]  去到葦新和全城的時候
[00:02:09.000 --> 00:02:12.880]  神就會讓我們看到那份傳承的果效
[00:02:12.880 --> 00:02:16.360]  其實我們每一位 在座每一位
[00:02:16.360 --> 00:02:18.360]  都是可以做得到的
[00:02:18.360 --> 00:02:21.880]  現在也讓我們進入經文裡
[00:02:21.880 --> 00:02:25.360]  看看約書亞如何做跨代的傳承
[00:02:25.360 --> 00:02:29.520]  他是作最後的膠棒
[00:02:29.520 --> 00:02:32.520]  在約書亞記二十四章裡
[00:02:32.520 --> 00:02:34.400]  約書亞召集以色列人
[00:02:34.400 --> 00:02:37.480]  重申了神的歷史和恩典
[00:02:37.480 --> 00:02:43.280]  回顧從亞伯拉罕到出埃及的拯救
[00:02:43.280 --> 00:02:47.560]  他呼籲人民要選擇侍奉耶和華
[00:02:47.560 --> 00:02:50.640]  最終以色列人納約
[00:02:50.640 --> 00:02:54.960]  承諾要去敬拜那位獨一的真神
[00:02:54.960 --> 00:02:59.200]  並且紀念約書亞的教導
[00:02:59.200 --> 00:03:03.680]  讓我們一同去禱告
[00:03:03.680 --> 00:03:05.840]  親愛的天父 我們獻上感恩
