
[00:00:00.000 --> 00:00:03.320]  早前坊間有一本書叫做母親使用說明書
[00:00:03.320 --> 00:00:05.320]  不知道下一張頭影片看看
[00:00:05.320 --> 00:00:08.840]  我看到下面有個幾年級的小朋友拿著來看
[00:00:08.840 --> 00:00:11.880]  這本書教他如何跟媽媽相處
[00:00:11.880 --> 00:00:16.880]  媽媽發惡的時候又可以怎樣
[00:00:16.880 --> 00:00:18.880]  媽媽很多要求的時候又可以怎樣
[00:00:18.880 --> 00:00:23.680]  我看見其實有沒有一本父親使用說明書
[00:00:23.680 --> 00:00:29.000]  我看到一個微信上有人寫了一個進程
[00:00:29.000 --> 00:00:33.320]  他說子女跟父親的關係有一個進程
[00:00:33.320 --> 00:00:40.480]  會跟質疑父親、對抗父親、理解父親、接受父親
[00:00:40.480 --> 00:00:42.480]  最後可以成為父親
[00:00:42.480 --> 00:00:44.480]  但到最後發現自己都不如父親
[00:00:44.480 --> 00:00:46.480]  我們未必每個人都走這條路
[00:00:46.480 --> 00:00:50.000]  可能今天你聽見爸爸已經勾起你很多負面的情緒
[00:00:50.000 --> 00:00:52.000]  不如我們一起祈禱一起禱告
[00:00:52.000 --> 00:00:55.000]  七夕天父我求你自己的靈系我們同在
[00:00:55.000 --> 00:00:57.000]  特別當我們今天從聖經裏面
[00:00:57.000 --> 00:01:01.000]  從律法書、自慰書、先知書、新約去看
[00:01:01.000 --> 00:01:03.000]  上帝你創造的裏面
[00:01:03.000 --> 00:01:05.000]  你將家庭放在我們當中
[00:01:05.000 --> 00:01:07.000]  我們每一個人都有父親
[00:01:07.000 --> 00:01:12.000]  這個設置對我們的生命的意義是一個甚麼的意義
[00:01:12.000 --> 00:01:14.000]  求你的靈去臨到我們的裏面
[00:01:14.000 --> 00:01:16.000]  醫治我們、提升我們
[00:01:16.000 --> 00:01:18.000]  亦都與你相遇
[00:01:18.000 --> 00:01:20.000]  我們這樣禱告奉耶穌基督的名
[00:01:20.000 --> 00:01:25.000]  父子的溝通
[00:01:25.000 --> 00:01:28.000]  我們中國人有句說話叫無仇不成父子
[00:01:28.000 --> 00:01:31.000]  很多時候我們都有很多的坐塞
[00:01:31.000 --> 00:01:36.000]  當我發微信的一個訊息
[00:01:36.000 --> 00:01:38.000]  去到我國內的親人群組
[00:01:38.000 --> 00:01:42.000]  我的姐姐加了一句可能是先崇拜父親
[00:01:42.000 --> 00:01:45.000]  我自己小時候都崇拜父親
[00:01:45.000 --> 00:01:49.000]  但卻是一直與爸爸的相處裏面
[00:01:49.000 --> 00:01:51.000]  我懂事之後其實很長期
[00:01:51.000 --> 00:01:53.000]  與我爸爸有對抗亦都質疑
[00:01:53.000 --> 00:01:56.000]  因為我媽媽與我爸爸的關係很差
[00:01:56.000 --> 00:01:58.000]  我亦都相信我爸爸是一個不顧家的人
[00:01:58.000 --> 00:02:01.000]  亦都相信我爸爸是一個曾經有暴力的人
[00:02:01.000 --> 00:02:03.000]  而我對我爸爸很反感
[00:02:03.000 --> 00:02:04.000]  去到大學的時候
[00:02:04.000 --> 00:02:06.000]  我爸爸來到香港的時候
[00:02:06.000 --> 00:02:08.000]  我亂與我媽媽一起對抗他
