
[00:00:00.000 --> 00:00:20.000]  「祝大家中秋節快樂」
[00:00:20.000 --> 00:00:23.000]  讓我們在正道之先有一個禱告
[00:00:24.000 --> 00:00:27.000]  慈悲人,愛天父,我們感謝讚美你,謝謝你
[00:00:27.000 --> 00:00:32.000]  讓我們在這個節日裡,都回到你的殿裡去敬拜你
[00:00:32.000 --> 00:00:36.000]  求主帶領以下時間,讓我們無論聽的、說的
[00:00:36.000 --> 00:00:39.000]  都得著你自己的提醒和教導
[00:00:39.000 --> 00:00:44.000]  聽我們的禱告,是奉主耶穌基督,明治而求,阿們
[00:00:44.000 --> 00:00:48.000]  弟子們,相信大家都同意
[00:00:48.000 --> 00:00:52.000]  敬拜是每一間教會的焦點活動
[00:00:52.000 --> 00:00:58.000]  在華人教會裡,主日的崇拜,很多時候都稱為禮拜
[00:00:58.000 --> 00:01:00.000]  實在是很有意思
[00:01:00.000 --> 00:01:04.000]  我們敬拜一位至高無上的神
[00:01:04.000 --> 00:01:10.000]  並且,這位神願意輔助人而住在他的子民中間
[00:01:10.000 --> 00:01:13.000]  我們敬拜的神就是一位這樣的大能神
[00:01:13.000 --> 00:01:17.000]  我們實在是應該以禮去敬拜祂
[00:01:17.000 --> 00:01:21.000]  既然如此,如果我們使一個崇拜
[00:01:21.000 --> 00:01:24.000]  好像陪靈會或粉兄會那樣
[00:01:24.000 --> 00:01:29.000]  要求要有所得著,才是真正崇拜的話
[00:01:29.000 --> 00:01:33.000]  這樣對神作出,就是無禮的敬拜了
[00:01:33.000 --> 00:01:39.000]  我們怎樣才算是以禮去敬拜神呢?
[00:01:39.000 --> 00:01:43.000]  我們敬拜神的態度,又應該怎樣呢?
[00:01:43.000 --> 00:01:48.000]  這兩個問題,很值得我們去深思細想
[00:01:48.000 --> 00:01:52.000]  有見及此,週六晚堂的崇拜
[00:01:52.000 --> 00:01:56.000]  由今晚開始至十二月尾
[00:01:56.000 --> 00:01:59.000]  目者們會透過七篇詩篇
[00:01:59.000 --> 00:02:02.000]  與弟兄姊妹一起學習
[00:02:02.000 --> 00:02:05.000]  詩人怎樣去敬拜神的心
