
[00:00:00.000 --> 00:00:02.840]  「姐姐啦敬拜隊」剛帶領我們有敬拜時間
[00:00:02.840 --> 00:00:05.320]  剛剛的詩歌裡也有一次
[00:00:05.320 --> 00:00:06.720]  我自己也被提醒
[00:00:06.720 --> 00:00:08.320]  我們回來的目的
[00:00:08.320 --> 00:00:10.320]  或者我們每一個星期為何回來呢
[00:00:10.320 --> 00:00:12.280]  雖然剛剛也問了會否是習慣
[00:00:12.280 --> 00:00:13.120]  可能也是
[00:00:13.120 --> 00:00:14.760]  不過很想你帶著
[00:00:14.760 --> 00:00:16.920]  今天上帝呼喚你回來
[00:00:16.920 --> 00:00:18.360]  是因為祂要告訴你
[00:00:18.360 --> 00:00:19.760]  祂多麼愛你
[00:00:19.760 --> 00:00:22.200]  很想你回想祂對你的恩典
[00:00:22.200 --> 00:00:23.720]  還有這個也成為我們
[00:00:23.720 --> 00:00:26.840]  進入今天崇拜的一個開始
[00:00:27.440 --> 00:00:30.640]  今天是和大家分享信息
[00:00:30.640 --> 00:00:31.680]  上帝的說話
[00:00:31.680 --> 00:00:33.400]  不過在進入經文之前
[00:00:33.400 --> 00:00:35.320]  也想和大家分享一下
[00:00:35.320 --> 00:00:36.040]  一件開心的事
[00:00:36.040 --> 00:00:38.720]  上個星期我有機會放假
[00:00:38.720 --> 00:00:41.800]  去了一個星期和朋友去濟州
[00:00:41.800 --> 00:00:44.720]  不知道大家有沒有人去過濟州
[00:00:44.720 --> 00:00:46.400]  去到那個地方
[00:00:46.400 --> 00:00:47.480]  看到一樣東西
[00:00:47.480 --> 00:00:49.040]  是經常出現的
[00:00:49.040 --> 00:00:50.560]  到處都能看到的
[00:00:50.560 --> 00:00:52.120]  大家猜一下是什麼
[00:00:52.120 --> 00:00:53.840]  牛
[00:00:53.840 --> 00:00:55.680]  韓國人
[00:00:55.680 --> 00:00:57.040]  昨天有人跟我說
[00:00:57.040 --> 00:00:58.560]  他以為我會說帥哥
[00:00:58.560 --> 00:00:59.800]  但其實沒有
