
[00:00:00.000 --> 00:00:04.320]  大園姐妹 今天回來和大家實體崇拜
[00:00:04.320 --> 00:00:06.560]  大家有什麼感覺?
[00:00:06.560 --> 00:00:08.560]  是啊 真的很開心 很開心
[00:00:08.560 --> 00:00:12.600]  我們再一次給我們的神掌聲
[00:00:12.600 --> 00:00:18.400]  原本今天這個講道是在1月23日講的
[00:00:18.400 --> 00:00:20.080]  但現在改為今天講
[00:00:20.080 --> 00:00:25.400]  足足過了三個月沒有和大家實體見面
[00:00:25.400 --> 00:00:29.080]  今天我們會繼續宣講五堂的講道系列
[00:00:29.080 --> 00:00:31.080]  就是提摩太前書
[00:00:31.080 --> 00:00:34.800]  所以我很想和大家一起先讀出經文
[00:00:34.800 --> 00:00:38.480]  第八節我是想請弟兄讀的
[00:00:38.480 --> 00:00:41.320]  第九至第十節就請姐妹讀
[00:00:41.320 --> 00:00:45.000]  等下的十一至十五節我們就一起讀
[00:00:45.000 --> 00:00:47.000]  OK 大家預備好了嗎?
[00:00:47.000 --> 00:00:49.000]  這麼小聲的
[00:00:49.000 --> 00:00:52.280]  好 那就請弟兄先 麻煩你
[00:00:52.600 --> 00:01:21.080]  (教堂禮儀)
[00:01:21.080 --> 00:01:23.080]  好 一起讀吧
[00:01:23.080 --> 00:01:27.880]  女人應該安靜而又完全順服地學習
[00:01:27.880 --> 00:01:31.880]  我不准女人教導或克制男人
[00:01:31.880 --> 00:01:33.880]  女人總要安靜
[00:01:33.880 --> 00:01:38.280]  因為先做的是亞當 後做的是夏娃
[00:01:38.280 --> 00:01:40.680]  不是亞當受了引誘
[00:01:40.680 --> 00:01:43.160]  而是女人受了引誘
[00:01:43.160 --> 00:01:45.400]  陷在過犯裡面
[00:01:45.400 --> 00:01:51.640]  然而女人要事常常存著信心 愛心 聖潔自律
[00:01:51.640 --> 00:01:55.080]  在她生育的事上必定得救
[00:01:55.080 --> 00:01:57.080]  好 我們一起禱告
[00:01:57.080 --> 00:02:01.320]  全能的真神 我們敬拜你
[00:02:01.320 --> 00:02:03.960]  因為你掌管萬事萬物
[00:02:03.960 --> 00:02:08.760]  感謝你今天再次帶領我們回到教會來敬拜你
[00:02:08.760 --> 00:02:12.120]  原來能夠一起實體聚會不是必然
[00:02:12.120 --> 00:02:14.120]  我們真的要好好珍惜
[00:02:14.120 --> 00:02:16.360]  願神你熱吶我們每一個人
[00:02:16.360 --> 00:02:18.360]  渴望敬拜你的心
[00:02:18.360 --> 00:02:20.360]  願你願意在聽到的時候
[00:02:20.360 --> 00:02:24.360]  聖令你來引導我們個人的內心
[00:02:24.360 --> 00:02:26.360]  跟我們說一句話
[00:02:26.360 --> 00:02:29.240]  叫我們明白真理 又活出真理
[00:02:29.240 --> 00:02:31.240]  我們以上誠心禱告
[00:02:31.240 --> 00:02:33.240]  是奉主耶穌基督聖名祈求
[00:02:33.240 --> 00:02:35.240]  阿們
[00:02:35.240 --> 00:02:37.240]  好 在開始的時候我很想問一下大家
[00:02:37.240 --> 00:02:39.240]  不知道大家坐車的時候
[00:02:39.240 --> 00:02:43.240]  有沒有試過看到有些人火車還沒到站
[00:02:43.240 --> 00:02:45.240]  知不知道是什麼
[00:02:45.240 --> 00:02:47.240]  褲鏈還沒拉好
[00:02:47.240 --> 00:02:51.240]  如果你看到一個中年男士
[00:02:51.240 --> 00:02:53.240]  火車還沒到站 你會怎樣
[00:02:53.240 --> 00:02:55.240]  我想先問問弟兄
[00:02:55.240 --> 00:02:57.240]  你會不會走過去告訴他
[00:02:57.240 --> 00:02:59.240]  如果會的話你舉手
[00:02:59.240 --> 00:03:01.240]  會喔
[00:03:01.240 --> 00:03:03.240]  那我想問問姐妹
[00:03:03.240 --> 00:03:05.240]  你會不會
[00:03:05.240 --> 00:03:07.240]  會的 舉手
[00:03:07.240 --> 00:03:09.240]  少了很多隻
[00:03:09.240 --> 00:03:11.240]  我都好像只有一隻
[00:03:11.240 --> 00:03:13.240]  一隻手來舉起
[00:03:13.240 --> 00:03:15.240]  我也不會
[00:03:15.240 --> 00:03:17.240]  我們多數都不會
[00:03:17.240 --> 00:03:19.240]  因為都不認識他
[00:03:19.240 --> 00:03:21.240]  都不知道說了之後會有什麼反應
[00:03:21.240 --> 00:03:23.240]  但如果這個是我的家人
[00:03:23.240 --> 00:03:25.240]  就不同了
[00:03:25.240 --> 00:03:27.240]  我一定會提醒他
[00:03:27.240 --> 00:03:29.240]  因為我關心他
[00:03:29.240 --> 00:03:31.240]  愛他
[00:03:31.240 --> 00:03:33.240]  不想他繼續出人身
