
[00:00:00.000 --> 00:00:08.000]  很感謝建良牧師及秀芬牧師邀請我到紫堂分享訊息
[00:00:08.000 --> 00:00:11.000]  我都在跟隨你們的YouTube
[00:00:11.000 --> 00:00:14.000]  發現每一次的訊息都是鼓舞弟兄姊妹去紫堂
[00:00:14.000 --> 00:00:17.000]  事實上現在我也想了解一下
[00:00:17.000 --> 00:00:21.000]  因為我現在講道的時候也可能是要祈禱聖靈恩高
[00:00:21.000 --> 00:00:24.000]  還有祝福真的會團隊去紫堂服侍弟兄姊妹
[00:00:24.000 --> 00:00:26.000]  有多少人你們真的打算去的?
[00:00:26.000 --> 00:00:28.000]  舉手看看
[00:00:28.000 --> 00:00:32.000]  我們為你們祝福為你們感恩
[00:00:32.000 --> 00:00:34.000]  這個訊息可能也是為你們而設的
[00:00:34.000 --> 00:00:36.000]  我們一起先祈禱吧
[00:00:36.000 --> 00:00:39.000]  文藝天父 以馬來尼 以馬來尼
[00:00:39.000 --> 00:00:42.000]  今天充滿著讚美的聲音 讚美的歌詞
[00:00:42.000 --> 00:00:44.000]  願因為因為臨到紫堂
[00:00:44.000 --> 00:00:47.000]  還有他們將要去北區 整個社區
[00:00:47.000 --> 00:00:50.000]  你要預備一切的地方
[00:00:50.000 --> 00:00:53.000]  一切要服侍的弟兄姊妹 僕人們
[00:00:53.000 --> 00:00:58.000]  還有見諒和受方去建立一個新的地方
[00:00:58.000 --> 00:01:02.000]  在裡面 主你更加要預備福音的大能
[00:01:02.000 --> 00:01:07.000]  要招聚更多微信主的羊群來到主的羊圈裡
[00:01:07.000 --> 00:01:10.000]  所以神啊 我們就帶著一份興奮的心情
[00:01:10.000 --> 00:01:14.000]  讚美的歌聲 要直到那個區裡面
[00:01:14.000 --> 00:01:17.000]  去到紫堂的堂子附近
[00:01:17.000 --> 00:01:21.000]  一路吸引人的心歸向主的王國裡
[00:01:21.000 --> 00:01:24.000]  我們將以下聽信息的空間交託
[00:01:24.000 --> 00:01:27.000]  求主你親身的賜我們受教聆聽的耳朵
[00:01:27.000 --> 00:01:29.000]  禱告彭主明 阿們
[00:01:29.000 --> 00:01:32.000]  你們的廣道大綱請可以打開
[00:01:32.000 --> 00:01:34.000]  今天的題目是
[00:01:34.000 --> 00:01:37.000]  不再是我的服侍素質
[00:01:37.000 --> 00:01:40.000]  其實在我的powerpoint底頁
[00:01:40.000 --> 00:01:41.000]  我改了一些地方
[00:01:41.000 --> 00:01:45.000]  因為為了慶賀我的親愛同工
[00:01:45.000 --> 00:01:47.000]  見諒和受方
[00:01:47.000 --> 00:01:50.000]  所以雖然我的中文很差
[00:01:50.000 --> 00:01:52.000]  我也改成這樣
[00:01:52.000 --> 00:01:53.000]  幫我一起倒模
[00:01:53.000 --> 00:01:58.000]  不再是我的服侍建造素質
[00:01:58.000 --> 00:02:01.000]  想說的就是不再是我們
[00:02:01.000 --> 00:02:04.000]  但是服侍是為了建造生命
[00:02:04.000 --> 00:02:06.000]  照亮人間
[00:02:06.000 --> 00:02:09.000]  服侍是為了我們的服侍有素質
[00:02:09.000 --> 00:02:10.000]  有生命的素質
[00:02:10.000 --> 00:02:13.000]  以致能夠散發主的芬芳
[00:02:13.000 --> 00:02:15.000]  所以希望大家帶著這份心境
[00:02:15.000 --> 00:02:17.000]  陪同兩位的目者
[00:02:17.000 --> 00:02:20.000]  去一個新的地方服侍
[00:02:20.000 --> 00:02:22.000]  不過我們出去服侍
[00:02:22.000 --> 00:02:26.000]  不是帶著舊友舊人的服侍素質和態度
[00:02:26.000 --> 00:02:28.000]  不再是我的服侍素質
[00:02:28.000 --> 00:02:29.000]  這個題目我曾經想過
[00:02:29.000 --> 00:02:31.000]  你告訴我有什麼分別
[00:02:31.000 --> 00:02:32.000]  我曾經想過
[00:02:32.000 --> 00:02:35.000]  不如用非我的服侍建造素質
[00:02:35.000 --> 00:02:39.000]  你覺得非我的和不再是我的有什麼分別
[00:02:39.000 --> 00:02:42.000]  聽到我說了嗎
[00:02:42.000 --> 00:02:44.000]  另一個選項
[00:02:44.000 --> 00:02:47.000]  非我的和不再是我的有什麼分別
[00:02:47.000 --> 00:02:51.000]  不再是我的即是我有個舊我
[00:02:51.000 --> 00:02:54.000]  但我現在再服侍神是要學習新的
[00:02:54.000 --> 00:02:56.000]  不再用舊我
[00:02:56.000 --> 00:02:58.000]  但非我的是什麼
[00:02:58.000 --> 00:03:00.000]  我去到新堂了
[00:03:00.000 --> 00:03:02.000]  總之我就要參與
[00:03:02.000 --> 00:03:04.000]  我來到就要表演一下自己
[00:03:04.000 --> 00:03:06.000]  總之你看到我不好的東西
[00:03:06.000 --> 00:03:07.000]  與我無關
[00:03:07.000 --> 00:03:08.000]  非我的
[00:03:08.000 --> 00:03:09.000]  不屬於我的
[00:03:09.000 --> 00:03:12.000]  這種不擁有自己的服侍態度
[00:03:12.000 --> 00:03:14.000]  和質素的心態
[00:03:14.000 --> 00:03:16.000]  不太適合去子堂的隊工
[00:03:16.000 --> 00:03:19.000]  但另一個去我的
[00:03:19.000 --> 00:03:22.000]  我給你第三個選項
[00:03:22.000 --> 00:03:24.000]  去我的服侍建造素質
[00:03:24.000 --> 00:03:26.000]  你覺得哪個好一點
[00:03:26.000 --> 00:03:27.000]  第三個好不好聽
[00:03:27.000 --> 00:03:30.000]  有人懂得點頭
[00:03:30.000 --> 00:03:32.000]  有人懂得轉頭
[00:03:32.000 --> 00:03:33.000]  我想過很久
[00:03:33.000 --> 00:03:34.000]  祈禱了之後都不用第三個
[00:03:34.000 --> 00:03:36.000]  第三個比較粗鄙
[00:03:36.000 --> 00:03:37.000]  去我的
[00:03:37.000 --> 00:03:39.000]  如果你說去你的就真的大件事
[00:03:39.000 --> 00:03:41.000]  即是普通話的粗口
[00:03:41.000 --> 00:03:44.000]  我也不想大家那麼粗暴
[00:03:44.000 --> 00:03:45.000]  其實不再是我
[00:03:45.000 --> 00:03:46.000]  待會我們結束的時候
[00:03:46.000 --> 00:03:49.000]  就會宣讀迦太書二章二十節
[00:03:49.000 --> 00:03:53.000]  保留一個很崇高的對神的偉身
[00:03:53.000 --> 00:03:54.000]  所以大家大兄姊妹
[00:03:54.000 --> 00:03:56.000]  其實我們在學習侍奉裡
[00:03:56.000 --> 00:03:58.000]  不處都是學習除去舊我的自我
[00:03:58.000 --> 00:03:59.000]  敗壞的素質
[00:03:59.000 --> 00:04:01.000]  不再是我的素質
[00:04:01.000 --> 00:04:03.000]  是強調正面屬基督的性情
[00:04:03.000 --> 00:04:04.000]  和服侍的質素
[00:04:04.000 --> 00:04:06.000]  去充滿著屬靈的果子
[00:04:06.000 --> 00:04:07.000]  去到新的堂子
[00:04:07.000 --> 00:04:08.000]  榮神益人
[00:04:08.000 --> 00:04:09.000]  回首自己
[00:04:09.000 --> 00:04:11.000]  在恩福堂明年都退休了
[00:04:11.000 --> 00:04:12.000]  應該退休了
[00:04:12.000 --> 00:04:15.000]  其實我都二十四年了
[00:04:15.000 --> 00:04:16.000]  差不多
[00:04:16.000 --> 00:04:17.000]  我發覺什麼時間
[00:04:17.000 --> 00:04:19.000]  我在我的侍奉裡
[00:04:19.000 --> 00:04:20.000]  能夠最造就人
[00:04:20.000 --> 00:04:21.000]  最能夠榮耀到神
[00:04:21.000 --> 00:04:23.000]  往往就是我的自我
[00:04:23.000 --> 00:04:25.000]  我能夠自己否定自己
[00:04:25.000 --> 00:04:27.000]  或者是被人否定
[00:04:27.000 --> 00:04:28.000]  我想問你
[00:04:28.000 --> 00:04:29.000]  你想被人否定你
[00:04:29.000 --> 00:04:31.000]  還是自我否定好一點
[00:04:31.000 --> 00:04:32.000]  自我否定好一點
[00:04:32.000 --> 00:04:33.000]  不用那麼慘
[00:04:33.000 --> 00:04:34.000]  被人否定你
[00:04:34.000 --> 00:04:37.000]  要慢慢學精學鬼
[00:04:37.000 --> 00:04:39.000]  往往就是肯寫記的時候
[00:04:39.000 --> 00:04:41.000]  肯信服神的時候
[00:04:41.000 --> 00:04:43.000]  肯憑信心為主擺上的時候
[00:04:43.000 --> 00:04:45.000]  不從己意的時候
[00:04:45.000 --> 00:04:46.000]  所以今天我們上次的題目是
[00:04:46.000 --> 00:04:49.000]  追求不再是我的服侍素質
[00:04:49.000 --> 00:04:52.000]  我們一起讀出德蘭修女這一句譯句
[00:04:52.000 --> 00:04:53.000]  好不好
[00:04:53.000 --> 00:04:54.000]  我不會讀英文的
[00:04:54.000 --> 00:04:56.000]  因為我們是用廣東話的
[00:04:56.000 --> 00:04:57.000]  我們一起讀個譯句
[00:04:57.000 --> 00:04:59.000]  如果你們有些弟子很聰明
[00:04:59.000 --> 00:05:00.000]  我譯了出來之後
[00:05:00.000 --> 00:05:01.000]  都會寫回應
[00:05:01.000 --> 00:05:02.000]  只說你譯得不好
[00:05:02.000 --> 00:05:03.000]  我告訴你
