
[00:00:00.000 --> 00:00:03.560]  好 大家早安 很開心又見到大家
[00:00:03.560 --> 00:00:05.000]  又一個星期了
[00:00:05.000 --> 00:00:07.000]  剛剛透過敬拜隊
[00:00:07.000 --> 00:00:09.400]  我相信他們的師哥都預備了我們的心
[00:00:09.400 --> 00:00:12.400]  同樣地 每次都想問大家一個問題
[00:00:12.400 --> 00:00:14.800]  大家回來是為了什麼呢?
[00:00:14.800 --> 00:00:16.200]  我想透過剛剛的師哥
[00:00:16.200 --> 00:00:17.400]  他都預備了我們的心
[00:00:17.400 --> 00:00:19.000]  知道我們每個星期回來
[00:00:19.000 --> 00:00:21.400]  是因為我們有一位愛我們的上帝
[00:00:21.400 --> 00:00:24.800]  他很想藉著無論師哥還是上帝的話
[00:00:24.800 --> 00:00:25.800]  去提醒我們
[00:00:25.800 --> 00:00:29.800]  我們是那位被愛 被祝福的一個群體
[00:00:29.800 --> 00:00:32.600]  希望你今天也藉著上帝的話
[00:00:32.600 --> 00:00:35.600]  去成為你的提醒 安慰和鼓勵
[00:00:35.600 --> 00:00:38.200]  還記得我之前和大家一起
[00:00:38.200 --> 00:00:40.800]  一直都在分享一個聖經人物
[00:00:40.800 --> 00:00:42.000]  就是約瑟
[00:00:42.000 --> 00:00:43.600]  我們已經講過兩次了
[00:00:43.600 --> 00:00:46.800]  這次會是第三次去講約瑟這個故事
[00:00:46.800 --> 00:00:50.000]  亦都是來到最後一個篇幅 篇章
[00:00:50.000 --> 00:00:54.000]  今天會去看《創世記》45章1至15節
[00:00:54.000 --> 00:00:57.000]  開始之前 我想分享一下
[00:00:57.000 --> 00:00:59.400]  最近有看過一本書
[00:00:59.400 --> 00:01:01.200]  這個人叫斯托德
[00:01:01.200 --> 00:01:02.800]  作者叫John Stott
[00:01:02.800 --> 00:01:05.600]  他其實也寫過很多有關基督教
[00:01:05.600 --> 00:01:08.000]  或者信仰裏面的書籍
[00:01:08.000 --> 00:01:10.200]  他裏面說了一句話
[00:01:10.200 --> 00:01:14.000]  他說其中一個影響著整個世界的潮流
[00:01:14.000 --> 00:01:15.600]  叫做自戀主義
[00:01:15.600 --> 00:01:17.000]  自戀主義不是說
[00:01:17.000 --> 00:01:18.800]  可能你會馬上看你旁邊那個
[00:01:18.800 --> 00:01:20.200]  是不是他經常很喜歡自拍
[00:01:20.200 --> 00:01:22.400]  不是這種自戀主義
[00:01:22.400 --> 00:01:26.000]  這個自戀主義是一個闊一點的想法
[00:01:26.000 --> 00:01:27.000]  或者一個文化
[00:01:27.000 --> 00:01:31.400]  是說很多時候人會過分陶醉在自我的世界
[00:01:31.400 --> 00:01:35.000]  他只看到自己 而看不到其他事物
[00:01:35.000 --> 00:01:36.800]  我想和大家去了解一下
[00:01:36.800 --> 00:01:39.000]  什麼是自戀主義
[00:01:39.000 --> 00:01:41.800]  左手邊有一幅圖
[00:01:41.800 --> 00:01:45.400]  其實是說自戀主義是基於什麼
[00:01:45.400 --> 00:01:47.400]  原來它有另一個名字
[00:01:47.400 --> 00:01:49.400]  叫做納西斯主義
[00:01:49.400 --> 00:01:52.800]  原來是基於一個希臘的神話
[00:01:52.800 --> 00:01:54.400]  這個神話故事是說什麼呢
[00:01:54.400 --> 00:01:56.200]  你會看到那裏有一個男士
[00:01:56.200 --> 00:01:57.800]  是一個男人 青年
[00:01:57.800 --> 00:01:59.800]  原來這個故事是說
[00:01:59.800 --> 00:02:03.000]  有一個希臘的年輕 晉美的青年
[00:02:03.000 --> 00:02:05.000]  他有一天在湖水裏面
[00:02:05.000 --> 00:02:06.600]  看到自己的倒影
[00:02:06.600 --> 00:02:07.800]  看到自己的倒影之後
[00:02:07.800 --> 00:02:10.200]  他就迷上了自己的形象
[00:02:10.200 --> 00:02:12.400]  覺得真的很漂亮
[00:02:12.400 --> 00:02:15.000]  他就越走越近水面
[00:02:15.000 --> 00:02:17.800]  他最後就掉進了湖裏面
[00:02:17.800 --> 00:02:20.000]  最後就淹死了
