
[00:00:00.000 --> 00:00:05.200]  各位晚安 Hello 我是Mona牧師
[00:00:05.200 --> 00:00:07.200]  為什麼今天突然說自己的名字呢
[00:00:07.200 --> 00:00:11.200]  因為今天可能有些新朋友回來了
[00:00:11.200 --> 00:00:13.200]  所以Hello 大家好
[00:00:13.200 --> 00:00:17.200]  想多次說Hello
[00:00:17.200 --> 00:00:21.200]  Hello 情人節快樂
[00:00:21.200 --> 00:00:23.200]  今天是情人節
[00:00:23.200 --> 00:00:25.200]  明天是什麼日子
[00:00:25.200 --> 00:00:29.200]  年廿八 再次恭祝大家
[00:00:29.200 --> 00:00:33.200]  新年平平安安 喜樂喜樂
[00:00:33.200 --> 00:00:37.200]  通常情人節新年都會找些節目
[00:00:37.200 --> 00:00:39.200]  通常大家會去哪裏呢
[00:00:39.200 --> 00:00:41.200]  你猜猜
[00:00:41.200 --> 00:00:43.200]  花市 很應節
[00:00:43.200 --> 00:00:47.200]  有放假可能會去主題樂園
[00:00:47.200 --> 00:00:49.200]  玩玩 開心一下
[00:00:49.200 --> 00:00:51.200]  我認為最多人
[00:00:51.200 --> 00:00:53.200]  我先移動咪高峰
[00:00:53.200 --> 00:00:55.200]  我認為最多人玩
[00:00:55.200 --> 00:01:01.200]  很有可能是過山車
[00:01:01.200 --> 00:01:05.200]  過山車很厲害
[00:01:05.200 --> 00:01:07.200]  在日本後面有富士山
[00:01:07.200 --> 00:01:09.200]  很厲害的過山車
[00:01:09.200 --> 00:01:11.200]  轉來轉去
[00:01:11.200 --> 00:01:13.200]  大家有玩過過山車嗎
[00:01:13.200 --> 00:01:15.200]  很喜歡玩嗎
[00:01:15.200 --> 00:01:17.200]  因為很刺激
[00:01:17.200 --> 00:01:21.200]  為什麼說過山車呢
[00:01:21.200 --> 00:01:23.200]  純粹想踢今天的主題
[00:01:23.200 --> 00:01:25.200]  今天的主題是
[00:01:25.200 --> 00:01:27.200]  想落過山車
[00:01:27.200 --> 00:01:31.200]  因為主題公園不單止有過山車
[00:01:31.200 --> 00:01:33.200]  本來我有想過
[00:01:33.200 --> 00:01:35.200]  什麼是想落呢
[00:01:35.200 --> 00:01:37.200]  我有想過
[00:01:37.200 --> 00:01:39.200]  今天的主題的名字
[00:01:39.200 --> 00:01:41.200]  我想著
[00:01:41.200 --> 00:01:43.200]  過山車人生
[00:01:43.200 --> 00:01:45.200]  你會想起什麼
[00:01:45.200 --> 00:01:47.200]  起起跌跌
[00:01:47.200 --> 00:01:49.200]  或者人生過山車
[00:01:49.200 --> 00:01:51.200]  你會想起什麼
[00:01:51.200 --> 00:01:53.200]  起起跌跌
[00:01:53.200 --> 00:01:55.200]  今天快過年了
[00:01:55.200 --> 00:01:57.200]  不是太好
[00:01:57.200 --> 00:01:59.200]  所以我就想落過山車
[00:01:59.200 --> 00:02:03.200]  可能像我們人生一樣
[00:02:03.200 --> 00:02:05.200]  有時候是大上大落
[00:02:05.200 --> 00:02:07.200]  會有高有低
[00:02:07.200 --> 00:02:11.200]  為什麼是過山車呢
[00:02:11.200 --> 00:02:13.200]  要專門說
[00:02:13.200 --> 00:02:15.200]  一會兒的見證分享
[00:02:15.200 --> 00:02:17.200]  大家就會聽到
[00:02:17.200 --> 00:02:19.200]  今天是福音聖崇拜
[00:02:19.200 --> 00:02:21.200]  第一次回來
[00:02:21.200 --> 00:02:23.200]  我們這裏
[00:02:23.200 --> 00:02:25.200]  崇拜的朋友
[00:02:25.200 --> 00:02:27.200]  第一次回來
[00:02:27.200 --> 00:02:29.200]  有沒有
[00:02:29.200 --> 00:02:31.200]  可能不好意思說
[00:02:31.200 --> 00:02:33.200]  有沒有
[00:02:33.200 --> 00:02:35.200]  雖然你不是基督徒
[00:02:35.200 --> 00:02:37.200]  或者教徒
[00:02:37.200 --> 00:02:39.200]  但是被人邀請了回來
[00:02:39.200 --> 00:02:41.200]  有沒有
[00:02:41.200 --> 00:02:43.200]  有沒有
[00:02:43.200 --> 00:02:49.200]  有啊
[00:02:49.200 --> 00:02:51.200]  歡迎歡迎
[00:02:51.200 --> 00:02:53.200]  對方一定一定
[00:02:53.200 --> 00:02:55.200]  非常非常愛你
[00:02:55.200 --> 00:02:57.200]  和關心你
[00:02:57.200 --> 00:02:59.200]  是不是
[00:02:59.200 --> 00:03:01.200]  因為他情人節
[00:03:01.200 --> 00:03:03.200]  叫你回來教會
[00:03:03.200 --> 00:03:05.200]  你一定一定一定
[00:03:05.200 --> 00:03:07.200]  非常非常愛和關心他
[00:03:07.200 --> 00:03:09.200]  因為你居然來了
[00:03:09.200 --> 00:03:11.200]  或者你今天
[00:03:11.200 --> 00:03:13.200]  自己來的經過教會
[00:03:13.200 --> 00:03:15.200]  你都一定一定一定
[00:03:15.200 --> 00:03:17.200]  非常非常被一個
[00:03:17.200 --> 00:03:19.200]  愛你的神所吸引回來
[00:03:19.200 --> 00:03:21.200]  同樣今天你回來教會
[00:03:21.200 --> 00:03:23.200]  居然連
[00:03:23.200 --> 00:03:25.200]  廿七和情人節
[00:03:25.200 --> 00:03:27.200]  都回來
[00:03:27.200 --> 00:03:29.200]  你一定一定一定非常非常愛這個神
[00:03:29.200 --> 00:03:31.200]  說回今天的主題
[00:03:31.200 --> 00:03:33.200]  想落過山車
[00:03:33.200 --> 00:03:35.200]  聖經肯定
[00:03:35.200 --> 00:03:37.200]  沒有提過過山車
[00:03:37.200 --> 00:03:39.200]  如果有你告訴我
