
[00:00:00.000 --> 00:00:02.000]  頂枝會平安
[00:00:02.000 --> 00:00:06.400]  很想大家給掌聲敬拜隊
[00:00:06.400 --> 00:00:09.400]  還有台前幕後的工作人員
[00:00:09.400 --> 00:00:13.480]  雖然我們不是在同一個空間敬拜
[00:00:13.480 --> 00:00:16.200]  但你可以透過打emoji
[00:00:16.200 --> 00:00:18.200]  或者在你的房間拍手
[00:00:18.200 --> 00:00:20.880]  對於我們都是一個很大的鼓勵
[00:00:20.880 --> 00:00:22.880]  我先介紹一下自己
[00:00:22.880 --> 00:00:24.880]  可能大家未必經常見到我
[00:00:24.880 --> 00:00:26.880]  我是凌峰
[00:00:26.880 --> 00:00:28.880]  我是青少年的傳道
[00:00:28.880 --> 00:00:30.880]  今天是青少主日
[00:00:30.880 --> 00:00:32.880]  所以你會見到我們有很多年青人
[00:00:32.880 --> 00:00:34.880]  一起帶我們去敬拜
[00:00:34.880 --> 00:00:38.880]  我經常都問年青人一個問題
[00:00:38.880 --> 00:00:40.880]  通常當我講到的時候
[00:00:40.880 --> 00:00:42.880]  我都會邀請他們去想一下
[00:00:42.880 --> 00:00:44.880]  在敬拜裏面
[00:00:44.880 --> 00:00:48.880]  如果你要那句說話去形容下
[00:00:48.880 --> 00:00:50.880]  你今次在敬拜裏面的體會的時候
[00:00:50.880 --> 00:00:52.880]  你會怎樣去形容呢
[00:00:52.880 --> 00:00:54.880]  頂枝會我都很想鼓勵你
[00:00:54.880 --> 00:00:56.880]  你都可以去想一下
[00:00:56.880 --> 00:00:58.880]  我們每個星期回來敬拜
[00:00:58.880 --> 00:01:00.880]  都是一個歷程我們經歷著
[00:01:00.880 --> 00:01:02.880]  所以都鼓勵你
[00:01:02.880 --> 00:01:04.880]  你可以去想一下
[00:01:04.880 --> 00:01:06.880]  究竟今天的敬拜
[00:01:06.880 --> 00:01:08.880]  一班年青人帶我們去敬拜的時候
[00:01:08.880 --> 00:01:10.880]  你有什麼不同的體會呢
[00:01:10.880 --> 00:01:12.880]  今天是青少主日
[00:01:12.880 --> 00:01:14.880]  很想透過今天的訊息
[00:01:14.880 --> 00:01:16.880]  和大家分享一下青少部的議長
[00:01:16.880 --> 00:01:18.880]  和現在年青人的需要
[00:01:18.880 --> 00:01:20.880]  同樣都很想
[00:01:20.880 --> 00:01:22.880]  讓今天的訊息
[00:01:22.880 --> 00:01:24.880]  成為我們現在基督徒
