
[00:00:00.000 --> 00:00:03.200]  各位頂姐妹,各位朋友,早安!
[00:00:03.200 --> 00:00:08.000]  在網上的,我們都能夠在神的話語旋律中聚集
[00:00:08.000 --> 00:00:15.000]  我們很感謝敬拜隊帶領我們在詩歌裡,在靈裡進入到神的面前
[00:00:15.000 --> 00:00:22.000]  我知道Louis牧師和Gloria牧師是我們六組負責的區牧
[00:00:22.000 --> 00:00:25.000]  他們現在是在安息年假裡
[00:00:25.000 --> 00:00:29.000]  我們叫安息年假,沒有一年,只有兩個月
[00:00:29.000 --> 00:00:32.000]  所以我們也要紀念他們可以有一個好的休息
[00:00:32.000 --> 00:00:35.000]  當然我們現在有很多球員在下面,大家看到
[00:00:35.000 --> 00:00:38.000]  我們有根叔、Dixon、Ginny
[00:00:38.000 --> 00:00:41.000]  他們在我們裡面一起彼此配搭
[00:00:41.000 --> 00:00:44.000]  特別是上個星期六是打風
[00:00:44.000 --> 00:00:48.000]  打風我們剛剛打完六組這一堂
[00:00:48.000 --> 00:00:52.000]  神好有恩典,六晚那一堂,四點半就除風球
[00:00:52.000 --> 00:00:54.000]  我們其實有一個八點的崇拜
[00:00:54.000 --> 00:00:59.000]  我們五點鐘如果還不除風球的話,我們就要取消了
[00:00:59.000 --> 00:01:02.000]  四點半除了風球,其實我們很雀躍
[00:01:02.000 --> 00:01:10.000]  那種雀躍的心是因為我們都很願意回到神面前去敬拜那份心
[00:01:10.000 --> 00:01:13.000]  也很感謝上個星期六,就算這裡打風
[00:01:13.000 --> 00:01:16.000]  有幾位群的弟兄姐妹一起回到我們當中
[00:01:16.000 --> 00:01:19.000]  一起有個直播
[00:01:19.000 --> 00:01:22.000]  其實我們還有一些倉底貨
[00:01:22.000 --> 00:01:26.000]  我們有些已經預錄了的崇拜
[00:01:26.000 --> 00:01:29.000]  如果最嚴峻的時候可以播出來
[00:01:29.000 --> 00:01:31.000]  但我們還是不想播出來
[00:01:31.000 --> 00:01:36.000]  我們很想跟大家一起有一個相交的時間
[00:01:36.000 --> 00:01:38.000]  一起直播的時間
[00:01:38.000 --> 00:01:41.000]  很感謝弟兄姐妹的擺相
[00:01:41.000 --> 00:01:43.000]  我們今天一起來到神的面前
[00:01:43.000 --> 00:01:45.000]  我們做一次的禱告
[00:01:45.000 --> 00:01:49.000]  主要我們在社會的變幻裡面
[00:01:49.000 --> 00:01:54.000]  我們都有很多的震驚和憤怒在過去的日子
[00:01:54.000 --> 00:01:58.000]  但求主讓我們在先知的話語裡面
[00:01:58.000 --> 00:02:01.000]  在你自己的教導裡面我們得著安慰
[00:02:01.000 --> 00:02:05.000]  在主耶穌的救恩裡面我們得著肯定
[00:02:05.000 --> 00:02:10.000]  以致我們心中有一個矛是連到永生的裡面
[00:02:10.000 --> 00:02:12.000]  心裡面不恐懼
[00:02:12.000 --> 00:02:16.000]  以致我們的生命是被人看見能夠平靜安穩
[00:02:16.000 --> 00:02:18.000]  主就是這樣讓我們同在
[00:02:18.000 --> 00:02:20.000]  我們禱告奉耶穌基督的名
[00:02:20.000 --> 00:02:23.000]  我們一路說著以西結書
[00:02:23.000 --> 00:02:25.000]  今天來到六祖很難得
[00:02:25.000 --> 00:02:27.000]  我有機會來到六祖
[00:02:27.000 --> 00:02:30.000]  六祖有種很舒服的敬拜心
[00:02:30.000 --> 00:02:32.000]  今天有天朗氣清
[00:02:32.000 --> 00:02:34.000]  來到當中
[00:02:34.000 --> 00:02:35.000]  我講回一章
[00:02:35.000 --> 00:02:36.000]  我知道大家聽了第四章
[00:02:36.000 --> 00:02:38.000]  我想跟大家分享第三章
[00:02:38.000 --> 00:02:41.000]  我讀給大家聽頭三章頭影片
[00:02:41.000 --> 00:02:45.000]  第四第五章頭影片我們一起開口去讀
[00:02:45.000 --> 00:02:47.000]  到時候我會告訴大家
[00:02:47.000 --> 00:02:50.000]  我們先將神的話在心裡面
[00:02:51.000 --> 00:02:53.000]  在以西結書第三章
[00:02:53.000 --> 00:02:55.000]  聖經這樣記載
[00:02:55.000 --> 00:02:57.000]  那時靈將我舉起
[00:02:57.000 --> 00:03:01.000]  我就聽見在我身後有極大震動的聲音
[00:03:01.000 --> 00:03:05.000]  耶華的榮耀從他所在之處是應當稱頌的
[00:03:05.000 --> 00:03:07.000]  有活脈的翅膀相碰的聲音
[00:03:07.000 --> 00:03:10.000]  也有活脈旁邊輪指的聲音
[00:03:10.000 --> 00:03:12.000]  是極大震動的聲音
[00:03:12.000 --> 00:03:14.000]  於是靈將我舉起
[00:03:14.000 --> 00:03:15.000]  帶著我走
[00:03:15.000 --> 00:03:16.000]  我就去了
[00:03:16.000 --> 00:03:17.000]  十分苦惱
[00:03:17.000 --> 00:03:18.000]  我的靈火熱
[00:03:18.000 --> 00:03:21.000]  耶華的手重重地按在我身上
[00:03:21.000 --> 00:03:25.000]  我就來到提勒亞不那些志在加巴魯河邊
[00:03:25.000 --> 00:03:27.000]  被露的人那裡
[00:03:27.000 --> 00:03:29.000]  到他們住的地方
[00:03:29.000 --> 00:03:32.000]  在他們中間驚惡地坐了七天
[00:03:32.000 --> 00:03:33.000]  過了七天
[00:03:33.000 --> 00:03:34.000]  耶華的話臨到我說
[00:03:34.000 --> 00:03:35.000]  人子啊
[00:03:35.000 --> 00:03:37.000]  我立你作以色列家的守望者
[00:03:37.000 --> 00:03:39.000]  所以你要聽我口中的話
[00:03:39.000 --> 00:03:41.000]  替我警戒他們
[00:03:41.000 --> 00:03:44.000]  我何時指著惡人說他必要死
[00:03:44.000 --> 00:03:45.000]  你若不警戒他
[00:03:45.000 --> 00:03:46.000]  也不勸告他
