
[00:00:00.000 --> 00:00:05.020]  改頂姊妹早安,主奈平安
[00:00:05.020 --> 00:00:10.400]  今日我的講題就是女人愛靚,男人要面
[00:00:10.400 --> 00:00:11.900]  我們一齊有個禱告先
[00:00:11.900 --> 00:00:19.680]  天父多謝你,因為你今天帶領我們回到神的家
[00:00:19.680 --> 00:00:25.300]  我們剛才在敬拜裏面,都是先預備我們的心去信服你
[00:00:25.300 --> 00:00:28.800]  不惜一切信服你的份事
[00:00:28.800 --> 00:00:32.420]  主求你預備我們的心去信服你自己的說話
[00:00:32.420 --> 00:00:33.660]  聽你的禱告
[00:00:33.660 --> 00:00:37.240]  我們這樣祈禱,交託奉主明求,阿們
[00:00:37.240 --> 00:00:41.820]  今日這個講題,我不知道大家認不認同呢?
[00:00:41.820 --> 00:00:45.180]  聽到有些認同
[00:00:45.180 --> 00:00:51.780]  我都愛靚的,記得我結婚那天是零下十度以下
[00:00:51.780 --> 00:00:56.780]  我穿著一件吊帶的婚紗,又不肯穿外套
[00:00:56.780 --> 00:00:58.940]  當然是愛靚
[00:00:58.940 --> 00:01:02.780]  平時都會電髮,染髮
[00:01:02.780 --> 00:01:06.780]  一去髮型屋要坐多少個鐘,很多個鐘
[00:01:06.780 --> 00:01:10.780]  還可能會傷頭髮,不過都會整的
[00:01:10.780 --> 00:01:14.280]  有沒有聽過女人愛靚,不愛?
[00:01:14.280 --> 00:01:18.280]  雖然我們未去到這個地步
[00:01:18.280 --> 00:01:23.780]  不過我們都會用很多金錢買護膚品,化妝品
[00:01:23.780 --> 00:01:29.780]  要付出時間,金錢大小,受一點苦都能忍的
[00:01:29.780 --> 00:01:31.780]  但是男人可能都愛靚的
[00:01:31.780 --> 00:01:35.780]  不過有一樣東西可能更加愛,就是面子
[00:01:35.780 --> 00:01:37.780]  我不知道大家又認不認同呢?
[00:01:37.780 --> 00:01:42.780]  以弗所書那裡說,男人是很需要敬重的
[00:01:42.780 --> 00:01:45.780]  大兄,是不是?
[00:01:45.780 --> 00:01:47.780]  需要妻子的敬重
[00:01:47.780 --> 00:01:50.780]  一般人通常透過什麼呢?
[00:01:50.780 --> 00:01:57.780]  拿到這些面子,就是成就,金錢,財力,權力,地位等等
[00:01:57.780 --> 00:02:01.780]  很多年前林子祥有一首歌叫做《真的漢子》
[00:02:01.780 --> 00:02:03.780]  大家有沒有聽過呢?
[00:02:03.780 --> 00:02:06.780]  跟我差不多年代
[00:02:06.780 --> 00:02:08.780]  歌詞裡面有一句這樣說
[00:02:08.780 --> 00:02:14.780]  做個真的漢子,承擔起苦痛跟失意
[00:02:14.780 --> 00:02:20.780]  其實這個歌就告訴我們,男人是需要付代價,辛苦,拼命
[00:02:20.780 --> 00:02:26.780]  都要做個真的漢子,要man,有面子
[00:02:26.780 --> 00:02:32.780]  不過女人當然都可以要面子,都喜歡面子
[00:02:32.780 --> 00:02:37.780]  無論男女,其實愛靚和要面子,大家覺得有沒有錯呢?
[00:02:37.780 --> 00:02:39.780]  沒有錯的
