
[00:00:00.000 --> 00:00:03.000]  大英姐妹朋友們,祝你平安
[00:00:03.000 --> 00:00:06.000]  不知道是不是戴了口罩很多呢?
[00:00:06.000 --> 00:00:09.000]  說話都很沙沙的
[00:00:09.000 --> 00:00:13.000]  剛才Roger上來的時候說腦退化
[00:00:13.000 --> 00:00:15.000]  記憶力失退
[00:00:15.000 --> 00:00:17.000]  我也有一點
[00:00:17.000 --> 00:00:20.000]  但是當我牽著太太的時候
[00:00:20.000 --> 00:00:22.000]  我發覺有很多事情的回憶
[00:00:22.000 --> 00:00:26.000]  因為如果不是牽著她
[00:00:26.000 --> 00:00:27.000]  沒有身體的接觸
[00:00:27.000 --> 00:00:30.000]  很多時候都可能忘記了很多事情
[00:00:30.000 --> 00:00:32.000]  但是每一次牽著她的時候
[00:00:32.000 --> 00:00:35.000]  很多過去的片段
[00:00:35.000 --> 00:00:38.000]  每一個記憶
[00:00:38.000 --> 00:00:40.000]  和她生活的每一個片段
[00:00:40.000 --> 00:00:42.000]  都走回來了
[00:00:42.000 --> 00:00:44.000]  原來觸摸
[00:00:44.000 --> 00:00:46.000]  Touching可以令人治癒
[00:00:46.000 --> 00:00:48.000]  甚至提醒了你
[00:00:48.000 --> 00:00:53.000]  更加令我想起今天的講題
[00:00:53.000 --> 00:00:55.000]  I do 兩個字
[00:00:55.000 --> 00:00:57.000]  所以在正道之先
[00:00:57.000 --> 00:00:59.000]  我們同心禱告
[00:00:59.000 --> 00:01:02.000]  至愛天父,我們感謝祢
[00:01:02.000 --> 00:01:04.000]  祢賜下生命給我們
[00:01:04.000 --> 00:01:07.000]  也讓我們能夠進入祢的盟約當中
[00:01:07.000 --> 00:01:08.000]  成為祢的兒女
[00:01:08.000 --> 00:01:10.000]  願祢賜福以下時間
[00:01:10.000 --> 00:01:13.000]  讓所講所聽的同盟祝福
[00:01:13.000 --> 00:01:16.000]  禱告奉救主耶穌基督明治祈求
[00:01:16.000 --> 00:01:17.000]  阿們
[00:01:17.000 --> 00:01:20.000]  剛才說到I do
[00:01:20.000 --> 00:01:22.000]  I do 兩個英文字翻譯
