
[00:00:00.000 --> 00:00:02.800]  最近看新聞就知道
[00:00:02.800 --> 00:00:08.800]  政府有兩個團隊最近獲得行政長官的表揚
[00:00:08.800 --> 00:00:10.080]  今日的新聞來的
[00:00:10.080 --> 00:00:16.480]  其中有一個叫做處理戰時炸彈跨部門行動及支援組
[00:00:16.480 --> 00:00:17.480]  有點長是吧
[00:00:17.480 --> 00:00:24.920]  這個小組原來是由保安局的緊急事故監察及支援中心
[00:00:24.920 --> 00:00:30.880]  警務處、消防處及民政事務處組成的
[00:00:30.880 --> 00:00:33.080]  顧名思義不識配不要緊
[00:00:33.080 --> 00:00:34.880]  總之就是拆彈
[00:00:34.880 --> 00:00:39.520]  有一位代表官員在記者會上表示
[00:00:39.520 --> 00:00:46.880]  原來上年九月他們有一次頗重要的拆彈經驗
[00:00:46.880 --> 00:00:55.600]  就是在側宇涌濱海街的地盤發現一千磅的戰時炸彈
[00:00:55.600 --> 00:00:59.600]  這次任務就比較複雜
[00:00:59.600 --> 00:01:01.200]  他們不是第一次拆彈
[00:01:01.200 --> 00:01:03.200]  這次是第九次拆彈
[00:01:03.200 --> 00:01:06.000]  這次複雜的一來炸彈很厲害
[00:01:06.000 --> 00:01:08.000]  二來很近民居
[00:01:08.000 --> 00:01:10.800]  所以要拆彈都要特別小心
[00:01:10.800 --> 00:01:12.280]  難度是特別高
[00:01:12.280 --> 00:01:19.000]  當然幸好他們很專業平安地拆除炸彈
[00:01:19.000 --> 00:01:23.000]  附近的民居、鄉下都沒有受到波及
[00:01:23.000 --> 00:01:28.200]  所以雖然二次大戰已經結束很多年
[00:01:28.200 --> 00:01:33.000]  但原來都遺留了不少炸彈
[00:01:33.000 --> 00:01:38.000]  幸好有拆彈的團隊守護著我們
[00:01:38.000 --> 00:01:42.000]  同樣我們信主都可能很多年
[00:01:42.000 --> 00:01:46.800]  信主前生命的雜質可能還未完全清除
[00:01:46.800 --> 00:01:48.600]  隨時會爆炸
[00:01:48.600 --> 00:01:50.000]  但要感謝神
[00:01:50.000 --> 00:01:54.600]  原來神一早賜下聖靈在我們的生命當中
[00:01:54.600 --> 00:01:58.000]  我們有沒有忽略祂呢?
[00:01:58.000 --> 00:02:04.200]  今晚讓我們透過《使徒行傳》一段關於聖靈的記載
[00:02:04.200 --> 00:02:07.800]  去看看我們可以怎樣去抓緊聖靈
[00:02:07.800 --> 00:02:09.800]  去過得性的生活
[00:02:09.800 --> 00:02:13.800]  我們一起祈禱吧
[00:02:13.800 --> 00:02:15.800]  親愛的天父,我們來到祢的面前
[00:02:15.800 --> 00:02:17.800]  我們為剛才的直心姐妹
[00:02:17.800 --> 00:02:20.800]  祂好心經歷祢的帶領和鼓勵
[00:02:20.800 --> 00:02:22.400]  去到感謝祢
[00:02:22.400 --> 00:02:24.000]  明天祂接受水禮
[00:02:24.000 --> 00:02:27.200]  求祢賜福祂,使用祂在往後的日子
[00:02:27.200 --> 00:02:29.400]  繼續堅心地去信靠祢
[00:02:29.400 --> 00:02:31.600]  經歷祢的同在和大能
[00:02:31.600 --> 00:02:33.400]  今晚我們要提督聖靈
[00:02:33.400 --> 00:02:34.800]  求真理的聖靈
[00:02:34.800 --> 00:02:37.800]  帶領我們進入祢的真理當中
[00:02:37.800 --> 00:02:39.200]  多謝你聽我們祈禱
[00:02:39.200 --> 00:02:41.200]  奉耶穌基督的聖名
[00:02:41.200 --> 00:02:43.200]  阿門
[00:02:43.200 --> 00:02:44.800]  我們一起讀今晚的經文
[00:02:44.800 --> 00:02:49.000]  在《使徒行傳》19章1至7節
[00:02:49.000 --> 00:02:50.600]  弟兄請讀單節
[00:02:50.600 --> 00:02:52.000]  姐妹讀雙節
[00:02:52.000 --> 00:02:53.400]  預備起
[00:02:53.400 --> 00:02:56.400]  阿波羅在哥林多的時候
[00:02:56.400 --> 00:02:59.400]  保羅經過了內陸地區
