
[00:00:00.000 --> 00:00:06.000]  大家都知道嘉德傳道在昨天回到自己的懷中
[00:00:06.000 --> 00:00:13.000]  我有張照片 用來在這個空間紀念懷念她
[00:00:13.000 --> 00:00:17.000]  昨天早上收到Mandy
[00:00:17.000 --> 00:00:22.000]  以前我們同工收到嘉德姐姐的電話
[00:00:22.000 --> 00:00:27.000]  我和太太趕到醫院裏面
[00:00:27.000 --> 00:00:28.000]  在香港仔的醫院
[00:00:28.000 --> 00:00:31.000]  當時在醫生巡訪時
[00:00:31.000 --> 00:00:35.000]  都發覺嘉德已經在睡夢中回到自己的懷中
[00:00:35.000 --> 00:00:39.000]  其實在過去一路癌症的醫治裏
[00:00:39.000 --> 00:00:41.000]  她很想有個派對
[00:00:41.000 --> 00:00:43.000]  她說她走了之後要有個派對
[00:00:43.000 --> 00:00:47.000]  我們錄了她很多的生平 講了很多東西
[00:00:47.000 --> 00:00:49.000]  這個派對會在即將到來
[00:00:49.000 --> 00:00:51.000]  到時大家記得出席
[00:00:51.000 --> 00:00:53.000]  這是她的心願
[00:00:53.000 --> 00:01:00.000]  她期望捐給大學作為大體老師去服侍
[00:01:00.000 --> 00:01:02.000]  所以我都很感恩
[00:01:02.000 --> 00:01:04.000]  今早收到同工的懷念時
[00:01:04.000 --> 00:01:09.000]  我想用了何師母 何瑞薇牧師的一段
[00:01:09.000 --> 00:01:12.000]  因為她和嘉德有很長的日子
[00:01:12.000 --> 00:01:14.000]  所以她的紀念都很實在
[00:01:14.000 --> 00:01:16.000]  她說很欣賞她的豪邁
[00:01:16.000 --> 00:01:18.000]  嘉德真的很豪邁 大家記得她
[00:01:18.000 --> 00:01:20.000]  我和她去工作時
[00:01:20.000 --> 00:01:23.000]  被她趕到我裙拉褲甩
[00:01:23.000 --> 00:01:25.000]  她經常說快點快點
[00:01:25.000 --> 00:01:27.000]  還未起床就要刷牙
[00:01:27.000 --> 00:01:32.000]  所以我覺得這是我對她很深的印象
[00:01:32.000 --> 00:01:34.000]  當然除了她的豪邁
[00:01:34.000 --> 00:01:37.000]  其實她對靈裏的敏銳和罪惡的恨惡
[00:01:37.000 --> 00:01:39.000]  是我在她身上一個很大的學習
[00:01:39.000 --> 00:01:43.000]  第二 何瑞薇師母寫到
[00:01:43.000 --> 00:01:45.000]  對同胞的負擔
[00:01:45.000 --> 00:01:47.000]  這個都是深深影響我服侍的生命
[00:01:47.000 --> 00:01:50.000]  我都覺得這是恩福堂
[00:01:50.000 --> 00:01:52.000]  我一個很深的心智
[00:01:52.000 --> 00:01:55.000]  她今天雖然暫別
[00:01:55.000 --> 00:01:58.000]  但我相信她的心智不會因福堂而消失
[00:01:58.000 --> 00:02:02.000]  我們都擁抱她
[00:02:02.000 --> 00:02:05.000]  第三 欣賞她對小朋友教育的承擔
[00:02:05.000 --> 00:02:07.000]  嘉德很喜歡教細分制
[00:02:07.000 --> 00:02:09.000]  不知道大家知不知道
[00:02:09.000 --> 00:02:11.000]  兒童主義學母就是她教的
[00:02:11.000 --> 00:02:14.000]  大家上15樓還看到她在兒童主義學的一張照片
[00:02:14.000 --> 00:02:16.000]  今天我選這張照片
[00:02:16.000 --> 00:02:20.000]  因為我兒子今天已經讀大學
[00:02:20.000 --> 00:02:24.000]  她當時和我兒子一起去海洋公園的一張照片
[00:02:24.000 --> 00:02:27.000]  在過程中她和我兒子聊了很多天
[00:02:27.000 --> 00:02:29.000]  我都不知道為什麼有這麼多事情要聊
[00:02:29.000 --> 00:02:31.000]  到今天我兒子看到她
[00:02:31.000 --> 00:02:34.000]  他們都有很多話要聊
[00:02:34.000 --> 00:02:40.000]  她在過去的日子有一定的艱難
[00:02:40.000 --> 00:02:44.000]  但我覺得上帝都在合宜的時間接她回天家
[00:02:44.000 --> 00:02:49.000]  她姐姐都對她在海洋公園照顧得很好
[00:02:49.000 --> 00:02:53.000]  之前一天都買了止痛貼給她
[00:02:53.000 --> 00:02:55.000]  她都覺得很舒服
[00:02:55.000 --> 00:02:58.000]  都能夠治到痛
[00:02:58.000 --> 00:03:01.000]  只不過在星期五晚的凌晨
[00:03:01.000 --> 00:03:03.000]  她起初送了進醫院
[00:03:03.000 --> 00:03:06.000]  在醫院安詳離開世界
[00:03:06.000 --> 00:03:08.000]  當我們到達的時候
[00:03:08.000 --> 00:03:10.000]  她都睡了覺一樣
[00:03:10.000 --> 00:03:12.000]  我們都看著她的遺體
[00:03:12.000 --> 00:03:15.000]  繼續去完成她未走完的路
[00:03:15.000 --> 00:03:18.000]  特別是她真正服侍的心志
[00:03:18.000 --> 00:03:19.000]  都願意我們一起承擔
[00:03:19.000 --> 00:03:22.000]  我們一起去禱告
[00:03:22.000 --> 00:03:24.000]  主耶穌我們恭敬的將我們的生命
