
[00:00:00.000 --> 00:00:04.000]  大兄姊妹平安 有聲音說起
[00:00:04.000 --> 00:00:12.400]  好 感謝主讓孩子今天能夠跟大家講上帝的訊息
[00:00:12.400 --> 00:00:18.000]  我剛才唱詩歌的時候 都很感動 特別是最後這首詩歌
[00:00:18.000 --> 00:00:22.600]  當我們要高舉上帝的名的時候
[00:00:22.600 --> 00:00:27.600]  我們願望誠心實意地跟隨基督
[00:00:27.600 --> 00:00:30.600]  我們一起先有個祈禱
[00:00:30.600 --> 00:00:37.600]  初夏主感謝祢 是祢來叫我們
[00:00:37.600 --> 00:00:42.600]  每一個人得罪封聖的生命
[00:00:42.600 --> 00:00:44.600]  是祢來救贖我們
[00:00:44.600 --> 00:00:47.600]  是祢叫我們進入祢的榮耀裡
[00:00:47.600 --> 00:00:49.600]  神下求祢幫助我們
[00:00:49.600 --> 00:00:52.600]  讓我們的生命能夠結連
[00:00:52.600 --> 00:00:59.600]  讓我們的大兄姊妹能夠在祢的愛裡學習成長
[00:00:59.600 --> 00:01:01.600]  去與我們身邊的人同行
[00:01:01.600 --> 00:01:04.600]  讓我們不是孤單一人
[00:01:04.600 --> 00:01:07.600]  讓我們不是單打獨鬥
[00:01:07.600 --> 00:01:10.600]  因為我們知道那惡者
[00:01:10.600 --> 00:01:15.600]  他是很想逐一擊破我們
[00:01:15.600 --> 00:01:18.600]  神下求祢來幫助我們
[00:01:18.600 --> 00:01:22.600]  讓我們能夠在祢封聖的榮耀裡
[00:01:22.600 --> 00:01:25.600]  謙卑自己 高舉主祢的名
[00:01:25.600 --> 00:01:30.600]  也讓今日孩子的信息能夠成為大兄姊妹的激勵
[00:01:30.600 --> 00:01:33.600]  成為大兄姊妹的提醒 成為大兄姊妹的祝福
[00:01:33.600 --> 00:01:37.600]  讓我們無論講什麼聽什麼都同蒙恩惠
[00:01:37.600 --> 00:01:41.600]  感謝祢 禱告奉主明求 阿門
[00:01:42.600 --> 00:01:46.600]  真的很不容易
[00:01:46.600 --> 00:01:48.600]  祈禱又哭
[00:01:48.600 --> 00:01:52.600]  我要努力 加油
[00:01:52.600 --> 00:01:56.600]  今日跟大家分享的題目叫做「同行」
[00:01:56.600 --> 00:01:59.600]  經文是在全道書的四章七至十二節
[00:01:59.600 --> 00:02:02.600]  在這個疫情裡
[00:02:02.600 --> 00:02:06.600]  很感恩有很多機會我和我太太
[00:02:06.600 --> 00:02:09.600]  早上七八點睡醒的時候
[00:02:09.600 --> 00:02:10.600]  可以在馬灣那裡走走
[00:02:10.600 --> 00:02:13.600]  有時候小朋友不用上學就一起走
[00:02:13.600 --> 00:02:15.600]  你會看到相片裡
[00:02:15.600 --> 00:02:16.600]  有沒有相片?
[00:02:16.600 --> 00:02:19.600]  相片裡有四個人
[00:02:19.600 --> 00:02:21.600]  你不要以為我們違反限聚令
[00:02:21.600 --> 00:02:22.600]  因為這是一家人
[00:02:22.600 --> 00:02:24.600]  應該是可以的
[00:02:24.600 --> 00:02:26.600]  我們四個是一家人
[00:02:26.600 --> 00:02:29.600]  我在後面拍了我太太和三位兒子
[00:02:29.600 --> 00:02:33.600]  在過多月之前
[00:02:33.600 --> 00:02:35.600]  一直預備今天的信息
[00:02:35.600 --> 00:02:39.600]  其中有一天
[00:02:39.600 --> 00:02:43.600]  我們一起在馬灣島上行山
[00:02:43.600 --> 00:02:45.600]  我和太太說
