
[00:00:00.000 --> 00:00:02.560]  各位晚堂的弟兄姊妹大家好
[00:00:02.560 --> 00:00:10.560]  在此代表晚堂也與網上參與崇拜的朋友及弟兄姊妹打個招呼
[00:00:10.560 --> 00:00:14.440]  在開始講道之前我們也一起有個禱告
[00:00:14.440 --> 00:00:23.360]  親愛的主我們恭敬將到這段時間呈現在你的面前
[00:00:23.360 --> 00:00:25.720]  求你自己真理的聖靈
[00:00:25.720 --> 00:00:27.880]  藉著聖經的話語
[00:00:27.880 --> 00:00:29.880]  藉著不同人的經歷
[00:00:30.200 --> 00:00:32.520]  都讓我們一起去體會到
[00:00:32.520 --> 00:00:38.640]  我們的主你很想和我們能夠有一個相遇的時候
[00:00:38.640 --> 00:00:42.400]  我們期盼我們都能夠學習
[00:00:42.400 --> 00:00:46.000]  來到去有不同的途徑
[00:00:46.000 --> 00:00:51.400]  好使我們都能夠更加的親近認識我們的主
[00:00:51.400 --> 00:00:53.720]  求你帶領我們這段時間
[00:00:53.720 --> 00:00:55.880]  我們很恭敬獻上禱告
[00:00:55.880 --> 00:00:58.080]  交託奉耶穌基督的名
[00:00:58.080 --> 00:00:59.040]  阿們
[00:01:00.040 --> 00:01:05.000]  特別多謝敬拜隊剛才帶領我們很好的敬拜
[00:01:05.000 --> 00:01:07.000]  特別在安靜的時間
[00:01:07.000 --> 00:01:09.680]  不知道大家聽不聽到有甚麼聲音
[00:01:09.680 --> 00:01:12.880]  剛才安靜的時候
[00:01:12.880 --> 00:01:15.240]  有沒有留意
[00:01:15.240 --> 00:01:23.160]  聽不聽到好像有微風吹過
[00:01:23.160 --> 00:01:26.240]  又吹到一些樹葉的聲音
[00:01:26.240 --> 00:01:28.040]  有沒有人聽到
[00:01:28.920 --> 00:01:30.040]  都有是不是
[00:01:30.040 --> 00:01:36.440]  有沒有人聽到聖靈同樣在你的心裏面吹過呢
[00:01:36.440 --> 00:01:41.640]  讓我們能夠可以在安靜當中認識神
[00:01:41.640 --> 00:01:44.640]  今天都是一個系列
[00:01:44.640 --> 00:01:48.160]  這個系列今天應該是第三講
[00:01:48.160 --> 00:01:52.840]  教會用了這本書叫做《耳與神相遇》
[00:01:52.840 --> 00:01:57.320]  裏面我們之前曾經說過
[00:01:57.560 --> 00:01:59.880]  包括從大自然裏面
[00:01:59.880 --> 00:02:01.880]  如何能夠與神相遇
[00:02:01.880 --> 00:02:05.880]  那一次講到應該還沒有實體的
[00:02:05.880 --> 00:02:07.320]  所以在網上
[00:02:07.320 --> 00:02:11.520]  包括Maze和淑君傳道幫我們分享
[00:02:11.520 --> 00:02:14.960]  上一次是第二講
[00:02:14.960 --> 00:02:18.800]  講到從傳統裏面
[00:02:18.800 --> 00:02:20.920]  或者一些莊嚴當中
[00:02:20.920 --> 00:02:22.920]  如何認識我們的神
[00:02:22.920 --> 00:02:26.760]  包括弘達傳道跟我們分享了
[00:02:26.840 --> 00:02:30.160]  特別是在憲制上與神相遇
[00:02:30.160 --> 00:02:33.040]  今天來到第三講
[00:02:33.040 --> 00:02:37.160]  這個就是從一個屬靈操練當中與神相遇
[00:02:37.160 --> 00:02:40.000]  包括裏面有三個分題
[00:02:40.000 --> 00:02:43.960]  安靜獨處、簡樸生活和內在的操練
[00:02:43.960 --> 00:02:45.560]  一個主題
[00:02:45.560 --> 00:02:47.840]  有三個願望
[00:02:47.840 --> 00:02:49.960]  希望能夠滿足到你
[00:02:49.960 --> 00:02:56.080]  我們先看看有一個問卷
[00:02:56.360 --> 00:02:58.040]  大家可以試試
[00:02:58.040 --> 00:03:00.160]  如果你有紙和筆也可以嘗試
[00:03:00.160 --> 00:03:01.440]  有電話也可以拿出來
[00:03:01.440 --> 00:03:02.840]  做少許紀錄
[00:03:02.840 --> 00:03:03.880]  很簡單
[00:03:03.880 --> 00:03:06.880]  這個問卷裏面提到
[00:03:06.880 --> 00:03:10.160]  讓我們測試一下
[00:03:10.160 --> 00:03:12.920]  究竟你是否一個所謂的忍修者
[00:03:12.920 --> 00:03:14.480]  甚麼是忍修者呢
[00:03:14.480 --> 00:03:20.080]  忍修者的意思是一個人比較著重內心的世界
[00:03:20.080 --> 00:03:24.200]  以及喜歡有些安靜、獨處的時間
[00:03:24.200 --> 00:03:27.080]  很強調個人的反思和操練
[00:03:27.080 --> 00:03:28.480]  你嘗試一下
[00:03:28.480 --> 00:03:30.880]  看看你自己是否有這個傾向
[00:03:30.880 --> 00:03:33.600]  有六個問題
[00:03:33.600 --> 00:03:39.040]  如果裏面的句子能夠形容到你的狀況
[00:03:39.040 --> 00:03:40.960]  你給它五分
[00:03:40.960 --> 00:03:42.160]  如果你覺得不是
[00:03:42.160 --> 00:03:44.360]  剛剛相反的就是一分
[00:03:44.360 --> 00:03:46.240]  第一條是
[00:03:46.240 --> 00:03:48.000]  我獨自一個人的時候
[00:03:48.000 --> 00:03:50.720]  可以很專注於神的同在
[00:03:50.720 --> 00:03:54.160]  沒有任何事物使我分心
[00:03:54.200 --> 00:03:56.920]  感到與神最親近
[00:03:56.920 --> 00:03:58.720]  當你一個人的時候
[00:03:58.720 --> 00:04:00.480]  你就會覺得很自在
[00:04:00.480 --> 00:04:02.840]  與神的關係很親密
[00:04:02.840 --> 00:04:03.800]  第二就是
[00:04:03.800 --> 00:04:08.680]  我會形容自己的信心是內在多於外在
[00:04:08.680 --> 00:04:10.520]  你自己評分吧
[00:04:10.520 --> 00:04:11.560]  第一條多少呢?
[00:04:11.560 --> 00:04:12.720]  第二條多少呢?
[00:04:12.720 --> 00:04:14.160]  第三條
[00:04:14.160 --> 00:04:17.720]  靜默、獨處和操練這些詞語
[00:04:17.720 --> 00:04:19.440]  其實很吸引我的
[00:04:19.440 --> 00:04:20.960]  我真的很喜歡
[00:04:20.960 --> 00:04:23.560]  這些不單只是一個詞彙
