
[00:00:00.000 --> 00:00:06.600]  讓我們在講道之先我們一起同心去禱告
[00:00:06.600 --> 00:00:09.600]  親愛的天父
[00:00:09.600 --> 00:00:13.600]  感謝神你帶領我們一同去敬拜你
[00:00:13.600 --> 00:00:16.000]  求主你打開我們的心
[00:00:16.000 --> 00:00:18.200]  也都打開我們的耳朵
[00:00:18.200 --> 00:00:20.600]  去聆聽神你的話語
[00:00:20.600 --> 00:00:23.400]  也都被神你的話語去滋潤
[00:00:23.400 --> 00:00:25.600]  提醒和幫助
[00:00:25.600 --> 00:00:30.200]  讓我們在生命裏面作最美好的選擇
[00:00:30.200 --> 00:00:32.200]  我們這樣禱告、交託
[00:00:32.200 --> 00:00:34.600]  奈奉主耶穌基督之名祈求
[00:00:34.600 --> 00:00:36.400]  阿們
[00:00:36.400 --> 00:00:41.400]  想問問大家有沒有人是有戴手錶的
[00:00:41.400 --> 00:00:42.800]  舉手
[00:00:42.800 --> 00:00:44.200]  嘩
[00:00:44.200 --> 00:00:45.000]  很多人
[00:00:45.000 --> 00:00:46.600]  差不多全部人都
[00:00:46.600 --> 00:00:51.200]  有沒有人是從來都不戴手錶的
[00:00:51.200 --> 00:00:55.800]  都有的,不過是比較少
[00:00:55.800 --> 00:00:59.800]  我試過記得有一年去旅行
[00:00:59.800 --> 00:01:02.200]  凌晨就要出門口
[00:01:02.200 --> 00:01:07.200]  我隨手拿起手錶戴著就出門口
[00:01:07.200 --> 00:01:10.600]  上到巴士的時候我都拿著手錶
[00:01:10.600 --> 00:01:14.400]  看到還有很多時間,先收拾一下
[00:01:14.400 --> 00:01:16.600]  收拾了一會之後,驚醒了
[00:01:16.600 --> 00:01:18.000]  再看看手錶
[00:01:18.000 --> 00:01:22.200]  咦,為什麼沒有移動過的
[00:01:22.200 --> 00:01:25.200]  不用怕,在巴士上會移動的
[00:01:25.200 --> 00:01:27.600]  但我的手錶就停了
[00:01:27.600 --> 00:01:31.400]  結果我就趕不及換電
[00:01:31.400 --> 00:01:33.400]  那幾天的旅程裏面
[00:01:33.400 --> 00:01:35.600]  我就嘗試一下
[00:01:35.600 --> 00:01:37.200]  不看手錶
[00:01:37.200 --> 00:01:40.000]  不看電話這樣去過
[00:01:40.000 --> 00:01:43.400]  看看在沒有時間的束縛下
[00:01:43.400 --> 00:01:47.000]  會不會有一番新的體會呢
[00:01:47.000 --> 00:01:49.600]  我記得一去到景點的時候
[00:01:49.600 --> 00:01:52.800]  就到處去找找哪裏有鐘
[00:01:52.800 --> 00:01:56.600]  或者有時候會偷看別人的手錶
[00:01:56.600 --> 00:01:58.800]  很鬼祟的
[00:01:58.800 --> 00:02:01.200]  有時候會遲到
[00:02:01.200 --> 00:02:04.600]  其實我覺得都挺緊張和刺激的
[00:02:04.600 --> 00:02:05.800]  大家可以試一下
[00:02:05.800 --> 00:02:08.800]  不過通常都是戴手錶的人
[00:02:08.800 --> 00:02:13.200]  不過對於一個經常看著時間的我
[00:02:13.200 --> 00:02:15.800]  例如我現在要看著後面那個鐘
[00:02:15.800 --> 00:02:18.600]  計時器一秒一秒地過
[00:02:18.600 --> 00:02:20.400]  心都有點麻煩
[00:02:20.400 --> 00:02:22.800]  沒有時間的束縛
[00:02:22.800 --> 00:02:27.000]  其實並不是一件那麼爽快的事
[00:02:27.000 --> 00:02:29.200]  不知道時間對大家來說
[00:02:29.200 --> 00:02:32.200]  又有什麼意思呢
[00:02:32.200 --> 00:02:34.200]  時間是非常寶貴的
[00:02:34.200 --> 00:02:36.400]  和我們日常的生活
[00:02:36.400 --> 00:02:38.800]  也是息息相關的
[00:02:38.800 --> 00:02:43.200]  每個人每天有24小時
[00:02:43.200 --> 00:02:44.800]  有沒有人是多一點的
[00:02:44.800 --> 00:02:46.200]  沒有
