
[00:00:00.000 --> 00:00:02.680]  自從上星期之後
[00:00:02.680 --> 00:00:04.800]  香港政府的防疫條例
[00:00:04.800 --> 00:00:07.200]  說完可以不用戴口罩
[00:00:07.200 --> 00:00:10.600]  從此之後我們可以用真面目見大家
[00:00:10.600 --> 00:00:14.600]  我希望好像據聞過了這一季之後
[00:00:14.600 --> 00:00:17.400]  大家都不用戴口罩回來崇拜
[00:00:17.400 --> 00:00:19.800]  我們等候這一天的來臨好不好
[00:00:19.800 --> 00:00:24.400]  更加多謝敬拜隊帶領我們唱這首歌
[00:00:24.400 --> 00:00:25.800]  靠著耶穌得勝
[00:00:25.800 --> 00:00:27.600]  哇 三年疫情了
[00:00:27.600 --> 00:00:29.000]  我們都過得到
[00:00:29.000 --> 00:00:30.200]  沒有死
[00:00:30.200 --> 00:00:32.000]  就是靠著耶穌得勝
[00:00:32.000 --> 00:00:34.000]  我們願將榮耀歸還給上帝
[00:00:34.000 --> 00:00:42.400]  大家這三年難不難捱
[00:00:42.400 --> 00:00:45.000]  難啊 多辛苦
[00:00:45.000 --> 00:00:48.600]  我剛剛年尾家裡大掃除
[00:00:48.600 --> 00:00:52.200]  發現家裡有數不盡的口罩
[00:00:52.200 --> 00:00:56.600]  我想我這輩子用不著的SelTest
[00:00:56.600 --> 00:00:57.800]  用不著那麼多
[00:00:57.800 --> 00:00:59.800]  你知道我老婆教書
[00:00:59.800 --> 00:01:02.200]  學校有很多很多
[00:01:02.200 --> 00:01:05.600]  啊 好像以前如珠如寶的東西
[00:01:05.600 --> 00:01:08.800]  轉頭發覺都好像做了訂
[00:01:08.800 --> 00:01:11.800]  發現我們人生有很多改變
[00:01:11.800 --> 00:01:13.200]  在一個新的時代
[00:01:13.200 --> 00:01:14.600]  新的開始裡面
[00:01:14.600 --> 00:01:16.600]  我們真的要去問上帝
[00:01:16.600 --> 00:01:19.400]  你今天在我們世代有什麼心意呢
[00:01:19.400 --> 00:01:22.200]  故此我們願意走到聖經面前
[00:01:22.200 --> 00:01:25.600]  去問上帝你在這個時代有什麼心意
[00:01:25.600 --> 00:01:27.000]  在今天講到這之前
[00:01:27.000 --> 00:01:28.600]  我很喜歡在講到這之前
[00:01:28.600 --> 00:01:31.600]  歡迎第一次來到恩福聚會的新朋友
[00:01:31.600 --> 00:01:34.400]  請問在座當中有沒有第一次來到恩福聚會的
[00:01:34.400 --> 00:01:36.400]  請你起來 我們歡迎你好不好
[00:01:36.400 --> 00:01:38.800]  好 有沒有哪位第一次來到聚會的
