
[00:00:00.000 --> 00:00:04.240]  今晚我好開心能夠在大家中間一起分享神的說話
[00:00:04.240 --> 00:00:07.560]  如果大家有留意宣傳的海報
[00:00:07.560 --> 00:00:11.840]  今年的猜拳聯會的主題就是「將心比己」
[00:00:11.840 --> 00:00:14.160]  究竟是什麼意思呢?
[00:00:14.160 --> 00:00:18.920]  耶穌為救贖我們世人去傳言擺上、寫十字架上
[00:00:18.920 --> 00:00:22.360]  當耶穌邀請我們參與大使命的時候
[00:00:22.360 --> 00:00:25.560]  我們又願意為神擺上多少呢?
[00:00:25.560 --> 00:00:29.280]  所以下星期二和星期五兩晚的晚會
[00:00:29.280 --> 00:00:32.320]  分別由柬埔寨的孫教士Calvin和Rainbow
[00:00:32.320 --> 00:00:36.560]  在當中分享到他們怎麼選神又怎麼選
[00:00:36.560 --> 00:00:40.480]  一同了解孫教士在柬埔寨的福音事供
[00:00:40.480 --> 00:00:43.360]  鼓勵大家一起出席兩晚的聚會
[00:00:43.360 --> 00:00:45.640]  一同去見證神的大能
[00:00:45.640 --> 00:00:49.000]  也可以一起去關心天國的事
[00:00:49.000 --> 00:00:51.560]  為神的角度一起去擺上
[00:00:51.560 --> 00:00:54.200]  在講道之先我們一起去祈禱
[00:00:54.200 --> 00:00:59.520]  天父實在感謝祢讓我們能夠在一個地方去敬拜、讚美祢
[00:00:59.520 --> 00:01:04.600]  也要感謝祢差派孫教士昔日來到中國的地方
[00:01:04.600 --> 00:01:08.360]  讓祢的說話能夠帶到中國
[00:01:08.360 --> 00:01:13.920]  以致有更加多的中國人和今天我們能夠去認識祢自己
[00:01:13.920 --> 00:01:18.800]  願祢自己也使用今天祢的說話成為我們的提醒
[00:01:18.800 --> 00:01:20.200]  激勵我們每一個
[00:01:20.200 --> 00:01:23.640]  讓我們能夠知道我們在祢的角度裏面
[00:01:23.640 --> 00:01:26.360]  我們仍然有很多事情可以去做
[00:01:26.360 --> 00:01:29.040]  仍然可以參與天國的事供
[00:01:29.040 --> 00:01:30.080]  求祢幫助
[00:01:30.080 --> 00:01:31.760]  賜恩給我們今晚的時間
[00:01:31.760 --> 00:01:33.320]  以上禱告奉主命求
[00:01:33.320 --> 00:01:34.560]  阿門
[00:01:34.560 --> 00:01:38.240]  今日的講題叫做「活出使命,不再擾導」
[00:01:38.240 --> 00:01:40.760]  有人說香港人最擅長的就是擾導
[00:01:40.760 --> 00:01:42.560]  不知道你同不同意呢?
[00:01:42.560 --> 00:01:45.680]  當我們看見世色不對的時候
[00:01:45.680 --> 00:01:50.720]  駕車就會繞路避開一些塞車位
[00:01:50.720 --> 00:01:54.320]  當人與人之間不太合的時候
[00:01:54.320 --> 00:01:57.840]  我們會盡量避開接觸
