
[00:00:00.000 --> 00:00:06.000]  今天是我今年第一場的講道
[00:00:06.000 --> 00:00:10.720]  這個講道我會由講故事開始
[00:00:10.720 --> 00:00:14.320]  傳說在公元一世紀的時候
[00:00:14.320 --> 00:00:17.120]  有個小小的信仰群體
[00:00:17.120 --> 00:00:20.560]  他們就受到很大的迫害
[00:00:20.560 --> 00:00:26.960]  他們的老師就已經被他們的猶太同胞掛在木頭上
[00:00:26.960 --> 00:00:32.400]  但奇蹟地這群群體沒有被消滅
[00:00:32.400 --> 00:00:35.920]  反而是天天漸漸興旺
[00:00:35.920 --> 00:00:39.680]  所以猶太人就不放過他們持續迫害
[00:00:39.680 --> 00:00:44.400]  甚至慢慢擴展到羅馬政府的層面
[00:00:44.400 --> 00:00:50.400]  面對迫害這群小群體就被迫分散
[00:00:50.400 --> 00:00:52.720]  為了大家的教訓一致
[00:00:52.720 --> 00:00:57.040]  就規定了要訂《司徒信經》十二條
[00:00:57.040 --> 00:01:00.000]  由他們十二門徒每人講一句
[00:01:00.000 --> 00:01:06.160]  然後命定為教會以此為依歸的教導會友
[00:01:06.160 --> 00:01:07.920]  然後彼得講第一句
[00:01:07.920 --> 00:01:10.160]  「我信常大於全能的父」
[00:01:10.160 --> 00:01:11.280]  然後安德烈就講
[00:01:11.280 --> 00:01:14.160]  「我信我主耶穌幾多」等等
[00:01:14.160 --> 00:01:18.560]  大家聽到這故事是不是很有趣
[00:01:18.560 --> 00:01:22.240]  但真假參半
[00:01:22.240 --> 00:01:27.040]  真是基督教教會初頭成立時
[00:01:27.040 --> 00:01:28.800]  真的受到很大迫害
[00:01:28.800 --> 00:01:32.240]  但《司徒信經》明顯不是由十二個使徒
[00:01:32.240 --> 00:01:34.800]  一人一句地講出來
[00:01:34.800 --> 00:01:39.120]  這個故事真的不夠真
[00:01:39.120 --> 00:01:43.200]  但它講出了《司徒信經》的重要
[00:01:43.200 --> 00:01:44.400]  既然如此
[00:01:44.400 --> 00:01:49.440]  不如我們看看我選取的普天頌讚版本
[00:01:49.440 --> 00:01:50.560]  大家一起讀一次
[00:01:50.560 --> 00:01:52.000]  一二三起
[00:01:52.000 --> 00:01:54.960]  今天我要開始我個人的新系列
[00:01:54.960 --> 00:01:56.480]  《司徒信經》的講道
[00:01:56.480 --> 00:02:00.080]  也要簡單講一些背景
[00:02:00.080 --> 00:02:04.160]  《司徒信經》是基督教最重要的文獻之一
[00:02:04.160 --> 00:02:08.160]  也是最早期和最簡單的一個信經
[00:02:08.160 --> 00:02:10.720]  之後產生了很多補充版本
[00:02:10.720 --> 00:02:14.080]  例如尼西亞信經、亞特拉修信經等等
[00:02:14.080 --> 00:02:15.760]  不過這些不會詳細講
[00:02:15.760 --> 00:02:19.040]  有興趣的你自己可以去找資料去看看
[00:02:19.040 --> 00:02:21.520]  《司徒信經》產生之前
[00:02:21.520 --> 00:02:23.600]  其實新約聖經裏面
[00:02:23.600 --> 00:02:29.440]  已經有很多人用不少信經式的形訊句子
[00:02:29.440 --> 00:02:30.960]  簡單的就好像
[00:02:30.960 --> 00:02:32.400]  耶穌是主
[00:02:32.400 --> 00:02:34.640]  耶穌是尼塞亞
[00:02:34.640 --> 00:02:37.600]  明顯的經文就有
[00:02:37.600 --> 00:02:39.760]  羅馬書十章九節
[00:02:39.760 --> 00:02:44.320]  你要考慮宣認耶穌為主
[00:02:44.320 --> 00:02:47.840]  又好像哥倫多前書十五章三至四節
[00:02:47.840 --> 00:02:49.600]  基督為我們這罪死了
[00:02:49.600 --> 00:02:50.480]  而且埋葬了
[00:02:50.480 --> 00:02:52.960]  又照聖經所說第三天復活了
[00:02:52.960 --> 00:02:56.240]  這些基本上都是形訊的經文
[00:02:56.240 --> 00:02:58.240]  我們的形訊你可以看到
[00:02:58.240 --> 00:03:01.040]  全部都是由聖經而來的
[00:03:01.040 --> 00:03:03.280]  而且也只有由聖經
[00:03:03.280 --> 00:03:05.040]  沒有其他來源
[00:03:05.040 --> 00:03:07.280]  所以當有人問我們
[00:03:07.280 --> 00:03:09.360]  關於基督教信仰的時候
[00:03:09.360 --> 00:03:11.120]  你會怎樣說?
[00:03:11.120 --> 00:03:13.520]  叫他看聖經
[00:03:13.520 --> 00:03:15.040]  這個做法很對
[00:03:15.040 --> 00:03:19.840]  但問題是作為一個慕道
[00:03:19.840 --> 00:03:22.160]  像我這樣沒有耐性
[00:03:22.160 --> 00:03:25.120]  但又想知道多一點的慕道者
[00:03:25.120 --> 00:03:27.840]  因為兩句經文不夠厚
[00:03:27.840 --> 00:03:30.480]  但聖經又這麼大本
[00:03:30.480 --> 00:03:33.200]  我沒有耐性去看完
[00:03:33.200 --> 00:03:35.760]  不如你詳細一點
[00:03:35.760 --> 00:03:37.920]  多說一點
[00:03:37.920 --> 00:03:41.120]  但又不要太詳細
[00:03:41.120 --> 00:03:42.400]  你玩什麼?
[00:03:42.400 --> 00:03:44.320]  我不是玩你的
[00:03:44.320 --> 00:03:45.920]  我不懂
[00:03:45.920 --> 00:03:48.240]  我只是想了解多一點
[00:03:48.240 --> 00:03:49.440]  真的很想知道
[00:03:49.440 --> 00:03:51.440]  不知道怎樣去信
[00:03:51.440 --> 00:03:54.960]  這就是其中一個信經產生的原因
[00:03:54.960 --> 00:03:58.240]  初期教會對初信者
[00:03:58.240 --> 00:04:00.640]  尤其是非猶太人
[00:04:00.640 --> 00:04:02.560]  預備受洗之前
[00:04:02.560 --> 00:04:06.240]  就會以使徒信經來做基本教材
[00:04:06.240 --> 00:04:07.600]  用多少年時間?
[00:04:07.600 --> 00:04:10.240]  三年時間去裝備他們
[00:04:10.240 --> 00:04:11.680]  準備受洗的人
[00:04:11.680 --> 00:04:15.840]  必須背誦整個使徒信經
[00:04:15.840 --> 00:04:19.360]  表明他們清楚他們所信的是什麼
[00:04:19.360 --> 00:04:20.880]  三年時間
[00:04:20.880 --> 00:04:24.800]  是不是比恩夫的三寶還要長?
[00:04:24.800 --> 00:04:27.440]  另外信經的出現
[00:04:27.440 --> 00:04:31.520]  另一個原因就是要面對異端不正確的教導
[00:04:31.520 --> 00:04:33.440]  告訴新信徒
[00:04:33.440 --> 00:04:35.760]  這些才是真正的基督教信仰
[00:04:35.760 --> 00:04:37.280]  千萬不要偏離
[00:04:37.280 --> 00:04:39.280]  基於這些原因
[00:04:39.280 --> 00:04:43.440]  將聖經的基本要義系統化
[00:04:43.440 --> 00:04:46.880]  逐漸形成我們今天的使徒信經
[00:04:46.880 --> 00:04:51.920]  簡單多說一點使徒信經的結構特點
[00:04:51.920 --> 00:04:54.320]  第一點就是很明顯
[00:04:54.320 --> 00:04:59.120]  我們的信仰是以耶穌基督為中心
[00:04:59.120 --> 00:05:03.600]  耶穌基督對耶穌基督的信仰告白是佔最多的
[00:05:03.600 --> 00:05:05.840]  差不多佔一半以上
[00:05:05.840 --> 00:05:10.160]  清楚說明耶穌是我們信仰的一個非常重要
[00:05:10.160 --> 00:05:12.640]  不可以取代的位置
[00:05:12.640 --> 00:05:16.320]  所以沒有任何一個人可以取代耶穌基督
[00:05:16.320 --> 00:05:20.320]  包括任何一個你所尊重的教會領袖
[00:05:20.320 --> 00:05:23.120]  或者之後所出現的所謂先知
[00:05:23.120 --> 00:05:27.920]  沒有任何一個人可以成為你無敗的對象
[00:05:27.920 --> 00:05:30.320]  只有耶穌
[00:05:30.320 --> 00:05:36.240]  第二點就是信經是對三為一體的信仰告白
[00:05:36.240 --> 00:05:38.240]  聖父、聖子、聖靈
[00:05:38.240 --> 00:05:42.080]  原文其實只有三個我信
[00:05:42.080 --> 00:05:47.920]  信上帝、信耶穌、信聖靈
[00:05:47.920 --> 00:05:52.000]  而後面這個版本加了很多我信
[00:05:52.000 --> 00:05:55.120]  只不過是因為要配合中文的文法
[00:05:55.120 --> 00:06:01.200]  也更加加重語氣去幫我們理解
[00:06:01.200 --> 00:06:03.280]  第三點就是
[00:06:03.280 --> 00:06:10.720]  信經是以創世開始到末世的一個歷史次序的摘要
