
[00:00:00.000 --> 00:00:04.400]  早晨,弟兄姊妹,主內平安
[00:00:04.400 --> 00:00:07.900]  剛才一路唱詩歌的時候
[00:00:07.900 --> 00:00:12.300]  我心裡很感受到聖靈在我們中間的工作
[00:00:12.300 --> 00:00:14.900]  無論在敬拜隊裡選的詩歌
[00:00:14.900 --> 00:00:18.200]  主席引導我們默想經文
[00:00:18.200 --> 00:00:21.900]  都是帶領我們進入今天宣講的訊息裡
[00:00:21.900 --> 00:00:24.900]  我們在講道之先,我們跟祂禱告
[00:00:24.900 --> 00:00:32.800]  親愛的主耶穌基督,祢稱為以馬內利
[00:00:32.800 --> 00:00:36.800]  祢的一生就是為了成就救恩
[00:00:36.800 --> 00:00:39.800]  並且祢也賜下聖靈
[00:00:39.800 --> 00:00:42.800]  讓我們能夠每時每刻驚艷
[00:00:42.800 --> 00:00:46.800]  以馬內利的神怎樣每天都與我們同在
[00:00:46.800 --> 00:00:50.800]  聖靈求祢,真的光照我們的心
[00:00:50.800 --> 00:00:55.800]  讓我們的心單單專注在祢的話語裡
[00:00:55.800 --> 00:01:00.800]  讓我們不見一人,只見耶穌基督祢自己奇妙的作為
[00:01:00.800 --> 00:01:03.800]  求主祢幫助我們在這個章林期裡
[00:01:03.800 --> 00:01:05.800]  在聖誕節來臨的之先
[00:01:05.800 --> 00:01:07.800]  我們真的要心存敬畏的心
[00:01:07.800 --> 00:01:12.800]  去默念主耶穌基督祢的救恩和祢的心意
[00:01:12.800 --> 00:01:16.800]  以致我們每天能夠跟隨祢的腳踪而行
[00:01:16.800 --> 00:01:19.800]  禱告奉主耶穌基督名字而求,阿們
[00:01:19.800 --> 00:01:24.800]  今天我定了一個講題叫做在地約天的生活
[00:01:24.800 --> 00:01:26.800]  當我預備的時候
[00:01:26.800 --> 00:01:30.800]  同樣今天都是章林期
[00:01:30.800 --> 00:01:32.800]  剛才Ada師傅跟我們提過
[00:01:32.800 --> 00:01:36.800]  章林期就是聖誕節將要來臨了
[00:01:36.800 --> 00:01:40.800]  章林期就是教會年曆的開始之先
[00:01:40.800 --> 00:01:44.800]  在聖誕節前四個主日將會稱為章林期
[00:01:44.800 --> 00:01:47.800]  而今天是第一個章林期的主日
[00:01:47.800 --> 00:01:52.800]  一些禮儀教會裡會有一些點燭光的儀式
[00:01:52.800 --> 00:01:53.800]  一些禮儀
[00:01:53.800 --> 00:01:57.800]  每一支蠟燭都代表著不同的主題
[00:01:57.800 --> 00:02:03.800]  而點燃蠟燭代表著耶穌基督就是世界的真光
[00:02:03.800 --> 00:02:08.800]  象徵著祂在黑暗的世界裡有真光的盼望
[00:02:08.800 --> 00:02:10.800]  就像約翰福音一章九節裡說
[00:02:10.800 --> 00:02:12.800]  那光就是真光
[00:02:12.800 --> 00:02:15.800]  照亮一切生在世上的人
[00:02:15.800 --> 00:02:18.800]  所以章林期其中有兩重的意義
[00:02:18.800 --> 00:02:22.800]  第一重的意義當然是等紀念耶穌基督的誕生
[00:02:22.800 --> 00:02:24.800]  這已經是過去的事情
[00:02:24.800 --> 00:02:28.800]  但是這個救恩直到如今仍然有效
[00:02:28.800 --> 00:02:30.800]  以致到也有另一重的意義
[00:02:30.800 --> 00:02:35.800]  就是等候主基督再一次的降臨
[00:02:35.800 --> 00:02:40.800]  當我們說到我們要等候主再降臨的時候
[00:02:40.800 --> 00:02:46.800]  究竟我們要存著一個什麼樣的心態去等候主再降臨呢?
[00:02:46.800 --> 00:02:48.800]  會不會好像坊間一些人一樣
[00:02:48.800 --> 00:02:52.800]  不斷地尋找、探索
[00:02:52.800 --> 00:02:55.800]  究竟世界每天什麼時候會來臨
[00:02:55.800 --> 00:02:57.800]  有什麼徵兆會出現
[00:02:57.800 --> 00:03:01.800]  以致讓我們知道世界每天就要來臨
[00:03:01.800 --> 00:03:02.800]  我記得2000年的時候
[00:03:02.800 --> 00:03:04.800]  那些千年蟲有人會說
[00:03:04.800 --> 00:03:07.800]  那是不是一個象徵的記號
[00:03:07.800 --> 00:03:09.800]  我們一直在找很多象徵的記號
[00:03:09.800 --> 00:03:11.800]  但是聖經裡清楚告訴我們
[00:03:11.800 --> 00:03:16.800]  主再來的日子從來都不是我們能夠知道
[00:03:16.800 --> 00:03:22.800]  所以與其不斷去想耶穌基督什麼時候會回來
[00:03:22.800 --> 00:03:24.800]  哪一天是祂會回來的日子
[00:03:24.800 --> 00:03:27.800]  倒不如我們真的去警醒、等候
[00:03:27.800 --> 00:03:32.800]  用我們的生命去調整、更新我們的生命態度
[00:03:32.800 --> 00:03:35.800]  去迎接主耶穌再回來的日子
[00:03:35.800 --> 00:03:38.800]  當我們每一天好像過著一些形形異異的生活
[00:03:38.800 --> 00:03:40.800]  很忙碌的日子的時候
[00:03:40.800 --> 00:03:45.800]  究竟我們與一些未信的人的生活有什麼分別呢
[00:03:45.800 --> 00:03:48.800]  有時候我們會聽到一些未信的人說
[00:03:48.800 --> 00:03:51.800]  其實基督徒與未信的人都沒有什麼分別
[00:03:51.800 --> 00:03:54.800]  但是其實是一定有一點分別的
[00:03:54.800 --> 00:03:56.800]  一定是有些人不同
