
[00:00:00.000 --> 00:00:03.800]  在我們領受神的相識之先,請大家一起低頭祈禱。
[00:00:03.800 --> 00:00:09.000]  榮耀的天父,我們好像以一個身體來到你面前,
[00:00:09.000 --> 00:00:10.000]  苦拜你。
[00:00:10.000 --> 00:00:13.800]  因為你很耐性地帶領著以色列人的歷史,
[00:00:13.800 --> 00:00:15.300]  至到新約的聖徒,
[00:00:15.300 --> 00:00:18.300]  你要預備我們作聖潔的辛苦,
[00:00:18.300 --> 00:00:21.300]  到將來能夠和你在高揚的婚宴裡,
[00:00:21.300 --> 00:00:24.300]  一起分享你當佩德的榮耀。
[00:00:24.300 --> 00:00:25.600]  上帝因為這樣的緣故,
[00:00:25.600 --> 00:00:28.300]  在地上種種的歷練、災劫,
[00:00:28.300 --> 00:00:30.300]  我們都一一需要經過,
[00:00:30.300 --> 00:00:33.300]  為的是要叫我們的生命賜禮。
[00:00:33.300 --> 00:00:34.300]  所以神啊,
[00:00:34.300 --> 00:00:37.300]  願以我們剛才所唱的每一句詩詞,
[00:00:37.300 --> 00:00:41.300]  真是反映著我們內心最深切的渴望,
[00:00:41.300 --> 00:00:44.300]  是過去、現在、將來的期盼。
[00:00:44.300 --> 00:00:47.300]  求主,你親自照你自己的應許,
[00:00:47.300 --> 00:00:50.300]  承傳一切你要在我們身上承傳的,
[00:00:50.300 --> 00:00:52.300]  直到我們見你的面的時候,
[00:00:52.300 --> 00:00:54.300]  能夠無愧於你。
[00:00:54.300 --> 00:00:56.300]  我們感恩,將以下聽道的時間,
[00:00:56.300 --> 00:00:58.300]  求聖靈親身恩高所說的,
[00:00:58.300 --> 00:01:02.300]  讓眾弟兄姊妹一同在聖靈裡有共鳴的,
[00:01:02.300 --> 00:01:03.300]  毀身給你。
[00:01:03.300 --> 00:01:05.300]  祈禱奉主名,阿門。
[00:01:05.300 --> 00:01:11.300]  弟兄姊妹,今天的題目是如月。
[00:01:11.300 --> 00:01:13.300]  早上,弟兄姊妹。
[00:01:13.300 --> 00:01:15.300]  中堂現在是自由題的系列,
[00:01:15.300 --> 00:01:16.300]  如果大家記得。
[00:01:16.300 --> 00:01:18.300]  我仍然記得我之前有三次,
[00:01:18.300 --> 00:01:21.300]  用約翰一書的講道課題,
[00:01:21.300 --> 00:01:23.300]  圍繞著的都是在說,
[00:01:23.300 --> 00:01:26.300]  如何跨過面對過去三年疫情的艱難,
[00:01:26.300 --> 00:01:27.300]  信心的歷練。
[00:01:27.300 --> 00:01:28.300]  而我還記得,
[00:01:28.300 --> 00:01:32.300]  上一次我的講道是約翰一書五章,
[00:01:32.300 --> 00:01:35.300]  講關於聖個世界的講論。
[00:01:35.300 --> 00:01:41.300]  今天的訊息,其實是接續紀念神大能和憐憫的救贖。
[00:01:41.300 --> 00:01:44.300]  用兩個字,如月,其實是會簡略地,
[00:01:44.300 --> 00:01:46.300]  將大家從舊約的如節,
[00:01:46.300 --> 00:01:47.300]  去到新約,
[00:01:47.300 --> 00:01:50.300]  耶穌過去自己在地上最後一個如節之後,
[00:01:50.300 --> 00:01:52.300]  轉到去聖餐的時候,
[00:01:52.300 --> 00:01:55.300]  帶給我們一個長久的意義,
[00:01:55.300 --> 00:01:57.300]  我們要更加明白。
[00:01:57.300 --> 00:02:00.300]  所以今天的訊息是幫我們更加紀念神的大能,
[00:02:00.300 --> 00:02:02.300]  和去憐憫的救贖。
[00:02:02.300 --> 00:02:04.300]  一關又一關,困難還未停止的,
[00:02:04.300 --> 00:02:06.300]  全球氣候的警號,
[00:02:06.300 --> 00:02:08.300]  經濟危機的未穩定,
[00:02:08.300 --> 00:02:11.300]  沒有人知道下一波的衝擊是從何而來的,
[00:02:11.300 --> 00:02:13.300]  可能是氣候的危機。
[00:02:13.300 --> 00:02:15.300]  大家前一陣子看新聞,
[00:02:15.300 --> 00:02:16.300]  夏威夷大火,
[00:02:16.300 --> 00:02:19.300]  有沒有見過你曾經去過的大街和打卡點?
[00:02:19.300 --> 00:02:21.300]  燒到去大街,
[00:02:21.300 --> 00:02:22.300]  你沒有想過。
[00:02:22.300 --> 00:02:24.300]  日本將核污水投放在大海,
[00:02:24.300 --> 00:02:26.300]  其實接下來的情況是怎樣?
[00:02:26.300 --> 00:02:28.300]  我們還是拭目以待。
[00:02:28.300 --> 00:02:30.300]  疫情的災難,
[00:02:30.300 --> 00:02:31.300]  經濟的危機,
[00:02:31.300 --> 00:02:33.300]  國家與國家的爭戰,
[00:02:33.300 --> 00:02:35.300]  我們個人和家庭的危機。
[00:02:35.300 --> 00:02:37.300]  昨天,
[00:02:37.300 --> 00:02:39.300]  我們十號風球的show live,
[00:02:39.300 --> 00:02:41.300]  有多少人家裡的玻璃是破爛了的,
[00:02:41.300 --> 00:02:43.300]  就好像新聞報出來,
[00:02:43.300 --> 00:02:46.300]  其實是非常恐懼的一件事,
[00:02:46.300 --> 00:02:47.300]  是不是?真的。
[00:02:47.300 --> 00:02:49.300]  所以去到今早,
[00:02:49.300 --> 00:02:50.300]  其實一直變的新聞,
[00:02:50.300 --> 00:02:52.300]  由一百棟的倒樹,
[00:02:52.300 --> 00:02:53.300]  到千五棟的倒樹,
[00:02:53.300 --> 00:02:55.300]  有些還是連根拔起的。
[00:02:55.300 --> 00:02:57.300]  生命裡的災難,
[00:02:57.300 --> 00:02:58.300]  有時包括疫情,
[00:02:58.300 --> 00:02:59.300]  社會事件,
[00:02:59.300 --> 00:03:01.300]  有沒有試過將我們的信仰,
[00:03:01.300 --> 00:03:03.300]  根基都連根拔起了呢?
[00:03:03.300 --> 00:03:08.300]  使我們成為在街上的枯枝大樹,
[00:03:08.300 --> 00:03:11.300]  等待被人收去當垃圾等呢?
