
[00:00:00.000 --> 00:00:02.560]  頂姊妹 新朋友 早晨
[00:00:02.560 --> 00:00:04.040]  早晨
[00:00:04.040 --> 00:00:08.040]  剛才聽到大家唱這首詩歌的時候
[00:00:08.040 --> 00:00:09.640]  嘩 很有力
[00:00:09.640 --> 00:00:14.240]  很有力去認定這份愛是神所給我們的
[00:00:14.240 --> 00:00:18.720]  今天我們來到希伯來書的講章系列
[00:00:18.720 --> 00:00:20.720]  已經是第十六講了
[00:00:20.720 --> 00:00:23.600]  如果你一至十五都沒聽過
[00:00:23.600 --> 00:00:26.680]  不要緊 我們可以有網上的重溫
[00:00:27.680 --> 00:00:35.320]  今天我們要看的經文記載在十二章的十八至二十九節
[00:00:35.320 --> 00:00:42.360]  我給的題目是「別讓靈命變成OLED貨」
[00:00:42.360 --> 00:00:47.160]  在座的弟兄姊妹 新朋友
[00:00:47.160 --> 00:00:51.880]  有沒有人試過去OLED貨那裡血拼?
[00:00:51.880 --> 00:00:53.360]  不是走進去
[00:00:53.360 --> 00:00:58.200]  進去 嘩 我已經有目標了 有沒有這樣的弟兄姊妹或新朋友
[00:00:58.200 --> 00:01:00.200]  嘩 都不少 是不是
[00:01:00.200 --> 00:01:03.640]  以前的年代 大概十年前
[00:01:03.640 --> 00:01:05.640]  有一間日本百貨公司
[00:01:05.640 --> 00:01:10.000]  每年定期都會有一些售賣
[00:01:10.000 --> 00:01:12.000]  行李箱啊 各樣的東西
[00:01:12.000 --> 00:01:14.000]  大家就很緊張
[00:01:14.000 --> 00:01:16.000]  一到那個時間 我聽過
[00:01:16.000 --> 00:01:18.000]  有些弟兄姊妹會請半日假去
[00:01:18.000 --> 00:01:22.000]  就是可以血拼那樣
[00:01:22.000 --> 00:01:26.000]  OLED又可以叫做特賣場
[00:01:26.000 --> 00:01:28.000]  它有什麼特點呢?
[00:01:28.000 --> 00:01:33.000]  它不像百貨公司 也不像大型超市
[00:01:33.000 --> 00:01:35.000]  特賣場通常都是怎樣?
[00:01:35.000 --> 00:01:39.000]  沒有裝修 你看到就是一個框
[00:01:39.000 --> 00:01:44.000]  然後就擺滿了一堆堆的貨品
[00:01:44.000 --> 00:01:47.000]  以及一些很大型的價錢牌
[00:01:47.000 --> 00:01:50.000]  以及有一個給你付錢的櫃檯
[00:01:50.000 --> 00:01:52.000]  那就沒有了
[00:01:52.000 --> 00:01:56.000]  如果特賣場主打是衣服或鞋子的話
[00:01:56.000 --> 00:02:02.000]  很多時候都會斷色、斷貨
[00:02:02.000 --> 00:02:04.000]  即是說斷馬
[00:02:04.000 --> 00:02:08.000]  特賣場的售貨員好像會隱身屬
[00:02:08.000 --> 00:02:10.000]  是很難找得到他的蹤影的
[00:02:10.000 --> 00:02:14.000]  而且絕大部分的特賣場都是武士紳士的
[00:02:14.000 --> 00:02:18.000]  說了這麼多不利的因素
[00:02:18.000 --> 00:02:21.000]  為什麼大家都這麼喜歡去特賣場
[00:02:21.000 --> 00:02:23.000]  吸引到很多人去光顧呢?
[00:02:23.000 --> 00:02:25.000]  為什麼呢?
[00:02:25.000 --> 00:02:27.000]  是啦 大家都認同這件事
[00:02:27.000 --> 00:02:29.000]  不要緊的
[00:02:29.000 --> 00:02:32.000]  最重要是便宜
[00:02:32.000 --> 00:02:35.000]  頂姐妹不知道大家有沒有這種經驗
[00:02:35.000 --> 00:02:37.000]  去到特賣場的時候
[00:02:37.000 --> 00:02:40.000]  看到那些價錢牌寫著
[00:02:40.000 --> 00:02:41.000]  「減價六折」
[00:02:41.000 --> 00:02:43.000]  或者「限時優惠」
[00:02:43.000 --> 00:02:45.000]  「割價大清貨」
[00:02:45.000 --> 00:02:48.000]  看到字眼有沒有被觸動
[00:02:48.000 --> 00:02:51.000]  很多時候基督徒被聖經的字眼觸動
