
[00:00:00.000 --> 00:00:02.920]  敬拜隊去帶領我們敬拜
[00:00:02.920 --> 00:00:05.480]  在敬拜裡面很好的提醒
[00:00:05.480 --> 00:00:07.800]  其實特別是侍奉人員
[00:00:07.800 --> 00:00:10.440]  我覺得是很重要的
[00:00:10.440 --> 00:00:14.160]  很多時候我們為上帝服侍的時候
[00:00:14.160 --> 00:00:15.960]  我們本身的初心都很好
[00:00:15.960 --> 00:00:18.680]  很想去回應上帝的愛
[00:00:18.680 --> 00:00:20.080]  但可能做著做著
[00:00:20.080 --> 00:00:26.560]  很多時候很多的聲音都會阻止我們去享受回應
[00:00:26.560 --> 00:00:30.760]  以致我們有很多的計較和比較
[00:00:30.760 --> 00:00:33.080]  或者在當中有很多的挫敗
[00:00:33.080 --> 00:00:38.400]  其實回到我們服侍的初心是很重要的
[00:00:38.400 --> 00:00:40.360]  所以感謝敬拜隊
[00:00:40.360 --> 00:00:41.760]  芒果第二次帶領是嗎?
[00:00:41.760 --> 00:00:42.440]  第二次
[00:00:42.440 --> 00:00:43.640]  很好啊
[00:00:43.640 --> 00:00:44.560]  一路去成長
[00:00:44.560 --> 00:00:46.000]  很開心看到他帶領
[00:00:46.000 --> 00:00:48.000]  在當中大家都去
[00:00:48.000 --> 00:00:50.120]  不如我們給點掌聲
[00:00:50.120 --> 00:00:52.080]  不只是他的世界
[00:00:52.080 --> 00:00:53.960]  侍奉團隊也給點掌聲
[00:00:54.840 --> 00:01:01.440]  今天說到不知道大家有沒有看到IG上出的那個
[00:01:01.440 --> 00:01:02.840]  其實今天很特別的
[00:01:02.840 --> 00:01:06.880]  有一個戀愛限定版
[00:01:06.880 --> 00:01:09.920]  今天這個會和愛情有關
[00:01:09.920 --> 00:01:15.160]  其實本身是想排到2月14日戶外大旅行的時候說的
[00:01:15.160 --> 00:01:16.200]  不過剛剛生病了
[00:01:16.200 --> 00:01:17.960]  所以我趕不及再寫一份
[00:01:17.960 --> 00:01:20.640]  所以這一份就提早了
[00:01:20.640 --> 00:01:21.800]  也是開心的
[00:01:21.800 --> 00:01:25.840]  我覺得在當中和很多人聊的時候
[00:01:25.840 --> 00:01:29.800]  都發覺這個題目好像很少機會去說
[00:01:29.800 --> 00:01:32.080]  我覺得難得有個機會
[00:01:32.080 --> 00:01:33.280]  所以很開心的
[00:01:33.280 --> 00:01:37.720]  希望大家可以豎起耳朵去聽
[00:01:37.720 --> 00:01:38.440]  OK吧
[00:01:38.440 --> 00:01:41.520]  不知道大家知不知道
[00:01:41.520 --> 00:01:43.800]  我有個女兒
[00:01:43.800 --> 00:01:44.800]  五歲
[00:01:44.800 --> 00:01:48.240]  她其中一個活動我經常和她去做
[00:01:48.240 --> 00:01:49.800]  就是去迪士尼
[00:01:49.800 --> 00:01:53.040]  迪士尼對她來說是很開心的一件事
[00:01:53.040 --> 00:01:55.360]  作為爸爸也是很開心的
[00:01:55.360 --> 00:01:56.720]  因為我不用想
[00:01:56.720 --> 00:01:59.160]  不用經常想我帶她去哪裡玩
[00:01:59.160 --> 00:02:00.320]  又怕不好玩
[00:02:00.320 --> 00:02:02.120]  又或者去公園
[00:02:02.120 --> 00:02:03.880]  她踩著滑雪機
[00:02:03.880 --> 00:02:04.880]  我又要追著她跑
