
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹,我想請問一下大家
[00:00:04.000 --> 00:00:10.000]  你怎樣去檢視、衡量自己好不好
[00:00:10.000 --> 00:00:14.000]  究竟我是不是一個異人呢?
[00:00:14.000 --> 00:00:18.000]  你是怎樣去檢視、衡量自己的?
[00:00:18.000 --> 00:00:21.000]  我們好與不好
[00:00:21.000 --> 00:00:27.000]  是不是以自己信主的年日有多長去衡量呢?
[00:00:27.000 --> 00:00:33.000]  是不是我信主很久了,我應該挺好的
[00:00:33.000 --> 00:00:41.000]  或者我們好不好,是不是以我們的地位去衡量呢?
[00:00:41.000 --> 00:00:45.000]  我是家裡第一個信主的
[00:00:45.000 --> 00:00:49.000]  我在團體也有少少做過助手
[00:00:49.000 --> 00:00:51.000]  或者我是組長
[00:00:51.000 --> 00:00:56.000]  或者我是團體的導師、核心成員
[00:00:56.000 --> 00:01:03.000]  是執事、是童工、是牧師或者是教會的長老
[00:01:03.000 --> 00:01:12.000]  是不是地位份量高的人就一定是好的呢?
[00:01:12.000 --> 00:01:17.000]  或者我們好不好,是不是以我們做得好
[00:01:17.000 --> 00:01:23.000]  有很多功績,樣樣都不錯
[00:01:23.000 --> 00:01:28.000]  我也覺得自己也挺好,於是我就好好了
[00:01:28.000 --> 00:01:35.000]  究竟是誰去判斷人好與不好
[00:01:35.000 --> 00:01:43.000]  是別人、是自己還是神呢?
[00:01:43.000 --> 00:01:46.000]  以下耶穌所說的故事
[00:01:46.000 --> 00:01:53.000]  就是一個人在做,天在看的演繹
[00:01:53.000 --> 00:02:00.000]  我們一起來祈禱,然後進入經文裡
[00:02:00.000 --> 00:02:06.000]  前愛的天父上帝,多謝祢帶領我們回到祢的聖殿裡
[00:02:06.000 --> 00:02:08.000]  我們每一個進來的時候
[00:02:08.000 --> 00:02:13.000]  神啊,我們就在祢的眼界裡
[00:02:13.000 --> 00:02:16.000]  神啊,但願我們每一個來到
[00:02:16.000 --> 00:02:19.000]  我們都蒙祢月立
[00:02:19.000 --> 00:02:22.000]  我們每一個雖然不完全
[00:02:22.000 --> 00:02:26.000]  但是神祢愛我們,祢收納我們
[00:02:26.000 --> 00:02:28.000]  我們在祢裡面可以很穩妥
[00:02:28.000 --> 00:02:32.000]  但願我們都不斷去更新我們自己
[00:02:32.000 --> 00:02:36.000]  來得著神祢自己聖經話語的模樣
[00:02:36.000 --> 00:02:41.000]  使我們身心靈常常更新、活潑
[00:02:41.000 --> 00:02:44.000]  來跟從祢,蒙祢月立
[00:02:44.000 --> 00:02:46.000]  願祢帶領我們以下的時間
[00:02:46.000 --> 00:02:50.000]  祝福說的、聽的,都是得著益處
[00:02:50.000 --> 00:02:53.000]  我們誠心禱告,奉耶穌基督的命求
[00:02:53.000 --> 00:02:55.000]  阿們
[00:02:55.000 --> 00:03:01.000]  我們一起了讀路加福音18章9-14節
[00:03:01.000 --> 00:03:04.000]  這段經文似乎都很熟悉
[00:03:04.000 --> 00:03:08.000]  不過我們都細心慢慢讀
[00:03:08.000 --> 00:03:10.000]  我們一起讀吧
[00:03:10.000 --> 00:03:17.000]  耶穌向那些以自以為義而藐視別人的人
[00:03:17.000 --> 00:03:19.000]  說了這比喻
[00:03:19.000 --> 00:03:23.000]  有兩個人上聖殿去禱告
[00:03:23.000 --> 00:03:28.000]  一個是發利賽人,一個是瑞利
[00:03:28.000 --> 00:03:31.000]  發利賽人獨自站著
[00:03:31.000 --> 00:03:34.000]  自言自語地禱告說
[00:03:34.000 --> 00:03:36.000]  神啊,我感謝祢
[00:03:36.000 --> 00:03:40.000]  我不像別人勒索,不義姦淫
[00:03:40.000 --> 00:03:43.000]  也不像這個瑞利
[00:03:43.000 --> 00:03:46.000]  我每週禁食兩次
[00:03:46.000 --> 00:03:50.000]  凡我所得的都獻上十分之一
[00:03:50.000 --> 00:03:54.000]  那瑞利遠遠地站著
[00:03:54.000 --> 00:03:57.000]  連舉目望天也不敢
[00:03:57.000 --> 00:03:59.000]  只隨著空說
[00:03:59.000 --> 00:04:04.000]  神啊,開恩可憐我這個罪人
[00:04:04.000 --> 00:04:06.000]  我告訴你們
[00:04:06.000 --> 00:04:11.000]  這人回家去被那人倒算為義
[00:04:11.000 --> 00:04:15.000]  因為凡至高的必降為卑
[00:04:15.000 --> 00:04:20.000]  至今卑微的必升為高
[00:04:20.000 --> 00:04:23.000]  路加夫音18:9-14節
[00:04:23.000 --> 00:04:27.000]  這段經文的前面
[00:04:27.000 --> 00:04:29.000]  1-18節
[00:04:29.000 --> 00:04:31.000]  是說到耶穌說了一個比喻
[00:04:31.000 --> 00:04:33.000]  和禱告有關的
[00:04:33.000 --> 00:04:38.000]  是說到一個徹頭寡婦和不義的官
[00:04:38.000 --> 00:04:43.000]  那個比喻是叫人禱告不要灰心
[00:04:43.000 --> 00:04:45.000]  而剛才我們讀這段經文
[00:04:45.000 --> 00:04:48.000]  耶穌是說第二個比喻
[00:04:48.000 --> 00:04:52.000]  也說到跟禱告有關
[00:04:52.000 --> 00:04:55.000]  就是發利賽人與瑞利的禱告
[00:04:55.000 --> 00:04:58.000]  是叫人不要自以為義
[00:04:58.000 --> 00:05:03.000]  但其實路加夫音18:9-30節
[00:05:03.000 --> 00:05:05.000]  有三段講論
[00:05:05.000 --> 00:05:07.000]  核心都是講謙卑
[00:05:07.000 --> 00:05:09.000]  在15-17節
[00:05:09.000 --> 00:05:11.000]  主耶穌說
[00:05:11.000 --> 00:05:13.000]  凡要承受神覺的
[00:05:13.000 --> 00:05:15.000]  若非將小孩子
[00:05:15.000 --> 00:05:17.000]  斷不能進去
[00:05:17.000 --> 00:05:20.000]  主要是指出
[00:05:20.000 --> 00:05:23.000]  我們要將小孩子的謙卑
[00:05:23.000 --> 00:05:25.000]  而第18-30節
[00:05:25.000 --> 00:05:28.000]  是說到少年才主
[00:05:28.000 --> 00:05:30.000]  他來問耶穌
[00:05:30.000 --> 00:05:31.000]  應該做些什麼
[00:05:31.000 --> 00:05:33.000]  才可以承受永生
[00:05:33.000 --> 00:05:35.000]  主教他
[00:05:35.000 --> 00:05:37.000]  要變賣所有
[00:05:37.000 --> 00:05:39.000]  分給窮人
[00:05:39.000 --> 00:05:41.000]  才寶在天上
[00:05:41.000 --> 00:05:43.000]  而且要跟從主
[00:05:43.000 --> 00:05:45.000]  謙卑跟從主
[00:05:45.000 --> 00:05:47.000]  就可以今生得百倍
[00:05:47.000 --> 00:05:49.000]  來世得永生
[00:05:49.000 --> 00:05:54.000]  所以路加夫音18:9-30節
[00:05:54.000 --> 00:05:57.000]  到最後都是講謙卑
[00:05:57.000 --> 00:05:59.000]  所以今天
[00:05:59.000 --> 00:06:01.000]  我講的這段經文
[00:06:01.000 --> 00:06:04.000]  其實是講到禱告的態度
[00:06:04.000 --> 00:06:06.000]  驕傲與謙卑
[00:06:06.000 --> 00:06:09.000]  而重點是要教導我們
[00:06:09.000 --> 00:06:11.000]  謙卑就蒙恩
[00:06:11.000 --> 00:06:15.000]  我們首先來看第9-12節
[00:06:15.000 --> 00:06:17.000]  講到花利賽人
[00:06:17.000 --> 00:06:20.000]  他的驕傲自敗
[00:06:20.000 --> 00:06:23.000]  這個花利賽人是一個怎樣的人呢
[00:06:23.000 --> 00:06:26.000]  在第11節
[00:06:26.000 --> 00:06:29.000]  就告訴我們
[00:06:29.000 --> 00:06:31.000]  這個花利賽人的禱告
[00:06:31.000 --> 00:06:34.000]  神啊我感謝你
[00:06:34.000 --> 00:06:36.000]  我不似別人
[00:06:36.000 --> 00:06:38.000]  勒索不義奸淫
[00:06:38.000 --> 00:06:40.000]  也不仗這個稅利
[00:06:40.000 --> 00:06:43.000]  我每個禮拜都禁食兩次
[00:06:43.000 --> 00:06:46.000]  凡我所得的都獻上十分之一
[00:06:46.000 --> 00:06:48.000]  這個花利賽人
[00:06:48.000 --> 00:06:50.000]  他肯定不是一個敲詐者
[00:06:50.000 --> 00:06:55.000]  也不是不義奸淫的人
[00:06:55.000 --> 00:06:58.000]  當然他也不是稅利
[00:06:58.000 --> 00:07:00.000]  在耶穌時代
[00:07:00.000 --> 00:07:02.000]  花利賽人是十分之健全的
[00:07:02.000 --> 00:07:06.000]  花利賽人被視為義人的典範
[00:07:06.000 --> 00:07:09.000]  而稅利就剛剛相反
[00:07:09.000 --> 00:07:11.000]  就是罪人的典範
