
[00:00:00.000 --> 00:00:02.240]  我想問大家一個問題
[00:00:02.240 --> 00:00:06.000]  有多少人是有人生目標的?
[00:00:06.000 --> 00:00:07.000]  可不可以舉手?
[00:00:07.000 --> 00:00:10.400]  嘩!為什麼只有這麼少人?
[00:00:10.400 --> 00:00:14.080]  原來有些人是沒有人生目標的
[00:00:14.080 --> 00:00:16.240]  我們都需要承認
[00:00:16.240 --> 00:00:20.000]  不是每一個人都有人生目標
[00:00:20.000 --> 00:00:23.000]  不過如果你沒有人生目標的話
[00:00:23.000 --> 00:00:29.000]  我今晚想建議你一個人生目標
[00:00:29.000 --> 00:00:31.000]  剛才舉手的人
[00:00:31.000 --> 00:00:33.000]  你有人生目標嗎?
[00:00:33.000 --> 00:00:37.000]  我想知道你的人生目標和你的信仰
[00:00:37.000 --> 00:00:42.000]  和基督徒的身份有沒有關係呢?
[00:00:42.000 --> 00:00:43.000]  有還是沒有?
[00:00:43.000 --> 00:00:45.000]  有關係的可不可以舉手?
[00:00:45.000 --> 00:00:47.000]  我不知道有沒有少到手
[00:00:47.000 --> 00:00:48.000]  好像少了一點
[00:00:48.000 --> 00:00:51.000]  我們問
[00:00:51.000 --> 00:00:53.000]  基督徒的人生目標
[00:00:53.000 --> 00:00:55.000]  和一個未信主的人的人生目標
[00:00:55.000 --> 00:00:56.000]  應不應該一樣?
[00:00:56.000 --> 00:00:58.000]  這就是底線的問題
[00:00:58.000 --> 00:01:02.000]  人生目標是甚麼?
[00:01:02.000 --> 00:01:06.000]  人生目標是要幹一番事業
[00:01:06.000 --> 00:01:09.000]  你想做你要做的事
[00:01:09.000 --> 00:01:10.000]  如果我們再問
[00:01:10.000 --> 00:01:12.000]  做了基督徒之後
[00:01:12.000 --> 00:01:16.000]  是否不能做我們原本想做的事呢?
[00:01:16.000 --> 00:01:18.000]  有沒有人懂得回答我這個問題?
[00:01:18.000 --> 00:01:20.000]  是不是?
[00:01:20.000 --> 00:01:21.000]  是的舉手
[00:01:21.000 --> 00:01:22.000]  沒有人舉手
[00:01:22.000 --> 00:01:24.000]  不是的舉手
[00:01:24.000 --> 00:01:26.000]  不是
[00:01:26.000 --> 00:01:27.000]  ok
[00:01:27.000 --> 00:01:28.000]  這樣的話
[00:01:28.000 --> 00:01:32.000]  做了基督徒不是不能做我們原本想做的事
[00:01:32.000 --> 00:01:33.000]  這樣的話
[00:01:33.000 --> 00:01:34.000]  我們的人生目標
[00:01:34.000 --> 00:01:37.000]  信了主和沒有信主應該是一樣的
[00:01:37.000 --> 00:01:39.000]  回到Square One
[00:01:39.000 --> 00:01:41.000]  其實分別在哪裏呢?
[00:01:41.000 --> 00:01:42.000]  分別在於
[00:01:42.000 --> 00:01:46.000]  原來人生目標可以分兩個層次來理解
[00:01:46.000 --> 00:01:48.000]  第一個就是What
[00:01:48.000 --> 00:01:50.000]  第二個就是How
[00:01:50.000 --> 00:01:52.000]  What是可以沒有改變
[00:01:52.000 --> 00:01:54.000]  即是你未信主之前
