
[00:00:00.000 --> 00:00:03.000]  讓我們安靜下來預備我們的心 好嗎
[00:00:03.000 --> 00:00:11.400]  剛才一首手詩歌 一句句歌詞
[00:00:11.400 --> 00:00:16.000]  有沒有哪一句觸動你的心呢
[00:00:16.000 --> 00:00:25.800]  今天 你渴望在聖潔的光中與主相遇嗎
[00:00:27.600 --> 00:00:34.000]  你渴望放下自己 活出神夫照你的嗎
[00:00:34.000 --> 00:00:42.000]  你渴望讓神突破你 釋去心靈怯懦嗎
[00:00:42.000 --> 00:00:48.600]  如果有哪一句歌詞剛才觸動你的心
[00:00:48.600 --> 00:00:54.600]  或者今天晚上 你渴望在光中與主相遇
[00:00:55.400 --> 00:01:00.000]  請你花一點時間親自告訴主
[00:01:00.000 --> 00:01:18.000]  主呀 你是世界的真光
[00:01:19.000 --> 00:01:26.000]  在你的光裡面 我們可以在你的裡面被你潔淨
[00:01:26.000 --> 00:01:30.000]  可以與你相遇 可以與你同在
[00:01:30.000 --> 00:01:36.000]  今晚 主呀 願我們在這裡 在光裡面與你相遇
[00:01:36.000 --> 00:01:42.000]  求你釋去我們心裡面仍然有的隔膜 污穢
[00:01:43.000 --> 00:01:50.000]  主呀 願我們的心渴想你 願我們的生命討你喜悅
[00:01:50.000 --> 00:01:53.000]  來禱告奉主命求 阿們
[00:01:53.000 --> 00:02:01.000]  2020 全球都很難忘記的一年
[00:02:01.000 --> 00:02:06.000]  你還記不記得在這一年發生了什麼世紀大事
[00:02:08.000 --> 00:02:16.000]  2020 年初新冠肺炎疫情嚴峻 疫情迅速蔓延全球
[00:02:16.000 --> 00:02:22.000]  當時你在哪裡呢 在家裡 每個人都在家裡
[00:02:22.000 --> 00:02:26.000]  在家裡上班 上學 我們一家四口都不例外
[00:02:26.000 --> 00:02:32.000]  日夜困在家中 在這個漫長又苦悶的日子
[00:02:33.000 --> 00:02:38.000]  我們家裡添了這個家庭成員 就是他
[00:02:38.000 --> 00:02:45.000]  看到嗎 這隻小柴犬是我小兒子期待多年的寵物
[00:02:45.000 --> 00:02:50.000]  當年九月的時候是我和他爸爸
[00:02:50.000 --> 00:02:53.000]  終於決定送這份禮物給他
[00:02:53.000 --> 00:03:01.000]  最重要最重要的是你要好好陪伴我的兒子成長
[00:03:02.000 --> 00:03:06.000]  家有一犬 一次又一次 我這樣跟這隻狗說
[00:03:06.000 --> 00:03:13.000]  他聽不聽得懂呢 他聽不聽我的話呢
[00:03:13.000 --> 00:03:17.000]  其實我也不知道 不過我很清楚
[00:03:17.000 --> 00:03:21.000]  讓他來到我家的主要目的
[00:03:21.000 --> 00:03:25.000]  真的是陪伴我的寶貝成長
[00:03:25.000 --> 00:03:31.000]  走進 2025 疫情已經過去了幾年
[00:03:31.000 --> 00:03:36.000]  丙姐妹苦心自問 你走出了疫情的陰霾嗎
[00:03:36.000 --> 00:03:42.000]  今天 神將你帶進這個年代 帶進你身處的地方
[00:03:42.000 --> 00:03:46.000]  你明白神對你生命的目的嗎
[00:03:46.000 --> 00:03:50.000]  你知道神對你人生有什麼託付嗎
[00:03:50.000 --> 00:03:57.000]  走到今天 你是否仍然聽從神所吩咐你 託付你的呢
[00:03:58.000 --> 00:04:04.000]  創世之初 上帝始頒天地 始頒生命 始頒樂園
[00:04:04.000 --> 00:04:11.000]  然後 神向第一個受造的男人 又有什麼託付 又有什麼叮囑呢
[00:04:11.000 --> 00:04:20.000]  今天讓我們再一次回到創世之初 聆聽上帝始頒命令
[00:04:20.000 --> 00:04:23.000]  想邀請大家一起讀一節經文
[00:04:24.000 --> 00:04:28.000]  一節我們一起讀
[00:04:28.000 --> 00:04:35.000]  耶和華神把那人安置在伊甸園 讓他耕耘看管
[00:04:35.000 --> 00:04:42.000]  創世之初 上帝塑造了第一個男人 栽種了第一座果園
[00:04:42.000 --> 00:04:48.000]  然後將他精心塑造的亞當 安置在這座伊甸園
[00:04:48.000 --> 00:04:52.000]  安置 新漢語譯作安頓
[00:04:53.000 --> 00:04:58.000]  因為原文有一種促使休息 安定的意思
[00:04:58.000 --> 00:05:05.000]  在舊約 這個字也會形容上帝令人得享太平 得享安寧
[00:05:05.000 --> 00:05:11.000]  換言之 上帝將亞當安頓 是一塊很安全的樂土
[00:05:11.000 --> 00:05:18.000]  耶和華神將那個人安置在伊甸園
[00:05:19.000 --> 00:05:27.000]  一章一節開始 作者已經不斷尊稱這個創天造地的是神 耶路謙
[00:05:27.000 --> 00:05:34.000]  指創造主和造物主之間 造物者之間 一般性的關係
[00:05:34.000 --> 00:05:39.000]  大家看不看到 要再下一章 麻煩你
[00:05:39.000 --> 00:05:41.000]  一般性的關係
[00:05:42.000 --> 00:05:49.000]  到二章四節開始 作者不斷歷清神的名字 耶和華
[00:05:49.000 --> 00:05:53.000]  專指神和以色列民納約的上主
[00:05:53.000 --> 00:05:58.000]  強調神和祂指紋親密個人的關係
[00:05:58.000 --> 00:06:04.000]  那位萬有的創造主 那位和人有親密關係的耶和華神
[00:06:04.000 --> 00:06:08.000]  親自將亞當安頓在伊甸園
[00:06:08.000 --> 00:06:11.000]  還記不記得伊甸是什麼意思
[00:06:11.000 --> 00:06:16.000]  富庶 喜悅 快樂
[00:06:16.000 --> 00:06:19.000]  伊甸園就是幸福快樂的原地
[00:06:19.000 --> 00:06:25.000]  而且是耶和華神親自護衛的安全地帶
[00:06:25.000 --> 00:06:30.000]  想像一下 上帝好像一個偉大的爸爸
[00:06:30.000 --> 00:06:37.000]  將祂所愛的孩子 放在祂自己悉心預備的家園
[00:06:38.000 --> 00:06:43.000]  一塊令孩子覺得喜悅快樂又有安全感的安樂窩
[00:06:43.000 --> 00:06:50.000]  為什麼耶和華將人安置在伊甸園?
[00:06:50.000 --> 00:06:52.000]  經文怎麼說?
[00:06:52.000 --> 00:06:55.000]  讓他耕耘看管
[00:06:55.000 --> 00:07:00.000]  耕耘 意思是有工作服侍
[00:07:00.000 --> 00:07:03.000]  而看管就是保守 看守
[00:07:04.000 --> 00:07:10.000]  看管是強而有力的字 有嚴防 嚴謹 防守
[00:07:10.000 --> 00:07:13.000]  說到人要盡力保護持守的意思
[00:07:13.000 --> 00:07:19.000]  耕耘看管這兩個動詞 原意也有目的的意思
[00:07:19.000 --> 00:07:24.000]  就是說 上帝將亞當安頓在伊甸園的目的
[00:07:24.000 --> 00:07:28.000]  就是耕種和看守這片土地
[00:07:29.000 --> 00:07:32.000]  起初 神創造天地
[00:07:32.000 --> 00:07:38.000]  創造的卷手 作者以宏觀的角度 廣闊的視野 磅礴的氣勢
[00:07:38.000 --> 00:07:43.000]  展開神創天造地 一幅幅又一幅的畫卷
[00:07:43.000 --> 00:07:45.000]  一星又一星令下
[00:07:45.000 --> 00:07:51.000]  在混亂黑暗裡面 上帝創造了日月星宿 天地山河
[00:07:51.000 --> 00:07:54.000]  創造了一個有秩序的世界
[00:07:55.000 --> 00:08:02.000]  到了第六天 作者概述神照著他的形象 做男做女
[00:08:02.000 --> 00:08:11.000]  然後賜福給他們 託付他們統治 管理神創造的海陸空生物
[00:08:11.000 --> 00:08:14.000]  我相信這些大家都不陌生
[00:08:14.000 --> 00:08:18.000]  我想請姐妹們一起讀一章二十八節
[00:08:19.000 --> 00:08:33.000]  一二三
[00:08:33.000 --> 00:08:43.000]  去到第二章 作者以微觀的角度 聚焦神創造男女栽種伊甸園的細節
[00:08:44.000 --> 00:08:51.000]  從一張一個灰黃的整個宇宙 漸漸聚焦地上的一對男女 一座果園
[00:08:51.000 --> 00:08:57.000]  二章十五節 神託付亞當管理保護伊甸園
[00:08:57.000 --> 00:09:03.000]  就好像一章二十八節 神託付人管理海陸空生物
[00:09:03.000 --> 00:09:09.000]  這是亞當被造的目的 是他生存的目的
[00:09:10.000 --> 00:09:18.000]  在古近東 平民百姓多數栽種菜園 只有皇帝才會種植花園果園
[00:09:18.000 --> 00:09:25.000]  種植伊甸果園的耶護華神 這位宇宙的大君王 萬物的源頭
[00:09:25.000 --> 00:09:30.000]  命令託付亞當看守伊甸樂園
[00:09:30.000 --> 00:09:36.000]  這是神給他的照明 什麼是照明呢
[00:09:37.000 --> 00:09:43.000]  可能你都聽過 看過 楊碩昌醫生談及照明
[00:09:43.000 --> 00:09:50.000]  好像楊醫所說 神呼召你去做的 就是神給人的照明
[00:09:50.000 --> 00:09:55.000]  還記不記得 神怎樣塑造亞當
[00:09:55.000 --> 00:10:00.000]  我請各位弟兄一起讀二章七節 起
[00:10:01.000 --> 00:10:10.000]  (二章七節)
[00:10:10.000 --> 00:10:18.000]  神塑造了巧奪天公的人體 將生命之氣吹入他的鼻孔
[00:10:18.000 --> 00:10:25.000]  他就成為有靈的活人 有靈的活人可以亦做會呼吸的生命
[00:10:26.000 --> 00:10:30.000]  大家知道嗎 形容人是有靈的活人
[00:10:30.000 --> 00:10:36.000]  形容海陸空生物是什麼呢 有生命之物
[00:10:36.000 --> 00:10:43.000]  那你知不知道在原文這兩句 其實是一模一樣的寫法
[00:10:43.000 --> 00:10:49.000]  換言之人和動物都是會呼吸的生物 都是有生命的活物
