
[00:00:00.000 --> 00:00:02.720]  但其實在《使徒行傳》
[00:00:02.720 --> 00:00:04.880]  保羅在傳福音的時間
[00:00:04.880 --> 00:00:06.800]  他是遇過沒有路可走的
[00:00:06.800 --> 00:00:08.040]  因為是聖靈
[00:00:08.040 --> 00:00:11.680]  即是說神阻截了他傳福音的路
[00:00:11.680 --> 00:00:13.760]  但保羅的態度是很積極的
[00:00:13.760 --> 00:00:15.160]  他不會說沒有路可走
[00:00:15.160 --> 00:00:17.120]  神好像作弄我
[00:00:17.120 --> 00:00:18.960]  我便沒有心機了
[00:00:18.960 --> 00:00:21.640]  他依然有一個態度向前進
[00:00:21.640 --> 00:00:23.000]  在《使徒行傳》十六章
[00:00:23.000 --> 00:00:24.280]  今天我們看這段經文
[00:00:24.280 --> 00:00:27.720]  是讓我們一同好好學習這種態度是怎樣的
[00:00:27.720 --> 00:00:29.000]  我們低頭祈禱吧
[00:00:29.840 --> 00:00:30.720]  賜給我父神
[00:00:30.720 --> 00:00:32.920]  感謝祢讓我們有機會一同看聖經
[00:00:32.920 --> 00:00:36.200]  一同學習保羅和他們一群初期使徒
[00:00:36.200 --> 00:00:37.720]  他們傳福音的榜樣
[00:00:37.720 --> 00:00:39.840]  求主祢讓我們有謙卑的心
[00:00:39.840 --> 00:00:40.560]  多謝主
[00:00:40.560 --> 00:00:41.360]  以上祈禱交上
[00:00:41.360 --> 00:00:43.240]  奉耶穌基督名字而求
[00:00:43.240 --> 00:00:44.040]  阿們
[00:00:44.040 --> 00:00:45.440]  保羅
[00:00:45.440 --> 00:00:47.000]  你聽過上一次
[00:00:47.000 --> 00:00:48.600]  Eric Camus的分享
[00:00:48.600 --> 00:00:50.320]  其實他都相當仔細
[00:00:50.320 --> 00:00:53.000]  他們已經請示耶路撒冷
[00:00:53.000 --> 00:00:53.600]  就是說
[00:00:53.600 --> 00:00:55.680]  沒有受國禮的外邦人
[00:00:55.680 --> 00:00:57.000]  只要他信耶穌
[00:00:57.000 --> 00:00:59.640]  他都可以有永生成為基督徒
[00:00:59.640 --> 00:01:02.600]  他們就拿著這個信念
[00:01:02.600 --> 00:01:04.280]  和清晰的教義
[00:01:04.280 --> 00:01:08.720]  繼續踏上他們與外邦人傳福音的道路
[00:01:08.720 --> 00:01:10.880]  有保羅和西拉
[00:01:10.880 --> 00:01:13.400]  他們在走這條路的時候
[00:01:13.400 --> 00:01:14.800]  他們都遇到一些人
[00:01:14.800 --> 00:01:16.720]  也遇到其他事情
[00:01:16.720 --> 00:01:18.280]  我們看看他們遇到什麼人
[00:01:18.280 --> 00:01:19.560]  在第一節
[00:01:19.560 --> 00:01:21.920]  保羅帶提摩太同行
[00:01:21.920 --> 00:01:23.600]  保羅來到特比
[00:01:23.600 --> 00:01:25.360]  有道了勞斯德
[00:01:25.360 --> 00:01:28.320]  在那裡有一個門徒名叫提摩太
[00:01:28.320 --> 00:01:31.560]  是一個信主的猶太婦人的兒子
[00:01:31.560 --> 00:01:33.560]  父親卻是希臘人
[00:01:33.560 --> 00:01:36.960]  勞斯德和以哥廉的弟兄都稱讚他
[00:01:36.960 --> 00:01:39.720]  保羅猶豫要他一同出去
[00:01:39.720 --> 00:01:42.040]  但為了那些地方的猶太人
[00:01:42.040 --> 00:01:44.280]  就給他行了國禮
[00:01:44.280 --> 00:01:48.160]  因為他們都知道父親是希臘人
[00:01:48.160 --> 00:01:50.880]  那時候他們已經有一個信念
[00:01:50.880 --> 00:01:52.640]  是與外邦人傳福音
[00:01:52.640 --> 00:01:55.480]  保羅來到特比勞斯德這個地方
[00:01:55.480 --> 00:01:59.000]  這些地方大概是一個叫亞細亞
[00:01:59.000 --> 00:02:01.200]  或者有時候叫小亞細亞的地方
[00:02:01.200 --> 00:02:03.040]  以色列就在這裡
[00:02:03.040 --> 00:02:06.480]  小亞細亞大概是右上角的位置
[00:02:06.480 --> 00:02:10.800]  勞斯德和特比這些都是小亞細亞的地方
[00:02:10.800 --> 00:02:14.920]  那些地方其實有很多外邦人
[00:02:14.920 --> 00:02:16.840]  有很多猶太人居住
[00:02:16.840 --> 00:02:18.880]  在那裡傳福音就一流了
[00:02:18.880 --> 00:02:22.240]  因為可以藉著猶太的會堂傳福音
[00:02:22.240 --> 00:02:24.760]  也讓外邦人可以聽到
[00:02:24.760 --> 00:02:27.840]  他們遇上了提摩泰
[00:02:27.840 --> 00:02:31.720]  可以說是保羅的一個得力徒弟
[00:02:31.720 --> 00:02:34.840]  所以在新約聖經有一本書
[00:02:34.840 --> 00:02:36.240]  就是提摩泰前書
[00:02:36.240 --> 00:02:38.200]  和另一本就是提摩泰後書
[00:02:38.200 --> 00:02:44.280]  就是保羅快要死之前寫給他的徒弟提摩泰的提醒
[00:02:44.280 --> 00:02:47.720]  提摩泰遇上他就十分開心
[00:02:47.720 --> 00:02:49.480]  因為他的品格很好
[00:02:49.480 --> 00:02:51.840]  他有一個猶太人的媽媽
[00:02:51.840 --> 00:02:54.440]  其實他也有一個猶太人的婆婆
[00:02:54.440 --> 00:02:56.680]  教導他很多舊約聖經
[00:02:56.680 --> 00:02:59.120]  讓他成為一個敬虔的猶太人
[00:02:59.120 --> 00:03:01.760]  但是他有一半的血統是希臘人
[00:03:01.760 --> 00:03:03.640]  因為他爸爸是希臘人
[00:03:03.640 --> 00:03:06.800]  其實勞斯德以哥廉信了主的弟兄
[00:03:06.800 --> 00:03:08.800]  也大讚這個年輕人
[00:03:08.800 --> 00:03:09.520]  很棒啊
[00:03:09.520 --> 00:03:10.520]  有前途
[00:03:10.520 --> 00:03:11.320]  品格好
[00:03:11.320 --> 00:03:12.520]  對神忠誠
[00:03:12.520 --> 00:03:15.160]  保羅看到他這麼好的時候
[00:03:15.160 --> 00:03:17.560]  不如我帶他一起去傳福音
[00:03:17.560 --> 00:03:21.680]  因為我想很相信是一個人去幫助他很重要
[00:03:21.680 --> 00:03:24.120]  二來其實也需要一些繼承人
[00:03:24.120 --> 00:03:27.400]  因為他跟隨傳福音的路程和建立教會
[00:03:27.400 --> 00:03:29.120]  是相當漫長
[00:03:29.120 --> 00:03:30.480]  而且真的需要想一想
[00:03:30.480 --> 00:03:32.680]  有些繼承人幫忙也很重要
[00:03:32.680 --> 00:03:34.440]  但是上一次
[00:03:34.440 --> 00:03:36.360]  如果你聽Erik Campos的解說
[00:03:36.360 --> 00:03:36.960]  你就知道
[00:03:36.960 --> 00:03:40.960]  其實耶路撒冷他們商議完之後
[00:03:40.960 --> 00:03:43.120]  男人不用受割禮
[00:03:43.120 --> 00:03:45.800]  也可以信耶穌成為基督徒
[00:03:45.800 --> 00:03:48.960]  但是為什麼保羅也叫提摩泰
[00:03:48.960 --> 00:03:51.080]  他也要行割禮呢?
[00:03:51.080 --> 00:03:53.880]  因為在初期傳福音的路程上
[00:03:53.880 --> 00:03:55.400]  很多的拍檔
[00:03:55.400 --> 00:03:58.720]  很多的對象都是猶太人先行
[00:03:58.720 --> 00:04:01.160]  但是隨著福音繼續傳開的時候
[00:04:01.160 --> 00:04:02.480]  就開始倒轉了
[00:04:02.480 --> 00:04:05.720]  外邦人佔大多數人
