
[00:00:00.000 --> 00:00:03.040]  很感謝勁敗隊帶領我們去勁敗
[00:00:03.040 --> 00:00:04.600]  其實很感動
[00:00:04.600 --> 00:00:06.520]  剛開始練歌的時候
[00:00:06.520 --> 00:00:08.680]  已經快哭了
[00:00:08.680 --> 00:00:13.000]  我覺得有神在我們當中
[00:00:13.000 --> 00:00:15.240]  已經是很感恩的一件事
[00:00:15.240 --> 00:00:17.040]  很想回到勁敗
[00:00:17.040 --> 00:00:19.920]  勁敗這個愛我們到底的主人
[00:00:19.920 --> 00:00:23.720]  不知道大家剛才在勁敗裡有什麼體會
[00:00:23.720 --> 00:00:26.520]  希望可以好好珍惜他
[00:00:26.520 --> 00:00:29.000]  特別有一樣很開心的事
[00:00:29.000 --> 00:00:31.520]  就是Jacky一開始跟我們說的一樣東西
[00:00:31.520 --> 00:00:34.040]  就是很想大家意識到
[00:00:34.040 --> 00:00:36.120]  我們有同伴
[00:00:36.120 --> 00:00:38.320]  旁邊有我們身邊的弟兄姊妹
[00:00:38.320 --> 00:00:39.120]  我們一起去勁敗
[00:00:39.120 --> 00:00:42.760]  很想去慰藥旁邊的去祈禱
[00:00:42.760 --> 00:00:43.880]  令我想起一句話
[00:00:43.880 --> 00:00:46.800]  就是在乎同行在乎堅持
[00:00:46.800 --> 00:00:49.640]  大家知道我說什麼
[00:00:49.640 --> 00:00:52.000]  今天就是逆旅先鋒
[00:00:52.000 --> 00:00:55.640]  可能大家有些未經歷過
[00:00:55.640 --> 00:00:56.680]  未知道是什麼
[00:00:56.680 --> 00:00:57.640]  都解釋一下
[00:00:57.640 --> 00:01:00.000]  逆旅先鋒就是一個行山的活動
[00:01:00.000 --> 00:01:03.680]  去幫突破機構籌款
[00:01:03.680 --> 00:01:09.520]  同時也幫助青少年訓練的毅力
[00:01:09.520 --> 00:01:12.760]  我們去體會同行的美好
[00:01:12.760 --> 00:01:13.440]  很有趣
[00:01:13.440 --> 00:01:14.880]  逆旅先鋒很多年
[00:01:14.880 --> 00:01:16.920]  我們有些樂手
[00:01:16.920 --> 00:01:18.560]  其實之前都走過30km
[00:01:18.560 --> 00:01:19.880]  很辛苦
[00:01:19.880 --> 00:01:22.280]  我剛剛想起了一些隊名
[00:01:22.280 --> 00:01:24.880]  有些隊名叫做「齊齊碌落山」
[00:01:24.880 --> 00:01:25.680]  很好笑
[00:01:25.680 --> 00:01:28.600]  其實已經預計會碌落山
[00:01:28.600 --> 00:01:30.920]  但其實是很開心的一件事
[00:01:30.920 --> 00:01:31.760]  很困難
[00:01:31.760 --> 00:01:32.880]  路很難走
[00:01:32.880 --> 00:01:37.080]  但很開心就是有同伴跟你走
[00:01:37.080 --> 00:01:40.440]  但有時候逆旅先鋒在裡面
[00:01:40.440 --> 00:01:43.800]  不是每個人都願意跟別人同行
[00:01:43.800 --> 00:01:46.320]  我記得那時候有些初中
[00:01:46.320 --> 00:01:48.920]  整個小組去行的時候
[00:01:48.920 --> 00:01:50.400]  一支箭就打了他
[00:01:50.400 --> 00:01:52.400]  然後就留下導師在那裡
[00:01:52.400 --> 00:01:53.440]  多慘
[00:01:53.440 --> 00:01:55.280]  導師回來哭了
[00:01:55.280 --> 00:01:56.440]  又孤單感
[00:01:56.440 --> 00:01:57.960]  然後又有童年陰影
[00:01:57.960 --> 00:01:59.320]  全部都出來說
[00:01:59.320 --> 00:02:01.040]  真的很淒慘
[00:02:01.040 --> 00:02:05.600]  所以身邊有同行真的要好好珍惜他
[00:02:05.600 --> 00:02:07.520]  不過今天特別想說
[00:02:07.520 --> 00:02:11.320]  逆旅先鋒有一件事令我很印象深刻
[00:02:11.320 --> 00:02:13.360]  就是有一隊很厲害的
[00:02:13.360 --> 00:02:15.440]  你看他們熱身
[00:02:15.440 --> 00:02:17.000]  好像拉筋一樣
[00:02:17.000 --> 00:02:19.960]  準備一開鑼就去
[00:02:19.960 --> 00:02:20.520]  一拍
[00:02:20.520 --> 00:02:22.720]  然後你看他們開始跑
[00:02:22.720 --> 00:02:25.960]  因為那時候很多走得很快的
[00:02:25.960 --> 00:02:27.320]  他們特別喜歡選一些短的
[00:02:27.320 --> 00:02:29.520]  8K然後鬥快
[00:02:29.520 --> 00:02:32.440]  你看著他們一支箭就衝出去
[00:02:32.440 --> 00:02:33.240]  跑
[00:02:33.240 --> 00:02:34.280]  然後每個人都在說
[00:02:34.280 --> 00:02:35.720]  他們應該可以
[00:02:35.720 --> 00:02:37.920]  這隊應該會第一
[00:02:37.920 --> 00:02:39.600]  怎知道突然間
[00:02:39.600 --> 00:02:41.280]  checkpoint和checkpoint之間
