
[00:00:00.000 --> 00:00:03.480]  親愛的天父,謝謝祢讓我們看到祢的能力
[00:00:03.480 --> 00:00:07.360]  看到聖潔的靈在我們當中的時候
[00:00:07.360 --> 00:00:09.560]  我們口唱心和的敬拜祢
[00:00:09.560 --> 00:00:11.040]  我們心被感動
[00:00:11.040 --> 00:00:13.880]  我們整個全人都好像被祢得著一樣
[00:00:13.880 --> 00:00:14.760]  主,我們謝謝祢
[00:00:14.760 --> 00:00:19.760]  讓我們在年尾最後一次崇拜裡面
[00:00:19.760 --> 00:00:21.280]  去到殿中敬拜祢
[00:00:21.280 --> 00:00:22.320]  還有聽祢的話語
[00:00:22.320 --> 00:00:24.720]  求祢帶領著我們
[00:00:24.720 --> 00:00:26.640]  奉主耶穌基督的聖命而求
[00:00:26.640 --> 00:00:27.880]  阿門
[00:00:27.880 --> 00:00:29.400]  好,大家好
[00:00:30.120 --> 00:00:37.200]  不知道大家是不是已經
[00:00:37.200 --> 00:00:39.560]  我想說什麼呢
[00:00:39.560 --> 00:00:42.200]  就是
[00:00:42.200 --> 00:00:45.440]  直接去問這個問題
[00:00:45.440 --> 00:00:47.560]  有沒有人試過
[00:00:47.560 --> 00:00:49.760]  我是女兒
[00:00:49.760 --> 00:00:52.240]  有沒有人試過像我這樣
[00:00:52.240 --> 00:00:56.240]  偷偷地去用媽媽的化妝品
[00:00:56.240 --> 00:00:57.160]  有沒有?
[00:00:57.160 --> 00:00:59.480]  有啊,真的
[00:00:59.480 --> 00:01:02.000]  可不可以發一個PowerPoint來看看
[00:01:02.000 --> 00:01:03.840]  為什麼呢?
[00:01:03.840 --> 00:01:06.320]  因為媽媽的化妝很漂亮
[00:01:06.320 --> 00:01:07.720]  漂亮我就學
[00:01:07.720 --> 00:01:09.160]  有什麼學什麼
[00:01:09.160 --> 00:01:13.400]  每逢媽媽出去買菜
[00:01:13.400 --> 00:01:14.360]  出門後
[00:01:14.360 --> 00:01:16.600]  我就在她的床的抽屜
[00:01:16.600 --> 00:01:18.520]  拿化妝品來用
[00:01:18.520 --> 00:01:19.400]  我媽媽很厲害
[00:01:19.400 --> 00:01:21.560]  會發現我會弄好
[00:01:21.560 --> 00:01:23.440]  弄好
[00:01:23.440 --> 00:01:25.120]  原來不是只有我一個
[00:01:25.120 --> 00:01:28.360]  所以好的東西我們是會去學的
[00:01:28.360 --> 00:01:30.200]  有那樣學那樣
[00:01:30.200 --> 00:01:36.000]  今天我們來教的主題式經文
[00:01:36.000 --> 00:01:38.240]  就是《已忽所書》
[00:01:38.240 --> 00:01:40.640]  上次曾經說過
[00:01:40.640 --> 00:01:46.800]  保羅的書信通常給我們什麼印象呢
[00:01:46.800 --> 00:01:50.280]  有關有樣學樣是什麼呢
[00:01:50.280 --> 00:01:53.600]  因為當中其實有很多深奧的神學
[00:01:53.600 --> 00:01:55.200]  又有很多理論
[00:01:55.200 --> 00:01:58.160]  但是我又發覺在《已忽所書》裡面
[00:01:58.160 --> 00:01:59.720]  保羅書信之中
[00:01:59.720 --> 00:02:02.440]  《已忽所書》有理論
[00:02:02.440 --> 00:02:04.040]  又很實用
[00:02:04.040 --> 00:02:05.800]  因為當中又有救恩
[00:02:05.800 --> 00:02:07.080]  又有關於教會
[00:02:07.080 --> 00:02:10.240]  並且對我們屬靈生命很有幫助
[00:02:10.240 --> 00:02:14.360]  上一次我講這本書的時候也說過
[00:02:14.360 --> 00:02:15.640]  有神學家說
[00:02:15.640 --> 00:02:21.360]  頭三章是關於教義和理論上的基礎神學
[00:02:21.360 --> 00:02:22.760]  後面的三章就是
[00:02:22.760 --> 00:02:25.920]  我們如何回應和落實這些教導
[00:02:25.920 --> 00:02:27.600]  所以我說過
[00:02:27.600 --> 00:02:30.760]  它有很多實踐和很實用的
[00:02:30.760 --> 00:02:31.760]  有學者說
[00:02:31.760 --> 00:02:35.400]  第一至第三章是神為我們做什麼工作
[00:02:35.400 --> 00:02:37.800]  第四至第六章就是
[00:02:37.800 --> 00:02:40.880]  我們應該如何為神工作
[00:02:40.880 --> 00:02:44.520]  「行事為」或者「行事」這個字
[00:02:44.520 --> 00:02:48.320]  是貫穿整個《已忽所書》
[00:02:48.320 --> 00:02:51.160]  上一次我說到的時候
[00:02:51.160 --> 00:02:53.000]  如果大家有印象
[00:02:53.000 --> 00:02:54.320]  通常也有的
[00:02:54.320 --> 00:02:59.840]  就是講「行事為人所蒙的呼召相稱」
[00:02:59.840 --> 00:03:02.400]  就是說「課要對板」
[00:03:02.400 --> 00:03:04.240]  我們蒙了召
[00:03:04.240 --> 00:03:05.240]  我們課要對板
[00:03:05.240 --> 00:03:10.320]  這次就是「行事與蒙愛的身份相稱」
[00:03:10.320 --> 00:03:12.360]  因為我們是上帝的兒女
[00:03:12.360 --> 00:03:13.960]  蒙祂的慈愛
[00:03:13.960 --> 00:03:17.160]  我們應該在我們生活上
[00:03:17.160 --> 00:03:18.160]  像祂的
[00:03:18.160 --> 00:03:19.160]  學
[00:03:19.160 --> 00:03:21.560]  就是有樣學樣的
[00:03:21.560 --> 00:03:24.160]  所以今天的主題就是
[00:03:24.160 --> 00:03:27.040]  「行事與蒙愛的身份相稱」
[00:03:27.040 --> 00:03:30.680]  今天的經文會在五章一至二十節
[00:03:30.680 --> 00:03:33.960]  不如我請大家讀出
