
[00:00:00.000 --> 00:00:04.000]  在聽道之先我們一起同心禱告
[00:00:04.000 --> 00:00:06.000]  慈悲人愛天父上帝
[00:00:06.000 --> 00:00:09.000]  我們多謝你報仇我們的腳步
[00:00:09.000 --> 00:00:12.000]  都滿有平安回來
[00:00:12.000 --> 00:00:15.000]  雖然天氣有變動
[00:00:15.000 --> 00:00:18.000]  但是我們的心在你裡面
[00:00:18.000 --> 00:00:20.000]  因著你而安穩
[00:00:20.000 --> 00:00:23.000]  我們在今天早上一同來敬拜你
[00:00:23.000 --> 00:00:25.000]  願你藉著你的話語
[00:00:25.000 --> 00:00:27.000]  對我們心靈講說話
[00:00:27.000 --> 00:00:31.000]  願意聖靈在我們當中讓講的聽的
[00:00:31.000 --> 00:00:33.000]  我們都一同來得恩
[00:00:33.000 --> 00:00:35.000]  願你祝福帶領以下時間
[00:00:35.000 --> 00:00:38.000]  我們誠心禱告奉耶穌基督的名求
[00:00:38.000 --> 00:00:40.000]  阿們
[00:00:40.000 --> 00:00:48.000]  我曾經在電視明珠台
[00:00:48.000 --> 00:00:50.000]  看過一套電影
[00:00:50.000 --> 00:00:55.000]  是從日本一個真人真事的事
[00:00:55.000 --> 00:00:57.000]  改編的
[00:00:57.000 --> 00:01:02.000]  就是講到秋田犬八哥的故事
[00:01:02.000 --> 00:01:07.000]  這隻小狗對主人的忠誠
[00:01:07.000 --> 00:01:09.000]  很令人感動
[00:01:09.000 --> 00:01:13.000]  內容就是講到1924年
[00:01:13.000 --> 00:01:18.000]  在東京大學一位叫做尚野的教授
[00:01:18.000 --> 00:01:22.000]  他收養了一隻日本的傳奇
[00:01:22.000 --> 00:01:26.000]  很忠心的狗叫做八公
[00:01:26.000 --> 00:01:30.000]  但香港譯名就是秋田犬八千
[00:01:30.000 --> 00:01:34.000]  初時尚野教授的家人
[00:01:34.000 --> 00:01:39.000]  對收養這隻小狗是不贊成的
[00:01:39.000 --> 00:01:43.000]  但尚野教授對他特別是寵愛
