
[00:00:00.000 --> 00:00:04.200]  當大家剛才讀完這幾節經文
[00:00:04.200 --> 00:00:10.000]  第一部分我們會先從第七到第十節去看成長是一件什麼事情
[00:00:10.000 --> 00:00:12.000]  保羅在第七到第十節
[00:00:12.000 --> 00:00:15.500]  其實他在說我們怎樣看自己這個身份
[00:00:15.500 --> 00:00:19.000]  其實有時也會影響我們怎樣看成長這件事
[00:00:19.000 --> 00:00:23.500]  保羅在第七到第十節到第九節
[00:00:23.500 --> 00:00:25.500]  他說了一件很簡單的事
[00:00:25.500 --> 00:00:30.500]  他就說我們每一個人都是同樣領受著同一份的恩典
[00:00:30.500 --> 00:00:32.500]  然後在第八到第九節
[00:00:32.500 --> 00:00:36.500]  他就引用了詩篇的六十八篇第十八節
[00:00:36.500 --> 00:00:39.500]  去說原來基督已經勝過一切
[00:00:39.500 --> 00:00:41.500]  然後就擄掠了仇敵
[00:00:41.500 --> 00:00:44.000]  將戰利品因此分配給他的子民
[00:00:44.000 --> 00:00:46.500]  讓他們領受不同的恩賜
[00:00:46.500 --> 00:00:48.500]  這幾節經文我看完的時候也會問
[00:00:48.500 --> 00:00:51.500]  保羅其實究竟想表達些什麼呢
[00:00:51.500 --> 00:00:55.500]  在第七節保羅用了兩次的國人
[00:00:55.500 --> 00:00:59.500]  很想去強調原來我們每一個信徒
[00:00:59.500 --> 00:01:01.500]  都是獨特的個體
[00:01:01.500 --> 00:01:03.500]  同樣在基督的身體裏面
[00:01:03.500 --> 00:01:05.500]  都有他的多元性在裏面
[00:01:05.500 --> 00:01:09.500]  但是就算我們每一個人是不同也好
[00:01:09.500 --> 00:01:14.500]  原來我們同樣都是被揀選去領受同一份的恩典
[00:01:14.500 --> 00:01:20.500]  同樣藉著這份恩典我們能夠得著恩賜
[00:01:20.500 --> 00:01:23.500]  很特別的當我們看中文的時候
[00:01:23.500 --> 00:01:27.500]  我們會看到第七和第八節都是恩賜這兩個字
[00:01:27.500 --> 00:01:32.500]  但是在原文裏面原來第七節的恩賜是單數的
[00:01:32.500 --> 00:01:34.500]  第八節的恩賜是眾數的
[00:01:34.500 --> 00:01:38.500]  我會問的是為什麼這個字突然間會有這樣的轉變呢
[00:01:38.500 --> 00:01:40.500]  原來保羅很想帶出的是
[00:01:40.500 --> 00:01:44.500]  原來我們每一個人都是領受著同一份的恩賜
[00:01:44.500 --> 00:01:46.500]  同一份的恩典
[00:01:46.500 --> 00:01:51.500]  同樣基督藉著這份白白的恩典
[00:01:51.500 --> 00:01:55.500]  同樣我們每一個人都能夠領受恩賜
[00:01:55.500 --> 00:01:59.500]  同樣當我們每一個人都是一個很獨特的個體的時候
[00:01:59.500 --> 00:02:04.500]  上帝就會按著我們不同人的不同特質
[00:02:04.500 --> 00:02:06.500]  給我們很多不同的禮物
[00:02:06.500 --> 00:02:08.500]  我們能夠在生命上展現
[00:02:08.500 --> 00:02:09.500]  譬如我們有不同的性格
[00:02:09.500 --> 00:02:11.500]  有不同的特質
[00:02:11.500 --> 00:02:13.500]  我們每一個都是一個很獨特的人
[00:02:13.500 --> 00:02:17.500]  保羅很想說我們每一個人都是源自於上帝
[00:02:17.500 --> 00:02:20.500]  但是神創造我們每一個人都是獨特的
[00:02:20.500 --> 00:02:23.500]  所以他在說的是藉著一個過程
