
[00:00:00.000 --> 00:00:03.080]  感謝神歌聲將我們帶到天堂的邊緣
[00:00:03.080 --> 00:00:04.480]  甚至是天堂的裏面
[00:00:04.480 --> 00:00:07.480]  我們在神的面前去敬拜祂
[00:00:07.480 --> 00:00:12.800]  很感恩能夠回來跟大家分享上帝的說話
[00:00:12.800 --> 00:00:15.080]  有幾件事都想大家去紀念禱告
[00:00:15.080 --> 00:00:18.720]  第四子今天已經是一周年了
[00:00:18.720 --> 00:00:21.080]  他們在這個租約裏面
[00:00:21.080 --> 00:00:24.920]  到了一個較為後的階段去跟業主去談
[00:00:24.920 --> 00:00:27.000]  所以大家都為這件事記在心裏
[00:00:27.120 --> 00:00:30.040]  第二件事記在心裏面
[00:00:30.040 --> 00:00:32.440]  我們負責教會的幾位同工
[00:00:32.440 --> 00:00:36.160]  將會在四月三日、四月四日有一個退休
[00:00:36.160 --> 00:00:40.000]  一起跟尋上帝在我們前面要走的路的心意
[00:00:40.000 --> 00:00:42.760]  請大家紀念我們的退休
[00:00:42.760 --> 00:00:44.480]  第三件事都想大家紀念
[00:00:44.480 --> 00:00:47.640]  我不知道大家可能在座當中做媽媽的認識
[00:00:47.640 --> 00:00:49.800]  以前幫我們看BB的麥太
[00:00:49.800 --> 00:00:51.600]  可能我們很多人都認識她
[00:00:51.600 --> 00:00:53.960]  她早前安返天家
[00:00:53.960 --> 00:00:56.720]  我都想大家紀念她和她的家庭
[00:00:56.720 --> 00:01:00.160]  我們可能很多做媽媽的都在BB房認識她
[00:01:00.160 --> 00:01:02.720]  和她都有過服侍過我們
[00:01:02.720 --> 00:01:04.720]  這幾件事都想大家紀念
[00:01:04.720 --> 00:01:07.120]  我們開始的時候一起去禱告
[00:01:07.120 --> 00:01:12.640]  七天父求你自己親自的今日繼續臨在我們當中
[00:01:12.640 --> 00:01:14.480]  願意你自己的補血
[00:01:14.480 --> 00:01:15.640]  你自己的話語
[00:01:15.640 --> 00:01:16.840]  你自己的同在
[00:01:16.840 --> 00:01:18.200]  聖靈的感動
[00:01:18.200 --> 00:01:21.200]  常與我們這一群去同在
[00:01:21.200 --> 00:01:24.440]  求主你都保守在我們分享的時候
[00:01:24.440 --> 00:01:26.120]  在我們宣講的時候
[00:01:26.120 --> 00:01:27.840]  我們都紀念神家的需要
[00:01:27.840 --> 00:01:29.640]  無論是麥太的家中
[00:01:29.640 --> 00:01:31.760]  求主你自己親自看顧她的家中
[00:01:31.760 --> 00:01:34.400]  每一個醫治她的每一位傷心的
