
[00:00:00.000 --> 00:00:02.000]  親愛的兄弟姐妹平安
[00:00:02.000 --> 00:00:06.440]  很感恩今天能夠分享神這麼寶貴的話
[00:00:06.440 --> 00:00:08.840]  剛才的敬拜很感動
[00:00:08.840 --> 00:00:12.480]  讓我們的心專注在神上
[00:00:12.480 --> 00:00:15.080]  讓我們開始聽神的話之前
[00:00:15.080 --> 00:00:17.080]  我們一同低頭禱告
[00:00:17.080 --> 00:00:23.480]  親愛的天父、親愛的主耶穌
[00:00:23.480 --> 00:00:27.000]  你愛我們愛到這麼到底的時候
[00:00:27.000 --> 00:00:30.200]  我們有什麼可以為你獻上呢?
[00:00:30.200 --> 00:00:33.600]  主啊求你藉著以下你自己的話
[00:00:33.600 --> 00:00:35.600]  打開我們的眼睛
[00:00:35.600 --> 00:00:37.600]  讓我們看得清楚
[00:00:37.600 --> 00:00:39.600]  打開我們的心
[00:00:39.600 --> 00:00:42.200]  讓我們信服、明白
[00:00:42.200 --> 00:00:45.000]  行出你讓我們行的旨意
[00:00:45.000 --> 00:00:48.200]  活出一個你喜悅而淚的身份
[00:00:48.200 --> 00:00:51.600]  祝福說的和聽的都一同被你得著
[00:00:51.600 --> 00:00:53.600]  我們的祈禱奉主名求
[00:00:53.600 --> 00:00:55.600]  阿門
[00:00:55.600 --> 00:00:58.000]  今天的講道題目是
[00:00:58.000 --> 00:01:01.200]  跑好淑齡接力賽的4G
[00:01:01.200 --> 00:01:05.200]  等下聽到後面你就知道是什麼4G了
[00:01:05.200 --> 00:01:11.200]  不知道大家小時候有沒有參加學校的陸運會比賽?
[00:01:11.200 --> 00:01:12.200]  有沒有?
[00:01:12.200 --> 00:01:15.000]  我通常都有的
[00:01:15.000 --> 00:01:17.000]  但我就是做啦啦隊那個
[00:01:17.000 --> 00:01:20.000]  我記得比較深刻的一次就是
[00:01:20.000 --> 00:01:25.000]  我們整隊在支持一隊男生跑那個4乘100
[00:01:25.000 --> 00:01:27.000]  我們支持的那一隊很厲害
[00:01:27.000 --> 00:01:28.600]  搖搖領先
[00:01:28.600 --> 00:01:32.400]  後面那幾隊簡直是美燈都看不到我們
[00:01:32.400 --> 00:01:34.400]  我們想著十拿九穩
[00:01:34.400 --> 00:01:36.400]  但就是到最後一棒
[00:01:36.400 --> 00:01:39.400]  竟然晴天霹靂交失了
[00:01:39.400 --> 00:01:43.400]  結果我們就失落了冠軍
[00:01:43.400 --> 00:01:47.000]  其實有些接力賽的必殺技訪問
[00:01:47.000 --> 00:01:50.000]  就是說究竟有什麼秘訣呢?
[00:01:50.000 --> 00:01:54.600]  第一個秘訣就是要很默契隊員之間
[00:01:54.600 --> 00:01:58.600]  交棒那個就要適合時間放手
[00:01:58.600 --> 00:02:02.600]  接棒那個也要準備好隨時接手
[00:02:02.600 --> 00:02:09.600]  除此之外就是他們要有一份很敏銳的洞察力
[00:02:09.600 --> 00:02:12.600]  頭三棒就看著前面的手交下去
[00:02:12.600 --> 00:02:16.600]  而最後一棒也要看著終點來衝線
[00:02:16.600 --> 00:02:20.600]  絕對不可以是瞻前顧後
[00:02:20.600 --> 00:02:25.600]  在講到之前我也想交代一點金日經文的背景
[00:02:25.600 --> 00:02:31.600]  金日段經文是在《獵王記》下二章一到十八節
[00:02:31.600 --> 00:02:34.600]  就講以利亞和以利沙的交接
[00:02:34.600 --> 00:02:37.600]  很詳細地講了那個情景
[00:02:37.600 --> 00:02:40.600]  背景就是在《獵王記》上十九章
[00:02:40.600 --> 00:02:44.600]  當時就講到以利亞一個很偉大的先知
[00:02:44.600 --> 00:02:49.600]  在加密山上面大勝了四百多個巴力先知
[00:02:49.600 --> 00:02:51.600]  大家可能也很有印象
[00:02:51.600 --> 00:02:56.600]  大勝完之後他就想著這個阿哈王一定會醒悟的
[00:02:56.600 --> 00:02:59.600]  他回到耶穌列之後
[00:02:59.600 --> 00:03:05.600]  一定會剷除主張拜巴力的皇后耶洗別和他的黨羽
[00:03:05.600 --> 00:03:08.600]  誰知道沒有如他所料
[00:03:08.600 --> 00:03:11.600]  反而那個阿哈王還怎樣
[00:03:11.600 --> 00:03:15.600]  調轉槍頭縱容他的皇后耶洗別
[00:03:15.600 --> 00:03:19.600]  來向以利亞發出一個江湖追殺令
[00:03:19.600 --> 00:03:25.600]  當時以利亞對於神對於阿哈王都很失望
[00:03:25.600 --> 00:03:26.600]  為什麼會這樣呢
[00:03:26.600 --> 00:03:28.600]  又有點生氣
[00:03:28.600 --> 00:03:29.600]  於是他就出走
[00:03:29.600 --> 00:03:32.600]  跑了四十晝夜去到荷列山
[00:03:32.600 --> 00:03:34.600]  還在山洞裏躲起來
[00:03:34.600 --> 00:03:36.600]  神問他為什麼躲起來的時候
[00:03:36.600 --> 00:03:37.600]  他怎樣說
[00:03:37.600 --> 00:03:41.600]  他說我為你大發熱心做了這麼多事
[00:03:41.600 --> 00:03:43.600]  但你看我現在什麼收場
[00:03:43.600 --> 00:03:47.600]  那班以色列人又不尊重你的約
[00:03:47.600 --> 00:03:49.600]  又拆毀你的壇
[00:03:49.600 --> 00:03:51.600]  還殺了你的先知
[00:03:51.600 --> 00:03:53.600]  到現在剩下我一個
[00:03:53.600 --> 00:03:57.600]  但神就跟他說不是這樣的
[00:03:57.600 --> 00:03:59.600]  我在以色列留下七千個
[00:03:59.600 --> 00:04:02.600]  未曾經向巴力屈膝親嘴
[00:04:02.600 --> 00:04:04.600]  還是敬拜我的先知
[00:04:04.600 --> 00:04:08.600]  而且我還要交給你三個任務
[00:04:08.600 --> 00:04:11.600]  頭兩個任務就是叫以利亞
[00:04:11.600 --> 00:04:14.600]  你要去告一新的以色列王
[00:04:14.600 --> 00:04:16.600]  和一個新的阿南王
[00:04:16.600 --> 00:04:20.600]  第三個任務就是要告他的接班人
[00:04:20.600 --> 00:04:21.600]  以利沙
[00:04:21.600 --> 00:04:23.600]  今天段經文就看看
