
[00:00:00.000 --> 00:00:03.320]  講起新朋友很有趣的
[00:00:03.320 --> 00:00:07.320]  我不知道我心目中有一位新朋友有沒有來
[00:00:07.320 --> 00:00:14.720]  我今天由辦公室過來這裡準備東西的時候
[00:00:14.720 --> 00:00:19.000]  有位同事就在櫃檯那裡進我過來
[00:00:19.000 --> 00:00:20.600]  過來過來張傳道
[00:00:20.600 --> 00:00:22.120]  進我過來我說什麼事
[00:00:22.120 --> 00:00:24.320]  他說剛才我收到一個電話
[00:00:24.320 --> 00:00:27.400]  有人打來問
[00:00:27.400 --> 00:00:34.000]  你今晚崇拜的講道題目叫做親親
[00:00:34.000 --> 00:00:36.800]  他問我櫃檯的同事什麼意思
[00:00:36.800 --> 00:00:39.000]  我說我也不知道
[00:00:39.000 --> 00:00:41.800]  不如你今晚來聽聽
[00:00:41.800 --> 00:00:44.200]  我不知道這位新朋友有沒有來
[00:00:44.200 --> 00:00:45.400]  如果有的話
[00:00:45.400 --> 00:00:48.200]  我歡迎你等他完崇拜後來找我
[00:00:48.200 --> 00:00:51.400]  突然間覺得很親切
[00:00:51.400 --> 00:00:55.000]  你猜猜親親是什麼意思
[00:00:55.000 --> 00:00:59.200]  有沒有人看到這個題目親親
[00:00:59.200 --> 00:01:01.200]  沒有出來沒關係
[00:01:01.200 --> 00:01:03.600]  親親兩個親是什麼意思
[00:01:03.600 --> 00:01:08.000]  我給你一點提示你可以想想
[00:01:08.000 --> 00:01:11.800]  但你要想到講完整個講道你才有答案
[00:01:11.800 --> 00:01:13.400]  我又用上次那招
[00:01:13.400 --> 00:01:18.600]  一早給你答案等到最後差不多完我才告訴你答案
[00:01:18.600 --> 00:01:19.800]  提示是什麼
[00:01:19.800 --> 00:01:22.200]  我們看看這張powerpoint
[00:01:22.200 --> 00:01:23.800]  其實我找了幾個字
[00:01:23.800 --> 00:01:25.600]  有名詞的
[00:01:25.600 --> 00:01:26.600]  名詞是什麼
[00:01:26.600 --> 00:01:29.000]  親屬有血緣關係
[00:01:29.000 --> 00:01:31.400]  親戚有婚姻關係
[00:01:31.400 --> 00:01:34.000]  鄉親即是說祖先有關係
[00:01:34.000 --> 00:01:35.800]  來到你我不知道有沒有關係
[00:01:35.800 --> 00:01:39.200]  應用詞很親密
[00:01:39.200 --> 00:01:41.400]  關係很親密很密切
[00:01:41.400 --> 00:01:43.800]  親愛很生氣
[00:01:43.800 --> 00:01:45.800]  良好的關係
[00:01:45.800 --> 00:01:48.000]  親愛就不一定是愛人
[00:01:48.000 --> 00:01:49.600]  我們親愛的團友
[00:01:49.600 --> 00:01:51.200]  我們親愛的弟兄姊妹
[00:01:51.200 --> 00:01:52.600]  很良好的關係
[00:01:52.600 --> 00:01:54.000]  有副詞
[00:01:54.000 --> 00:01:56.200]  親自去做一些事情
[00:01:56.200 --> 00:02:01.400]  來講動詞加強動詞
[00:02:01.400 --> 00:02:04.200]  親自自己去做
[00:02:04.200 --> 00:02:05.800]  親身出現
[00:02:05.800 --> 00:02:07.200]  親手
[00:02:07.200 --> 00:02:09.400]  他自己做的他不會叫別人做
[00:02:09.400 --> 00:02:11.000]  有幾個名詞
[00:02:11.000 --> 00:02:12.200]  有應用詞
[00:02:12.200 --> 00:02:13.400]  又有副詞
[00:02:13.400 --> 00:02:17.800]  你猜猜我等下的親親這兩個題目
