
[00:00:00.000 --> 00:00:07.440]  大家好,我也想大家給點掌聲服務團隊
[00:00:07.440 --> 00:00:11.200]  其實這個服務團隊應該和這裡的人數差不多
[00:00:11.200 --> 00:00:14.600]  他們今天特意回來繼續服務你們
[00:00:14.600 --> 00:00:17.800]  所以多謝這些哥哥姐姐
[00:00:17.800 --> 00:00:20.000]  他們很用心地服務你們
[00:00:20.000 --> 00:00:23.000]  在說到之前,我想問一下大家
[00:00:23.000 --> 00:00:24.600]  我想先做個調查
[00:00:24.600 --> 00:00:34.000]  下一張,我想說這裡有26年來最多人用的社交媒體平台
[00:00:34.000 --> 00:00:37.000]  我想問一下大家,你們手機裡面有多少人
[00:00:37.000 --> 00:00:41.000]  有Lazer應用程式超過5個以上嗎?
[00:00:41.000 --> 00:00:42.800]  有沒有?
[00:00:42.800 --> 00:00:45.600]  有沒有?沒有嗎?
[00:00:45.600 --> 00:00:49.000]  我覺得應該照理說年輕人有吧
[00:00:49.000 --> 00:00:52.000]  都說是全世界的,不只是香港
[00:00:52.000 --> 00:00:53.400]  應該也有吧?
[00:00:53.400 --> 00:00:58.200]  對,我應該照理說也超過5個
[00:00:58.200 --> 00:01:04.200]  我想問一下,以下有幾個症狀的特徵
[00:01:04.200 --> 00:01:08.000]  你們有沒有在生活上出現過
[00:01:08.000 --> 00:01:11.400]  首先,你有空,可能你坐下來
[00:01:11.400 --> 00:01:13.400]  或者你沒事做的時候
[00:01:13.400 --> 00:01:15.600]  你就會不停地掃描手機
[00:01:15.600 --> 00:01:18.000]  看看有沒有最新的更新
[00:01:18.000 --> 00:01:22.600]  看看資訊,有沒有?
[00:01:22.600 --> 00:01:26.200]  不用回答我,你自己心知就好
[00:01:26.200 --> 00:01:30.400]  第二個,你和家人或朋友吃飯的時候
[00:01:30.400 --> 00:01:35.000]  會不會很不期然地拿著手機不停地看?
[00:01:35.000 --> 00:01:38.000]  可能已經是世界上坐在桌子上的人
[00:01:38.000 --> 00:01:40.200]  但其實只有你自己和手機存在
[00:01:40.200 --> 00:01:43.400]  不知道有沒有這個症狀出現
[00:01:43.400 --> 00:01:46.600]  第三個,你在發帖文之前
[00:01:46.600 --> 00:01:48.600]  你會反覆修改
[00:01:48.600 --> 00:01:50.600]  然後找一張最好看的照片
[00:01:50.600 --> 00:01:52.200]  你覺得是最好的
[00:01:52.200 --> 00:01:56.400]  然後你很想呈現最完美的一面給別人
[00:01:56.400 --> 00:02:00.000]  有沒有這個行動出現過呢?
[00:02:00.000 --> 00:02:01.200]  最後一個
[00:02:01.200 --> 00:02:04.800]  你有沒有試過在IG的Story
[00:02:04.800 --> 00:02:07.800]  看到朋友約出來吃飯
[00:02:07.800 --> 00:02:11.200]  沒有我,你那天有什麼感受?
[00:02:11.200 --> 00:02:12.600]  我是不是被忽略了?
[00:02:12.600 --> 00:02:15.200]  我是不是被排隊了?我不知道
[00:02:15.200 --> 00:02:19.400]  不知道你們有沒有我剛才說的類似感受
[00:02:19.400 --> 00:02:21.200]  或者經歷出現過
[00:02:21.200 --> 00:02:23.000]  如果有的話
[00:02:23.000 --> 00:02:26.800]  我覺得可能我們已經陷入了
[00:02:26.800 --> 00:02:32.800]  社會比較焦慮和錯失恐懼症的漩渦當中
[00:02:32.800 --> 00:02:37.600]  因為其實在現在智能手機和社交媒體的設計裏
[00:02:37.600 --> 00:02:42.400]  其實它本來就是想吸引我們不停地看它
[00:02:42.400 --> 00:02:45.200]  因為知道什麼叫演算法嗎?
[00:02:45.200 --> 00:02:51.800]  其實演算法就是很精準地傳送一些你喜歡看的資訊給你
[00:02:51.800 --> 00:02:56.600]  所以令你無形中不停地看
[00:02:56.600 --> 00:02:58.600]  所以久而久之
[00:02:58.600 --> 00:03:01.800]  我們以為自己正在和這個世界連繫
