
[00:00:00.000 --> 00:00:02.920]  謝謝敬拜隊帶領我們敬拜
[00:00:02.920 --> 00:00:07.120]  也感謝侍奉團隊服侍我們
[00:00:07.120 --> 00:00:11.080]  帶領我們讓我們有一個很好的環境去崇拜
[00:00:11.080 --> 00:00:14.000]  不如給我們侍奉團隊一點掌聲
[00:00:14.000 --> 00:00:15.280]  給他們一點掌聲
[00:00:15.280 --> 00:00:17.280]  謝謝他們
[00:00:17.280 --> 00:00:19.520]  今天的流程我覺得很好
[00:00:19.520 --> 00:00:21.200]  很有深度
[00:00:21.200 --> 00:00:24.200]  有一個圖畫讓我體會到
[00:00:24.200 --> 00:00:26.920]  你記不記得那個僕人
[00:00:26.920 --> 00:00:29.480]  5000、2000、1000那個拿到
[00:00:29.480 --> 00:00:31.760]  有時候我也會體會到
[00:00:31.760 --> 00:00:34.200]  好像跟隨主有時候我們也會做到
[00:00:34.200 --> 00:00:36.480]  好像1000那個僕人那樣
[00:00:36.480 --> 00:00:39.800]  有些事不想做了躺平算了
[00:00:39.800 --> 00:00:41.800]  神的標準那麼高
[00:00:41.800 --> 00:00:43.120]  祂要求
[00:00:43.120 --> 00:00:45.720]  或者很多那麼厲害的
[00:00:45.720 --> 00:00:47.360]  其實也達不到那個標準
[00:00:47.360 --> 00:00:49.760]  可能有時候也會想躺平就算了
[00:00:49.760 --> 00:00:53.920]  但其實原來正正就是我們看神的關係
[00:00:53.920 --> 00:00:56.400]  我們變得好像祂給分數我們
[00:00:56.400 --> 00:00:57.600]  給評價我們
[00:00:57.600 --> 00:01:00.320]  其實我們回到那份關係裡面
[00:01:00.320 --> 00:01:01.600]  祂是愛我們的主
[00:01:01.600 --> 00:01:02.440]  拯救我們的
[00:01:02.440 --> 00:01:03.880]  其實我們好像
[00:01:03.880 --> 00:01:06.600]  我們只要甘心樂意地去回應祂
[00:01:06.600 --> 00:01:07.880]  就已經足夠了
[00:01:07.880 --> 00:01:09.600]  就好像那時候很小的時候
[00:01:09.600 --> 00:01:12.600]  那時候Emma一歲畫了一幅畫給我
[00:01:12.600 --> 00:01:14.160]  我那時候也有說過
[00:01:14.160 --> 00:01:15.280]  她很努力畫的
[00:01:15.280 --> 00:01:18.120]  其實她不需要介意我怎樣去評價她
[00:01:18.120 --> 00:01:20.840]  但我看著那幅畫其實我已經很開心
[00:01:20.840 --> 00:01:22.520]  作為一個爸爸
[00:01:22.520 --> 00:01:23.680]  所以其實盼望
[00:01:23.680 --> 00:01:25.520]  接下來暑假很多服侍
[00:01:25.520 --> 00:01:29.040]  也很希望大家可以在裡面體會到這份關係
[00:01:29.040 --> 00:01:30.520]  這份愛
[00:01:30.520 --> 00:01:31.040]  很努力
[00:01:31.040 --> 00:01:32.880]  我盡量去嘗試去回應主
[00:01:32.880 --> 00:01:34.120]  其實已經足夠了
[00:01:34.120 --> 00:01:36.400]  上帝的愛告訴我們
[00:01:36.400 --> 00:01:38.800]  我們不需要再活在評價之內
[00:01:38.800 --> 00:01:39.440]  是嗎
[00:01:39.440 --> 00:01:41.080]  這一切都很重要
[00:01:41.080 --> 00:01:44.720]  好,不如我們開始之前有一個祈禱,好嗎
[00:01:44.720 --> 00:01:47.400]  上帝的天父,我們感謝祢帶領我們
[00:01:47.400 --> 00:01:49.560]  可以去服侍你的機會
[00:01:49.560 --> 00:01:51.360]  主啊,其實正正因為祢的愛
[00:01:51.360 --> 00:01:53.800]  讓我們有這個服侍的機會
[00:01:53.800 --> 00:01:55.280]  我們其實本身也不配
[00:01:55.280 --> 00:01:57.000]  但感謝祢,祢恩典臨到
[00:01:57.000 --> 00:01:57.960]  祢幫助我們
[00:01:57.960 --> 00:01:59.480]  讓我們在服侍的過程中
[00:01:59.480 --> 00:02:01.720]  我們不忘記祢的話語才是重要的
[00:02:01.720 --> 00:02:03.400]  祢的話語要帶領我們的生命
[00:02:03.400 --> 00:02:04.440]  求祢收了我們
[00:02:04.440 --> 00:02:05.160]  祈禱交托
[00:02:05.160 --> 00:02:06.680]  奉著耶穌基督的名義祈求
[00:02:06.680 --> 00:02:07.480]  阿門
[00:02:07.480 --> 00:02:09.400]  最近有一個體會
[00:02:09.400 --> 00:02:11.240]  我女兒剛才也說了
