
[00:00:00.000 --> 00:00:01.560]  實在很開心
[00:00:01.560 --> 00:00:05.160]  多謝敬拜隊給我們有一份向著主
[00:00:05.160 --> 00:00:06.240]  一起去敬拜
[00:00:06.240 --> 00:00:09.080]  也知取上帝給我們的那份力量
[00:00:09.080 --> 00:00:11.480]  去養一個這麼美好的時刻
[00:00:11.480 --> 00:00:13.960]  先後唱這首詩歌
[00:00:13.960 --> 00:00:17.280]  一群大能的子民的時候
[00:00:17.280 --> 00:00:18.080]  我就想起
[00:00:18.080 --> 00:00:20.080]  其實我們祖堂裡面
[00:00:20.080 --> 00:00:25.120]  相對我們較多成熟的弟兄姊妹
[00:00:25.120 --> 00:00:26.960]  但是我又想到
[00:00:26.960 --> 00:00:29.200]  其實大能
[00:00:29.200 --> 00:00:34.000]  不是在乎我們個人的能力
[00:00:34.000 --> 00:00:37.680]  而是在乎我們靈裡面那一份的力量
[00:00:37.680 --> 00:00:41.160]  所以無論我們的身體的狀況如何
[00:00:41.160 --> 00:00:43.000]  我們仍然可以經歷
[00:00:43.000 --> 00:00:45.080]  成為上帝大能的子民
[00:00:45.080 --> 00:00:45.920]  是不是?
[00:00:45.920 --> 00:00:46.520]  好
[00:00:46.520 --> 00:00:50.160]  我們問一下大家一個問題
[00:00:50.160 --> 00:00:52.120]  有多少人像我一樣
[00:00:52.120 --> 00:00:55.480]  現在開始學人工智能
[00:00:55.480 --> 00:00:57.040]  就是AI
[00:00:57.040 --> 00:00:59.160]  正在學用的舉手
[00:00:59.160 --> 00:01:02.600]  應該都不少了
[00:01:02.600 --> 00:01:04.040]  嘩
[00:01:04.040 --> 00:01:05.160]  不用游字海
[00:01:05.160 --> 00:01:07.720]  一用就真是很震撼
[00:01:07.720 --> 00:01:10.080]  因為他的回應太快了
[00:01:10.080 --> 00:01:12.160]  太豐富了
[00:01:12.160 --> 00:01:16.000]  越用AI就發現真的很方便
[00:01:16.000 --> 00:01:18.480]  大大提升這個效率
[00:01:18.480 --> 00:01:20.600]  但是其實
[00:01:20.600 --> 00:01:22.320]  不知道有沒有大家留意到
[00:01:22.320 --> 00:01:25.920]  都帶來挺多的風險
[00:01:25.920 --> 00:01:28.560]  和挺多的憂慮
[00:01:28.560 --> 00:01:30.680]  譬如個人的資料
[00:01:30.680 --> 00:01:32.160]  會公開
[00:01:32.160 --> 00:01:33.560]  就是給了
[00:01:33.560 --> 00:01:35.560]  給了這個大數據
[00:01:35.560 --> 00:01:38.400]  還有傳統的工作
[00:01:38.400 --> 00:01:41.640]  逐漸越來越多被取代
[00:01:41.640 --> 00:01:46.040]  不知道有沒有再想深一層
[00:01:46.040 --> 00:01:48.720]  就是我們的認知和創意能力
[00:01:48.720 --> 00:01:50.520]  會有機會下降
[00:01:50.520 --> 00:01:52.480]  因為我們越來越不用腦了
[00:01:52.480 --> 00:01:54.320]  靠了電腦
[00:01:54.320 --> 00:01:56.480]  還有一樣東西很影響我們的
[00:01:56.480 --> 00:01:58.480]  生命和人際關係
[00:01:58.480 --> 00:02:03.560]  就是用虛擬代替了真實的情感世界
[00:02:03.560 --> 00:02:06.680]  AI的影響力是很廣泛
[00:02:06.680 --> 00:02:09.600]  也是很急速的
[00:02:09.600 --> 00:02:14.680]  不知道大家有沒有聽過末日時鐘
[00:02:14.680 --> 00:02:19.520]  由愛因斯坦早年創立的原子科學家公佈
[00:02:19.520 --> 00:02:20.720]  在今年的一月
[00:02:20.720 --> 00:02:24.400]  就將這個象徵人類距離自我毀滅程度
[00:02:24.400 --> 00:02:25.920]  這個末日時鐘
[00:02:25.920 --> 00:02:27.440]  又撥快了四秒
