
[00:00:00.000 --> 00:00:03.280]  「頂尖會復活節快樂」
[00:00:03.280 --> 00:00:04.680]  很想說的是
[00:00:04.680 --> 00:00:06.720]  剛才我們崇拜前有祈禱
[00:00:06.720 --> 00:00:09.720]  發現我們很多時候會說聖誕快樂
[00:00:09.720 --> 00:00:12.440]  但我們很少會說復活節快樂
[00:00:12.440 --> 00:00:15.280]  但其實復活節是很值得歡喜的
[00:00:15.280 --> 00:00:16.800]  因為我們要知道
[00:00:16.800 --> 00:00:18.080]  你放復活節假
[00:00:18.080 --> 00:00:20.560]  其實不只是假期
[00:00:20.560 --> 00:00:22.240]  我們作為基督徒
[00:00:22.240 --> 00:00:24.040]  或者我們在教會成長的人
[00:00:24.040 --> 00:00:25.080]  我們要知道
[00:00:25.080 --> 00:00:28.880]  復活節是代表信仰一個很重要的訊息
[00:00:28.920 --> 00:00:32.200]  正正因為耶穌不只是釘在十字架
[00:00:32.200 --> 00:00:33.440]  說我們受死
[00:00:33.440 --> 00:00:35.200]  更重要的是祂復活
[00:00:35.200 --> 00:00:36.680]  我們要知道
[00:00:36.680 --> 00:00:39.960]  我們的生命不只是感受到上帝的愛
[00:00:39.960 --> 00:00:42.360]  而是上帝說我們有復活的生命
[00:00:42.360 --> 00:00:43.200]  就像祂一樣
[00:00:43.200 --> 00:00:45.040]  祂是勝過死亡
[00:00:45.040 --> 00:00:46.800]  勝過罪惡的主
[00:00:46.800 --> 00:00:51.480]  我們今天也藉著聽到和看上帝的話
[00:00:51.480 --> 00:00:54.680]  去體會上帝賜給我們這份新的生命
[00:00:54.680 --> 00:00:56.320]  是一個怎樣的生命
[00:00:56.840 --> 00:00:59.560]  好,麻煩可以展示一下PowerPoint
[00:00:59.560 --> 00:01:03.360]  是,好
[00:01:03.360 --> 00:01:08.320]  今天一會兒會繼續跟大家看《埃及記》
[00:01:08.320 --> 00:01:11.720]  還記得我之前說的人物是誰嗎?
[00:01:11.720 --> 00:01:16.600]  大家今天比較安靜一點吧
[00:01:16.600 --> 00:01:18.720]  我知道你們心裡知道的
[00:01:18.720 --> 00:01:23.760]  我過往也跟大家看過摩西這個人物
[00:01:23.800 --> 00:01:28.960]  摩西其實是舊約中一個很重要的人物
[00:01:28.960 --> 00:01:32.360]  我們今天也會接著看他的生命
[00:01:32.360 --> 00:01:36.400]  在開始之前,很想跟大家分享一點
[00:01:36.400 --> 00:01:39.640]  不知道大家最近有沒有逛書店
[00:01:39.640 --> 00:01:43.680]  書店總有一欄寫著大眾心理學
[00:01:43.680 --> 00:01:46.720]  有很多人都很想認識自己
[00:01:46.720 --> 00:01:48.320]  自己是一個怎樣的人
[00:01:48.360 --> 00:01:54.720]  當中有一個我看到挺多人了解的心理學家
[00:01:54.720 --> 00:01:55.800]  叫做阿德勒
[00:01:55.800 --> 00:01:59.320]  他寫了一本書,叫做《自卑情結》
[00:01:59.320 --> 00:02:02.840]  阿德勒稱為自我心理學之父
[00:02:02.840 --> 00:02:07.280]  他很喜歡研究一個人的成長
[00:02:07.280 --> 00:02:09.520]  他在過程中發生了甚麼事
[00:02:09.520 --> 00:02:11.360]  一些掙扎等等
[00:02:11.360 --> 00:02:15.680]  他很有研究的學問是關於自卑的
[00:02:15.720 --> 00:02:17.560]  他在裡面細分了
[00:02:17.560 --> 00:02:20.320]  自卑有一個東西叫自卑情結
[00:02:20.320 --> 00:02:21.680]  他說自卑情結的人
[00:02:21.680 --> 00:02:27.600]  就是開始把自卑感當成藉口的狀態
[00:02:27.600 --> 00:02:30.320]  他說這種人很多時候會用消極的方法
[00:02:30.320 --> 00:02:33.160]  去做對自己的評價
[00:02:33.160 --> 00:02:36.640]  經常覺得自己不如人的很多方面
[00:02:36.640 --> 00:02:38.720]  但事實可能不是這樣
[00:02:38.720 --> 00:02:39.960]  是自己跟自己說
[00:02:39.960 --> 00:02:41.400]  「是的,我就是這樣」
[00:02:41.400 --> 00:02:43.160]  「我不能夠改變」
[00:02:43.160 --> 00:02:45.400]  他說這種有自卑情結的人
[00:02:45.440 --> 00:02:47.400]  會有種很強烈的負面感覺
[00:02:47.400 --> 00:02:49.000]  對任何事情都是
[00:02:49.000 --> 00:02:51.680]  面對事情有挑戰、有難處
[00:02:51.680 --> 00:02:54.280]  他第一刻就會說「我不行了」
[00:02:54.280 --> 00:02:57.840]  他會用一個自暴自棄、不求長進
[00:02:57.840 --> 00:03:00.920]  甚至脅惱、退縮、退步的方法
[00:03:00.920 --> 00:03:03.920]  去面對他生命所有的選擇
[00:03:03.920 --> 00:03:07.240]  頂尖迴,可能很多時候我們會覺得
[00:03:07.240 --> 00:03:10.880]  自大的人才是自我中心
