
[00:00:00.000 --> 00:00:02.800]  今天跟大家分享訊息
[00:00:02.800 --> 00:00:05.120]  我用了一個題目叫做
[00:00:05.120 --> 00:00:06.520]  "He Wants You"
[00:00:06.520 --> 00:00:09.040]  我不知道你看到這個題目的時候
[00:00:09.040 --> 00:00:09.760]  你想起什麼
[00:00:09.760 --> 00:00:14.520]  感覺就像N年前有一個美國的
[00:00:14.520 --> 00:00:17.200]  招兵的海報
[00:00:17.200 --> 00:00:19.040]  也是類似這樣的
[00:00:19.040 --> 00:00:22.760]  同樣也很想用一個這樣的主題
[00:00:22.760 --> 00:00:25.120]  去帶出一個訊息
[00:00:25.120 --> 00:00:28.720]  而標稱的港獨的閱題
[00:00:28.720 --> 00:00:32.640]  同樣也是活出猜拳宣教的生命
[00:00:32.640 --> 00:00:36.800]  我不知道你想起猜拳和宣教的時候
[00:00:36.800 --> 00:00:38.000]  你會想起什麼
[00:00:38.000 --> 00:00:40.760]  會不會覺得這些東西對於我們來說
[00:00:40.760 --> 00:00:42.360]  好像很遠
[00:00:42.360 --> 00:00:44.360]  可能我們會想的是
[00:00:44.360 --> 00:00:45.880]  我都沒有呼召
[00:00:45.880 --> 00:00:47.120]  或者我會想的是
[00:00:47.120 --> 00:00:48.920]  呼召對於我來講
[00:00:48.920 --> 00:00:50.280]  好像也不知道是什麼
[00:00:50.280 --> 00:00:52.080]  好像與我無關
[00:00:52.080 --> 00:00:53.960]  又或者我們會想
[00:00:53.960 --> 00:00:56.120]  我的普通話
[00:00:56.120 --> 00:00:58.640]  其實也很普通而已
[00:00:58.640 --> 00:01:00.080]  我也說不出
[00:01:00.080 --> 00:01:01.960]  英文我只會說
[00:01:01.960 --> 00:01:03.920]  I go to church by bus
[00:01:03.920 --> 00:01:06.240]  好像很難溝通
[00:01:06.240 --> 00:01:08.440]  還說什麼去短宣
[00:01:08.440 --> 00:01:10.920]  不料不料猜拳已經與我無關
[00:01:10.920 --> 00:01:14.920]  彷彿猜拳和宣教這一部分
[00:01:14.920 --> 00:01:17.360]  好像在我們信仰裡面
[00:01:17.360 --> 00:01:18.680]  與我們無關
[00:01:18.680 --> 00:01:21.120]  或者關係好像很少
[00:01:21.120 --> 00:01:24.440]  同樣我想加上這幾年疫情的關係
[00:01:24.440 --> 00:01:26.400]  我們也少了教很多
[00:01:26.400 --> 00:01:29.800]  什麼短宣不同的服侍
[00:01:29.800 --> 00:01:31.920]  可能我們也不是很清楚
[00:01:31.920 --> 00:01:33.720]  又或者可能那些體會
[00:01:33.720 --> 00:01:34.880]  過往有參加過
[00:01:34.880 --> 00:01:36.680]  可能我們的記憶也很模糊
[00:01:36.680 --> 00:01:39.120]  不過我同樣會問一個問題
[00:01:39.120 --> 00:01:41.720]  就是猜拳和宣教
[00:01:41.720 --> 00:01:42.720]  其實對於我來說
[00:01:42.720 --> 00:01:44.280]  是不是真的這麼遠距離呢
[00:01:44.280 --> 00:01:48.160]  可能我們想猜拳的時候
[00:01:48.160 --> 00:01:49.880]  我們會想起宣教士
[00:01:49.880 --> 00:01:51.680]  一想起宣教士的時候
[00:01:51.680 --> 00:01:52.480]  我們就會想起
[00:01:52.480 --> 00:01:55.960]  那些宣教士就去食人族那裡宣教
[00:01:55.960 --> 00:01:58.320]  然後就會殉道了
[00:01:58.320 --> 00:02:01.520]  不過我曾經看過一本書
[00:02:01.520 --> 00:02:03.160]  它的前言是這樣寫的
[00:02:03.160 --> 00:02:06.360]  它說每一個基督徒都是宣教士
[00:02:06.360 --> 00:02:10.040]  那本書作者用了大使命去帶出
[00:02:10.040 --> 00:02:12.840]  其實耶穌給我們一個大使命
[00:02:12.840 --> 00:02:15.600]  就是我們要去不同的地方為他做見證
[00:02:15.600 --> 00:02:19.760]  當我們想猜拳和宣教好像很遠似的
[00:02:19.760 --> 00:02:22.520]  但是當我們看回大使命的時候
[00:02:22.520 --> 00:02:25.360]  好像距離跟我們比較近
[00:02:26.360 --> 00:02:29.760]  早幾天和Billy傳道聊天的時候
[00:02:29.760 --> 00:02:33.120]  他分享到原來現在宣教這個詞語
[00:02:33.120 --> 00:02:35.480]  在坊間的定義已經有所不同了
[00:02:35.480 --> 00:02:37.560]  以前我們看宣教的一件事
[00:02:37.560 --> 00:02:39.200]  就是覺得我們要去另一個地區
[00:02:39.200 --> 00:02:40.560]  是跨文化的
[00:02:40.560 --> 00:02:42.000]  我們去那裡傳福音
[00:02:42.000 --> 00:02:43.960]  不過經過這幾年
[00:02:43.960 --> 00:02:46.240]  我們社會的文化越來越多元
[00:02:46.240 --> 00:02:48.240]  有很多不同的轉變
