
[00:00:00.000 --> 00:00:05.000]  祈求天父感恩 冬至之後我們也在等候聖誕的佳節
[00:00:05.000 --> 00:00:07.000]  我求主祢自己繼續堅持我們的信心
[00:00:07.000 --> 00:00:10.000]  我們深信上帝來引領我們這個群體
[00:00:10.000 --> 00:00:12.000]  我們凝聚的時候
[00:00:12.000 --> 00:00:14.000]  無論是多麼微小的群體
[00:00:14.000 --> 00:00:17.000]  我們知道當天是十二個門徒
[00:00:17.000 --> 00:00:20.000]  就能夠翻轉整個世界
[00:00:20.000 --> 00:00:22.000]  我們不會看數字有多少
[00:00:22.000 --> 00:00:24.000]  我們只是深信上帝的能力
[00:00:24.000 --> 00:00:25.000]  臨到的時候
[00:00:25.000 --> 00:00:27.000]  我們可以祝福一片一片的土地
[00:00:27.000 --> 00:00:29.000]  求主祢自己親自在第四支
[00:00:29.000 --> 00:00:33.000]  我們在第四支看到祢每一天的引領
[00:00:33.000 --> 00:00:35.000]  我們最微小的時候
[00:00:35.000 --> 00:00:36.000]  我們會知道終有一天
[00:00:36.000 --> 00:00:38.000]  我們回望這些最微小的時候
[00:00:38.000 --> 00:00:41.000]  或許正是我們最強壯的時候
[00:00:41.000 --> 00:00:42.000]  求主祢給力量我們
[00:00:42.000 --> 00:00:45.000]  我們禱告奉耶穌基督的名 阿們
[00:00:45.000 --> 00:00:47.000]  也分享一點
[00:00:47.000 --> 00:00:50.000]  第四支我們剛剛在過去的
[00:00:50.000 --> 00:00:53.000]  同工執事會開會的時候
[00:00:53.000 --> 00:00:56.000]  我們一直有一個很心儀的地方
[00:00:56.000 --> 00:00:57.000]  在這個地方裡
[00:00:57.000 --> 00:01:00.000]  我們很需要看得到上帝的引領
[00:01:00.000 --> 00:01:02.000]  特別我們在一些法規上
[00:01:02.000 --> 00:01:05.000]  我們很想知道政府的意圖
[00:01:05.000 --> 00:01:08.000]  是怎樣去看一個地方的信仰
[00:01:08.000 --> 00:01:10.000]  我自己趁這個時間
[00:01:10.000 --> 00:01:12.000]  看了幾份立法會的文件
[00:01:12.000 --> 00:01:14.000]  裡面看到政府怎樣看
[00:01:14.000 --> 00:01:16.000]  地方的信仰的定義
[00:01:16.000 --> 00:01:19.000]  很期望接下來我們租到的地方
[00:01:19.000 --> 00:01:23.000]  能夠符合各樣我們心中所想所求
[00:01:23.000 --> 00:01:28.000]  以至能夠在一個較為小教會的地方
[00:01:28.000 --> 00:01:29.000]  在較為小的地方
[00:01:29.000 --> 00:01:33.000]  能夠祝福到當地的很多很多的居民
[00:01:33.000 --> 00:01:36.000]  也都同樣我知道很多的朋友弟兄姊妹
[00:01:36.000 --> 00:01:38.000]  現在搬了上去大陸住
[00:01:38.000 --> 00:01:42.000]  他們說若果粉嶺上水有聚會
[00:01:42.000 --> 00:01:43.000]  他們就方便很多了
[00:01:43.000 --> 00:01:46.000]  一回來就最簡單
