
[00:00:00.000 --> 00:00:05.320]  在上個月的5月20日有什麼事呢?
[00:00:05.320 --> 00:00:08.320]  有愛情聖地之稱
[00:00:08.320 --> 00:00:11.200]  有個地方叫新疆塞里木湖
[00:00:11.200 --> 00:00:13.760]  有個婚姻登記處
[00:00:13.760 --> 00:00:17.200]  在5月20日爆滿
[00:00:17.200 --> 00:00:21.400]  雖然當日天氣氣溫只有1度至8度
[00:00:21.400 --> 00:00:22.520]  都幾凍
[00:00:22.520 --> 00:00:26.280]  但登記處清晨五點多
[00:00:26.280 --> 00:00:28.000]  已經有些新人
[00:00:28.000 --> 00:00:31.080]  揹著棉胎 他們不是穿婚紗
[00:00:31.080 --> 00:00:34.560]  是勾著棉胎去排隊
[00:00:34.560 --> 00:00:36.560]  到了七點多
[00:00:36.560 --> 00:00:38.240]  排隊的新人
[00:00:38.240 --> 00:00:41.760]  人龍有幾十米長
[00:00:41.760 --> 00:00:43.520]  而停車場
[00:00:43.520 --> 00:00:45.960]  拍滿的車很特別
[00:00:45.960 --> 00:00:48.800]  不只是來自新疆的新人
[00:00:48.800 --> 00:00:50.000]  還有哪些呢?
[00:00:50.000 --> 00:00:53.600]  還有雲南、四川、湖北
[00:00:53.600 --> 00:00:56.560]  甚至遠到廣東都有
[00:00:56.560 --> 00:00:58.560]  去到新疆註冊
[00:00:58.560 --> 00:01:02.840]  大家知不知道為什麼新疆塞里木湖
[00:01:02.840 --> 00:01:04.840]  婚姻註冊處那麼厲害呢?
[00:01:04.840 --> 00:01:05.840]  有沒有人知道?
[00:01:05.840 --> 00:01:07.200]  沒有吧?
[00:01:07.200 --> 00:01:09.200]  為什麼那麼遠都要去呢?
[00:01:09.200 --> 00:01:12.360]  我其實也不知道
[00:01:12.360 --> 00:01:15.000]  但做了資料搜集就知道一點
[00:01:15.000 --> 00:01:16.520]  第一點
[00:01:16.520 --> 00:01:19.440]  就是原來湖面海拔
[00:01:19.440 --> 00:01:21.440]  是2073米
[00:01:21.440 --> 00:01:23.440]  阿里斯山
[00:01:23.600 --> 00:01:27.000]  就像愛里情深
[00:01:27.000 --> 00:01:29.000]  景區面積
[00:01:29.000 --> 00:01:31.840]  是1314平方公里
[00:01:31.840 --> 00:01:34.840]  就是伊山伊斯
[00:01:34.840 --> 00:01:36.840]  一生一世
[00:01:36.840 --> 00:01:38.840]  塞里木湖還有
[00:01:38.840 --> 00:01:40.840]  距離首府烏魯木齊
[00:01:40.840 --> 00:01:43.640]  剛好是520
[00:01:43.640 --> 00:01:45.640]  520這個大家知道了
[00:01:45.640 --> 00:01:47.640]  我愛你
[00:01:47.640 --> 00:01:49.640]  現在大家不只慶祝2月14
[00:01:49.640 --> 00:01:51.640]  520也弄了個名目出來
[00:01:51.640 --> 00:01:53.640]  如果連在一起是什麼呢?
[00:01:53.640 --> 00:01:55.640]  愛里情深
[00:01:55.640 --> 00:01:57.640]  一生一世
[00:01:57.640 --> 00:01:59.640]  我愛你
[00:01:59.640 --> 00:02:01.640]  這麼棒的東西
[00:02:01.640 --> 00:02:03.640]  還不去登記
[00:02:03.640 --> 00:02:05.640]  所以就吸引了很多人
[00:02:05.640 --> 00:02:07.640]  我想大家都不會懷疑
[00:02:07.640 --> 00:02:09.640]  這幾十對新人
[00:02:09.640 --> 00:02:11.640]  在520註冊那天
[00:02:11.640 --> 00:02:13.640]  揹著棉被
[00:02:13.640 --> 00:02:15.640]  去排隊清晨去到
[00:02:15.640 --> 00:02:17.640]  他們應該不是單單
[00:02:17.640 --> 00:02:19.640]  只有一張嘴巴
[00:02:19.640 --> 00:02:21.640]  他們還用實際的行動
