
[00:00:00.000 --> 00:00:01.680]  我都繼續說到
[00:00:01.680 --> 00:00:05.480]  我們回到標青崇拜系列裏面
[00:00:05.480 --> 00:00:09.840]  我們去到第五章 下半部分
[00:00:09.840 --> 00:00:12.840]  可能大家都記得上一次Billy傳道
[00:00:12.840 --> 00:00:15.840]  和我們去看《約翰福音》五章
[00:00:15.840 --> 00:00:18.080]  頭十幾節的時候
[00:00:18.080 --> 00:00:20.720]  他講的是不嗜大慈的一個坦子
[00:00:20.720 --> 00:00:22.880]  耶穌怎樣去和他相遇
[00:00:22.880 --> 00:00:24.480]  甚至和他有對話
[00:00:24.480 --> 00:00:27.720]  今天我們會延續那個故事的下半段
[00:00:27.720 --> 00:00:30.840]  我們珍惜時間
[00:00:30.840 --> 00:00:32.600]  不如就跳進去經文那裏
[00:00:32.600 --> 00:00:35.440]  好 先看看
[00:00:35.440 --> 00:00:39.720]  好 不如我們都讀一讀
[00:00:39.720 --> 00:00:41.720]  好嗎 一二三
[00:00:41.720 --> 00:00:44.400]  我若為自己作見證
[00:00:44.400 --> 00:00:46.520]  我的見證就不真
[00:00:46.520 --> 00:01:12.520]  另有一位
[00:01:12.520 --> 00:01:14.520]  歡欣一時
[00:01:14.520 --> 00:01:17.520]  我有比約翰更大的見證
[00:01:17.520 --> 00:01:20.520]  乎交給我完成的工作
[00:01:20.520 --> 00:01:22.520]  就使我正在做的
[00:01:22.520 --> 00:01:25.520]  為我作證是乎參見了我
[00:01:25.520 --> 00:01:29.520]  參我來的乎也為我作了見證
[00:01:29.520 --> 00:01:33.520]  你們從來沒有聽見他的聲音
[00:01:33.520 --> 00:01:35.520]  也沒有聽見他的形象
[00:01:35.520 --> 00:01:39.520]  你們並沒有看得到存在深淚
[00:01:39.520 --> 00:01:43.520]  因為你們不信他所出來的一位
[00:01:43.520 --> 00:01:45.520]  你們查考聖經
[00:01:45.520 --> 00:01:48.520]  因你們以為其中有永生
[00:01:48.520 --> 00:01:52.520]  而這經正是為我作見證的
[00:01:52.520 --> 00:01:56.520]  然而你們不肯到我這裡來得生命
[00:01:56.520 --> 00:01:59.520]  不接受從人來的榮耀
[00:01:59.520 --> 00:02:02.520]  但我知道你們沒有愛神的心
[00:02:02.520 --> 00:02:04.520]  何況我父的名來了
[00:02:04.520 --> 00:02:07.520]  你們並不接納我
[00:02:07.520 --> 00:02:09.520]  何況自己的名來
[00:02:09.520 --> 00:02:11.520]  你們都會接納他
[00:02:11.520 --> 00:02:13.520]  你們互相受榮耀
