
[00:00:00.000 --> 00:00:03.000]  讓我們正道之先有一個祈禱
[00:00:03.000 --> 00:00:05.000]  讓我們低頭禱告
[00:00:05.000 --> 00:00:07.000]  慈悲仁愛天父
[00:00:07.000 --> 00:00:08.000]  我們感謝你
[00:00:08.000 --> 00:00:10.000]  多謝你招聚我們一起
[00:00:10.000 --> 00:00:13.000]  在你的殿裡敬拜你
[00:00:13.000 --> 00:00:16.000]  也求你打開我們心靈的眼睛
[00:00:16.000 --> 00:00:18.000]  讓我們待會去聽到的時候
[00:00:18.000 --> 00:00:20.000]  都能夠明白你的話語
[00:00:20.000 --> 00:00:22.000]  求主祢祝福
[00:00:22.000 --> 00:00:23.000]  聽我們的禱告
[00:00:23.000 --> 00:00:25.000]  是奉主耶穌基督命之而求
[00:00:25.000 --> 00:00:26.000]  阿們
[00:00:29.000 --> 00:00:31.000]  今天的講道
[00:00:31.000 --> 00:00:35.000]  就是團教會新一年度的統一主題
[00:00:35.000 --> 00:00:38.000]  這個星期每堂的崇拜
[00:00:38.000 --> 00:00:41.000]  都會用馬可福音來正道
[00:00:41.000 --> 00:00:45.000]  主題是環繞著破繭的蛻變
[00:00:45.000 --> 00:00:47.000]  門徒成長路
[00:00:47.000 --> 00:00:50.000]  讓我介紹一下馬可福音
[00:00:50.000 --> 00:00:54.000]  馬可福音記載了不少耶穌的事蹟
[00:00:54.000 --> 00:00:59.000]  也記載了很多耶穌教導門徒成長的內容
[00:00:59.000 --> 00:01:05.000]  作者省略了耶穌的家譜和出生等等的事情
[00:01:05.000 --> 00:01:08.000]  這本書的內容節奏明快
[00:01:08.000 --> 00:01:13.000]  馬可福音可以說是一卷行動的福音
[00:01:13.000 --> 00:01:17.000]  這本書的約字是「立刻」
[00:01:17.000 --> 00:01:18.000]  這一個詞
[00:01:18.000 --> 00:01:22.000]  傳書出現了超過三十次
[00:01:22.000 --> 00:01:27.000]  這本書的主題就是馬可福音十章四十五節
[00:01:27.000 --> 00:01:32.000]  內容是講到耶穌基督是神的僕人
[00:01:32.000 --> 00:01:38.000]  祂來是要服侍人和尋找拯救失喪的人
[00:01:38.000 --> 00:01:41.000]  讓我們透過這個講道系列
[00:01:41.000 --> 00:01:45.000]  去學習基督和昔日的使徒
[00:01:45.000 --> 00:01:47.000]  他們的好榜樣
[00:01:47.000 --> 00:01:51.000]  在屬靈生命上追求成長
[00:01:51.000 --> 00:01:57.000]  成為更合神心意的門徒
[00:01:57.000 --> 00:02:00.000]  在2019年
[00:02:00.000 --> 00:02:04.000]  香港電台的電視部有一個節目
[00:02:04.000 --> 00:02:07.000]  叫做「生命有Take Two」
[00:02:07.000 --> 00:02:11.000]  在這個節目裏有四位主持人
[00:02:11.000 --> 00:02:13.000]  他們講述
[00:02:13.000 --> 00:02:16.000]  所有的人都難免一死
[00:02:16.000 --> 00:02:18.000]  要避過死亡
[00:02:18.000 --> 00:02:23.000]  古時的人相信復活是一個神蹟
[00:02:23.000 --> 00:02:27.000]  而是要製造復活
[00:02:27.000 --> 00:02:31.000]  在近代就有嘗試將身體通電
[00:02:31.000 --> 00:02:33.000]  重啟生命的實驗
[00:02:33.000 --> 00:02:35.000]  踏入了21世紀
[00:02:35.000 --> 00:02:38.000]  科學家已經開始著手
[00:02:38.000 --> 00:02:42.000]  去研究如何逆轉細胞凋亡的機制
[00:02:42.000 --> 00:02:46.000]  他們嘗試令到這些細胞復活
[00:02:46.000 --> 00:02:53.000]  甚至有些公司會推出死後軀體冷凍的服務
[00:02:53.000 --> 00:02:57.000]  他們寄望以後的科技先進
[00:02:57.000 --> 00:03:00.000]  身體解凍就能夠被翻新
[00:03:00.000 --> 00:03:03.000]  讓人能夠再活一次
[00:03:03.000 --> 00:03:05.000]  丁姊妹
[00:03:05.000 --> 00:03:08.000]  人人都想延續生命
[00:03:08.000 --> 00:03:14.000]  由古時的秦始皇到現在現今的世代都是一樣
[00:03:14.000 --> 00:03:18.000]  究竟生命有沒有take two呢?
[00:03:18.000 --> 00:03:21.000]  意義又何在?
[00:03:21.000 --> 00:03:23.000]  今天講到的題目是
[00:03:23.000 --> 00:03:27.000]  生命有take two 邁步成長路
[00:03:27.000 --> 00:03:32.000]  讓我們一起透過《馬可福音》一章一至十五節
[00:03:32.000 --> 00:03:34.000]  去看一看
[00:03:34.000 --> 00:03:36.000]  為什麼生命有take two
[00:03:36.000 --> 00:03:40.000]  以及如何活出新的生命
[00:03:40.000 --> 00:03:47.000]  我們一起去讀《馬可福音》一章一至十五節
[00:03:47.000 --> 00:03:49.000]  大家可以看powerpoint
[00:03:49.000 --> 00:03:51.000]  或者看手機程序表
[00:03:51.000 --> 00:03:53.000]  裡面都有經文
