
[00:00:00.000 --> 00:00:05.600]  很高興 雖然知道將會有颱風 但大家仍然願意回來
[00:00:05.600 --> 00:00:14.600]  想問問 今天是7月25號
[00:00:14.600 --> 00:00:20.600]  今天是約書亞記的港島系列尾二那一次
[00:00:20.600 --> 00:00:25.600]  有沒有人記得約書亞記這個港島系列第一講是誰講?
[00:00:25.600 --> 00:00:30.600]  我問得你 當然是我
[00:00:30.600 --> 00:00:36.600]  當日是1月24號 我負責講約書亞記這個系列的第一講
[00:00:36.600 --> 00:00:41.600]  所以那時候約書亞就是帶領以色列人準備入迦南地
[00:00:41.600 --> 00:00:47.600]  你有沒有印象當日港島的時候 我播了兩條片
[00:00:47.600 --> 00:00:49.600]  有一條片是很驚嚇的 有沒有印象?
[00:00:49.600 --> 00:00:58.600]  我播了一條我玩山車滾下山的片
[00:00:58.600 --> 00:01:03.600]  嚇得很多人都很害怕 就是那天
[00:01:03.600 --> 00:01:10.600]  轉眼間7月25號來到約書亞的晚年又到我講
[00:01:10.600 --> 00:01:15.600]  所以我覺得都有點感受 為什麼呢?
[00:01:15.600 --> 00:01:20.600]  由1月到現在7月半年裏面發生了很多事
[00:01:20.600 --> 00:01:26.600]  第一我做了通波仔手術 在3月的時候
[00:01:26.600 --> 00:01:31.600]  我沒有想過 亦都是其他的檢查發現了
[00:01:31.600 --> 00:01:35.600]  所以就做了 真是看到神自己很大的恩典
[00:01:35.600 --> 00:01:40.600]  當然做完通波仔手術之後就想著血管都通好了
[00:01:40.600 --> 00:01:48.600]  重新做人再上路 繼續侍奉 全新的人就來了
[00:01:48.600 --> 00:01:51.600]  但發覺原來這半年有很多事發生
[00:01:51.600 --> 00:01:57.600]  除了做了手術之後 很多事發生自己都沒有想過
[00:01:57.600 --> 00:01:59.600]  我一會兒會再講多一點
[00:01:59.600 --> 00:02:02.600]  這半年除了第一次做手術之後
[00:02:02.600 --> 00:02:10.600]  我最開心的是在6月24號 即是上個月我拿了 大家知不知道?
[00:02:10.600 --> 00:02:16.600]  下游卡 很多優惠 坐車有2元
[00:02:16.600 --> 00:02:18.600]  買東西又便宜點 吃東西又有折扣
