
[00:00:00.000 --> 00:00:05.000]  在開始靜悼之前我們一起進入禱告
[00:00:05.000 --> 00:00:07.000]  請低頭進入禱告
[00:00:07.000 --> 00:00:12.000]  主啊,求祢開我們心靈的眼睛
[00:00:12.000 --> 00:00:16.000]  使我們能夠明白祢的說話
[00:00:16.000 --> 00:00:18.000]  認識祢的名
[00:00:18.000 --> 00:00:21.000]  讓我們得著祢賜給我們的福氣
[00:00:21.000 --> 00:00:23.000]  求主聽禱告
[00:00:23.000 --> 00:00:25.000]  奉耶穌基督的名禱求
[00:00:25.000 --> 00:00:27.000]  對不對?
[00:00:28.000 --> 00:00:31.000]  在引子上,你可以看一看
[00:00:31.000 --> 00:00:34.000]  如果你看到秩序表的話
[00:00:34.000 --> 00:00:35.000]  我這樣說
[00:00:35.000 --> 00:00:37.000]  在這樣的情形下
[00:00:37.000 --> 00:00:40.000]  到底有沒有將來呢?
[00:00:40.000 --> 00:00:43.000]  今晚的講題就是
[00:00:43.000 --> 00:00:45.000]  能走下去的將來
[00:00:45.000 --> 00:00:47.000]  有個問號或感嘆號
[00:00:47.000 --> 00:00:51.000]  當想起今晚要講這個題目的時候
[00:00:51.000 --> 00:00:54.000]  除了要找一段經文去講
[00:00:54.000 --> 00:00:57.000]  很多時候都要按照那個地步
[00:00:57.000 --> 00:01:01.000]  去選材,去定這個題目
[00:01:01.000 --> 00:01:04.000]  在之前的日子,我在想
[00:01:04.000 --> 00:01:07.000]  究竟將來的事情會怎樣呢?
[00:01:07.000 --> 00:01:09.000]  不知道有沒有電影節目都和我一樣
[00:01:09.000 --> 00:01:13.000]  想起究竟將來可以怎樣呢?
[00:01:13.000 --> 00:01:15.000]  不只是有沒有將來
[00:01:15.000 --> 00:01:18.000]  是否能夠走下去呢?
[00:01:18.000 --> 00:01:21.000]  譬如說,住在這裡
[00:01:21.000 --> 00:01:23.000]  還有沒有將來呢?
[00:01:25.000 --> 00:01:29.000]  現在誰誰都離開了
[00:01:29.000 --> 00:01:32.000]  我還可以怎樣走下去呢?
[00:01:32.000 --> 00:01:36.000]  外在的環境也未明朗
[00:01:36.000 --> 00:01:38.000]  時間一天一天地過
[00:01:38.000 --> 00:01:40.000]  那怎樣好呢?
[00:01:40.000 --> 00:01:42.000]  還有沒有將來呢?
[00:01:42.000 --> 00:01:46.000]  第四,政局的發展又起變化
[00:01:46.000 --> 00:01:49.000]  自由彷似越來越窄
[00:01:49.000 --> 00:01:51.000]  還有沒有路可走呢?
[00:01:51.000 --> 00:01:53.000]  我們怎樣走呢?
[00:01:53.000 --> 00:01:56.000]  電影節目不知道這些會不會是你的心聲
[00:01:56.000 --> 00:01:58.000]  我們怎樣走這條路
[00:01:58.000 --> 00:02:00.000]  怎樣繼續走下去
[00:02:00.000 --> 00:02:04.000]  有沒有一個可以走下去的將來呢?
[00:02:04.000 --> 00:02:07.000]  其實這些問題都不只是我想到
[00:02:07.000 --> 00:02:10.000]  我相信這正正是
[00:02:10.000 --> 00:02:12.000]  今晚想和大家分享的訊息
[00:02:12.000 --> 00:02:15.000]  就是試圖約翰的心聲
[00:02:15.000 --> 00:02:16.000]  其中一方面
