
[00:00:00.000 --> 00:00:02.000]  頂子兄妹,早安
[00:00:02.000 --> 00:00:04.500]  神真是很愛我們
[00:00:04.500 --> 00:00:08.000]  神真是豐豐富富的恩典
[00:00:08.000 --> 00:00:11.000]  神的恩典是極其豐富和偉大
[00:00:11.000 --> 00:00:15.500]  在神學上,神的恩典可以分為兩大類
[00:00:15.500 --> 00:00:16.500]  兩種的方式顯現
[00:00:16.500 --> 00:00:19.000]  一種叫特殊恩典
[00:00:19.000 --> 00:00:22.000]  Special Grace,或者叫拯救性的恩典
[00:00:22.000 --> 00:00:23.500]  Saving Grace
[00:00:23.500 --> 00:00:26.000]  另一種就叫普遍恩典
[00:00:26.000 --> 00:00:27.500]  Common Grace
[00:00:27.500 --> 00:00:30.000]  特殊恩典之所以是特殊
[00:00:30.000 --> 00:00:32.000]  是因為不是每個人都有
[00:00:32.000 --> 00:00:35.500]  是那些夢揀選成為基督徒
[00:00:35.500 --> 00:00:38.000]  重生得救的人才有
[00:00:38.000 --> 00:00:40.500]  普遍恩典之所以是普遍
[00:00:40.500 --> 00:00:42.500]  是因為人人都有
[00:00:42.500 --> 00:00:44.500]  就好像剛才敬拜隊
[00:00:44.500 --> 00:00:46.000]  揀的歌曲真的很好
[00:00:46.000 --> 00:00:47.000]  不知道大家有沒有留意
[00:00:47.000 --> 00:00:49.500]  第一首詩歌《宣告德性》
[00:00:49.500 --> 00:00:51.000]  有說到
[00:00:51.000 --> 00:00:53.500]  宣告悔改進天國
[00:00:53.500 --> 00:00:56.000]  甘願為世人上十課
[00:00:56.000 --> 00:00:57.500]  成就救恩
[00:00:57.500 --> 00:00:59.500]  這個是特殊恩典
[00:00:59.500 --> 00:01:01.500]  接著《真光普照》
[00:01:01.500 --> 00:01:02.500]  富哥這樣說
[00:01:02.500 --> 00:01:04.000]  《真光普照》
[00:01:04.000 --> 00:01:07.500]  基督光芒照耀萬國邦
[00:01:07.500 --> 00:01:10.000]  基督光照耀萬國萬邦
[00:01:10.000 --> 00:01:12.000]  這個是普遍恩典
[00:01:12.000 --> 00:01:13.500]  第三首《活出愛》
[00:01:13.500 --> 00:01:14.000]  富哥那裡
[00:01:14.000 --> 00:01:17.500]  耶穌的愛點燃我心中紅紅愛火
[00:01:17.500 --> 00:01:20.500]  我們一起向世界
[00:01:20.500 --> 00:01:21.500]  活出愛
[00:01:21.500 --> 00:01:22.500]  向全世界
[00:01:22.500 --> 00:01:24.500]  無論信了還是不信的人
[00:01:24.500 --> 00:01:25.500]  最後《我們愛》
[00:01:25.500 --> 00:01:28.500]  你和我是天父愛的創造
[00:01:28.500 --> 00:01:31.500]  每個人
[00:01:31.500 --> 00:01:34.500]  都有最美的夢想
[00:01:34.500 --> 00:01:35.500]  神是創造主
[00:01:35.500 --> 00:01:37.000]  就算未信主的人
[00:01:37.000 --> 00:01:39.500]  一樣有美好的夢想
[00:01:39.500 --> 00:01:43.500]  所以我們已經領受了
[00:01:43.500 --> 00:01:45.500]  神的特殊恩典
[00:01:45.500 --> 00:01:46.000]  我們信了主
[00:01:46.000 --> 00:01:47.000]  得到救恩
[00:01:47.000 --> 00:01:48.000]  很感謝神
[00:01:48.000 --> 00:01:50.000]  但是神還有其他的恩典
[00:01:50.000 --> 00:01:52.500]  就是普遍的恩典
[00:01:52.500 --> 00:01:54.000]  如果用神學的問法
[00:01:54.000 --> 00:01:56.000]  就是神對這個世界
[00:01:56.000 --> 00:01:58.000]  除了要拯救這個世界
[00:01:58.000 --> 00:01:59.500]  還有沒有其他旨意?
[00:01:59.500 --> 00:02:01.500]  除了救贖性的旨意
[00:02:01.500 --> 00:02:03.500]  還有沒有其他的旨意?
[00:02:03.500 --> 00:02:04.500]  是有的
[00:02:04.500 --> 00:02:06.500]  今天就要說這件事
[00:02:06.500 --> 00:02:08.500]  普遍恩典
[00:02:08.500 --> 00:02:10.500]  今天是神學的講道
[00:02:10.500 --> 00:02:12.500]  不是平時的《釋經》講道
[00:02:12.500 --> 00:02:14.500]  可能會稍為深一點
[00:02:14.500 --> 00:02:15.500]  大家要
[00:02:15.500 --> 00:02:17.500]  我們很需要依靠神
[00:02:17.500 --> 00:02:19.500]  去到千里聰明智慧去明白
[00:02:19.500 --> 00:02:20.500]  但是我希望
[00:02:21.000 --> 00:02:26.000]  讓我們把信仰生活化
[00:02:26.000 --> 00:02:28.000]  一起祈禱
[00:02:29.000 --> 00:02:31.000]  主啊!我們感謝祢
[00:02:31.000 --> 00:02:33.000]  祢真是很美善
[00:02:33.000 --> 00:02:34.000]  祢很愛我們
[00:02:34.000 --> 00:02:36.000]  祢讓我們得著救恩
[00:02:36.000 --> 00:02:37.000]  成為祢的兒女
[00:02:37.000 --> 00:02:38.000]  罪得赦免
[00:02:38.000 --> 00:02:39.000]  得著永生
[00:02:39.000 --> 00:02:41.000]  祢又讓我們每日的生活
[00:02:41.000 --> 00:02:44.000]  經歷祢的愛憐憫的包圍
[00:02:44.000 --> 00:02:45.000]  沒有祢
[00:02:45.000 --> 00:02:46.000]  其實就沒有我們
[00:02:46.000 --> 00:02:48.000]  願祢去開我們的眼睛
[00:02:48.000 --> 00:02:50.000]  能夠見到祢的美善
[00:02:50.000 --> 00:02:52.000]  祢豐富的恩典
[00:02:52.000 --> 00:02:54.000]  以致我們獻上衷心的讚美
[00:02:54.000 --> 00:02:55.000]  一生為主而活
[00:02:55.000 --> 00:02:56.000]  求真祢的靈
[00:02:56.000 --> 00:02:59.000]  帶領我們進入祢的真理當中
[00:02:59.000 --> 00:03:00.000]  多謝聽我們禱告
