
[00:00:00.000 --> 00:00:04.200]  各位弟兄姊妹,早安!主佑平安!
[00:00:04.200 --> 00:00:07.200]  我們再次給予掌聲敬拜對號碼
[00:00:07.200 --> 00:00:09.400]  「心冤中的禱告」
[00:00:09.400 --> 00:00:13.200]  原來神帶領我們走過2024年
[00:00:13.200 --> 00:00:17.600]  剛才主席說好像很老套
[00:00:17.600 --> 00:00:20.000]  我覺得一點也不老套
[00:00:20.000 --> 00:00:23.400]  因為回望2024年
[00:00:23.400 --> 00:00:26.600]  我相信一定有很多的恩典
[00:00:26.600 --> 00:00:28.000]  很多神的愛
[00:00:28.000 --> 00:00:30.400]  很多神的同在在我們當中
[00:00:30.400 --> 00:00:32.600]  讓我們回望的時候
[00:00:32.600 --> 00:00:35.400]  我們看到神很多的恩典
[00:00:35.400 --> 00:00:38.800]  今天我也很想先看看弟兄姊妹
[00:00:38.800 --> 00:00:43.000]  天氣很冷,大家多穿件衣服
[00:00:43.000 --> 00:00:44.400]  保重身體
[00:00:44.400 --> 00:00:48.400]  希望我們能夠在主的裡面身心靈健壯
[00:00:48.400 --> 00:00:49.600]  剛才主席有說
[00:00:49.600 --> 00:00:51.000]  今天日子很特別
[00:00:51.000 --> 00:00:56.400]  因為今天是2024年最後一篇的訊息
[00:00:56.400 --> 00:01:00.000]  我未來2024年不會再說訊息了
[00:01:00.000 --> 00:01:03.000]  因為我準備在2025年會說
[00:01:03.000 --> 00:01:06.600]  不知道大家準備好進入2025年了嗎?
[00:01:06.600 --> 00:01:08.000]  都在準備當中
[00:01:08.000 --> 00:01:11.600]  真的回望,我相信一定有很多神的恩典
[00:01:11.600 --> 00:01:13.400]  弟兄姊妹,我想問問大家
[00:01:13.400 --> 00:01:15.600]  任何一件事在2024年
[00:01:15.600 --> 00:01:19.200]  你很記得神的恩典嗎?
[00:01:19.200 --> 00:01:20.200]  記住它
[00:01:20.200 --> 00:01:25.000]  祂跟你走過很多艱難的歲月
[00:01:25.000 --> 00:01:27.800]  任何一件事你都很記得
[00:01:27.800 --> 00:01:31.200]  原來祂在2024年也讓你跨過
[00:01:31.200 --> 00:01:33.800]  另外我們也準備進入2025年
[00:01:33.800 --> 00:01:36.400]  任何一件事你都很想求神幫助你
[00:01:36.400 --> 00:01:39.000]  可能那件事是不容易的
[00:01:39.000 --> 00:01:42.200]  很難去渡過,或者很難去改變
[00:01:42.200 --> 00:01:44.400]  求神幫助我們
[00:01:44.400 --> 00:01:46.800]  讓我們可以進入2025年的時候
[00:01:46.800 --> 00:01:50.800]  我們可以在當中經歷主的恩典
[00:01:50.800 --> 00:01:53.400]  今天我的題目叫做「從道開始」
[00:01:53.400 --> 00:01:56.800]  正正是配合今年的年尾
[00:01:56.800 --> 00:01:59.800]  也準備進入2025年
[00:01:59.800 --> 00:02:02.400]  所以我的題目叫做「從道開始」
[00:02:02.400 --> 00:02:05.000]  因為神的話很重要
[00:02:05.000 --> 00:02:07.600]  也盼望我們在神的話裡面
[00:02:07.600 --> 00:02:11.000]  開始我們整個人生
[00:02:11.000 --> 00:02:11.800]  我計算過了
[00:02:11.800 --> 00:02:15.000]  其實還有兩天時間
[00:02:15.000 --> 00:02:16.800]  就是2025年了
[00:02:16.800 --> 00:02:18.800]  還有63個小時
[00:02:18.800 --> 00:02:20.000]  從現在開始
[00:02:20.200 --> 00:02:22.200]  究竟我們這63個小時
[00:02:22.200 --> 00:02:25.400]  我們如何好好去計劃
[00:02:25.400 --> 00:02:27.600]  去把握神的話
[00:02:27.600 --> 00:02:30.400]  在我們心靈裡面去動功呢?
[00:02:30.400 --> 00:02:31.400]  盼望我們新的一年
[00:02:31.400 --> 00:02:33.800]  可以更學悟神的話
[00:02:33.800 --> 00:02:37.200]  在祂的話裡面滋潤我們的心靈
[00:02:37.200 --> 00:02:39.000]  我們能夠像施洗藥巷一樣
[00:02:39.000 --> 00:02:41.000]  為主作見證
[00:02:41.000 --> 00:02:42.000]  我們一起禱告吧
[00:02:42.000 --> 00:02:43.000]  一起祈禱
[00:02:43.000 --> 00:02:47.000]  親愛的天父
[00:02:47.000 --> 00:02:49.200]  感謝祢的恩典
[00:02:49.200 --> 00:02:53.800]  陪伴我們走過2024年每一個階段
[00:02:53.800 --> 00:02:56.600]  我們很快進入2025年了
[00:02:56.600 --> 00:02:57.800]  求祢的愛
[00:02:57.800 --> 00:03:00.200]  都淋到我們弟兄姊妹當中
[00:03:00.200 --> 00:03:02.400]  祢的話與我們同在
[00:03:02.400 --> 00:03:04.200]  讓我們能夠心靈
[00:03:04.200 --> 00:03:06.200]  可以為祢作見證
[00:03:06.200 --> 00:03:08.400]  主啊,求祢開放我們的心
[00:03:08.400 --> 00:03:10.000]  聆聽祢的話
[00:03:10.000 --> 00:03:12.800]  讓我們好好去學習
[00:03:12.800 --> 00:03:14.400]  彼此的成長
[00:03:14.400 --> 00:03:17.200]  讓我們成為一個福音的使者
[00:03:17.200 --> 00:03:18.400]  多謝你聽我們禱告
[00:03:18.400 --> 00:03:19.200]  禱告交託
[00:03:19.200 --> 00:03:21.200]  奉主耶穌基督,明求
[00:03:21.200 --> 00:03:22.200]  阿們
[00:03:22.200 --> 00:03:23.200]  弟姐妹
[00:03:23.200 --> 00:03:26.200]  我想問問,有沒有聽過瓶頸位?
[00:03:26.200 --> 00:03:27.200]  有吧
[00:03:27.200 --> 00:03:29.200]  瓶頸位就好像一個水瓶
[00:03:29.200 --> 00:03:32.200]  到最上的時候收窄了
[00:03:32.200 --> 00:03:34.200]  然後當你倒水出來的時候
[00:03:34.200 --> 00:03:35.800]  水不會那麼快
[00:03:35.800 --> 00:03:39.800]  但是瓶頸位其實有形容很多東西的
[00:03:39.800 --> 00:03:43.200]  好像是很難再繼續向前
[00:03:43.200 --> 00:03:45.200]  很難再突破
[00:03:45.200 --> 00:03:47.200]  有時候也會形容一個人
[00:03:47.200 --> 00:03:52.200]  好像不能夠再跨過瓶頸位
[00:03:52.200 --> 00:03:56.200]  缺乏了一些開心、喜悅、提不起勁
[00:03:56.200 --> 00:03:57.200]  缺乏一種動力
[00:03:57.200 --> 00:03:59.200]  不能夠向前
[00:03:59.200 --> 00:04:02.200]  包括我們的工作、家庭、感情
[00:04:02.200 --> 00:04:03.200]  甚至健康
[00:04:03.200 --> 00:04:05.200]  都會有瓶頸位
[00:04:05.200 --> 00:04:07.200]  特別是做運動也會
[00:04:07.200 --> 00:04:10.200]  做運動可能也過不了瓶頸位
[00:04:10.200 --> 00:04:11.200]  怎樣呢?
[00:04:11.200 --> 00:04:13.200]  同樣今天我們有屬靈生命
[00:04:13.200 --> 00:04:16.200]  有沒有瓶頸位呢?
[00:04:16.200 --> 00:04:18.200]  我們每個星期都回來教會
[00:04:18.200 --> 00:04:20.200]  聽崇拜
[00:04:20.200 --> 00:04:23.200]  小組的弟兄姊妹
[00:04:23.200 --> 00:04:25.200]  有沒有這個瓶頸位在當中呢?
[00:04:25.200 --> 00:04:27.200]  又或者這個瓶頸位會不會是
[00:04:27.200 --> 00:04:29.200]  我們自己定了一個瓶頸位
[00:04:29.200 --> 00:04:31.200]  我是這樣的了
[00:04:31.200 --> 00:04:32.200]  差不多了
[00:04:32.200 --> 00:04:33.200]  夠了
[00:04:33.200 --> 00:04:36.200]  再不能夠可以繼續向前
[00:04:36.200 --> 00:04:39.200]  今天我們準備進入2025年了
[00:04:39.200 --> 00:04:42.200]  首先我很想讓弟兄姊妹
[00:04:42.200 --> 00:04:44.200]  都可以再一次停下來
[00:04:44.200 --> 00:04:46.200]  思想自己的屬靈生命
[00:04:46.200 --> 00:04:50.200]  有沒有這個瓶頸位在當中呢?
