
[00:00:00.000 --> 00:00:02.960]  可否給掌聲今天的侍奉人員
[00:00:02.960 --> 00:00:06.800]  不論敬拜隊、AV Team、獅士隊
[00:00:06.800 --> 00:00:09.200]  可否熱情一點的給你們掌聲
[00:00:09.200 --> 00:00:11.200]  (掌聲)
[00:00:11.200 --> 00:00:14.800]  多謝他們很勞苦的預備
[00:00:14.800 --> 00:00:17.200]  我真的很喜歡敬拜
[00:00:17.200 --> 00:00:20.000]  敬拜裏面能夠體會神的同在
[00:00:20.000 --> 00:00:22.400]  和體會神和自己靠近
[00:00:22.400 --> 00:00:26.000]  能夠重新得力是很美好的事情
[00:00:26.000 --> 00:00:30.400]  所以你們今天做了一個很聰明的選擇
[00:00:30.400 --> 00:00:32.000]  就是回來一起敬拜
[00:00:32.000 --> 00:00:33.200]  所以跟旁邊的人說
[00:00:33.200 --> 00:00:34.800]  你真的很聰明
[00:00:34.800 --> 00:00:40.000]  (笑)
[00:00:40.000 --> 00:00:43.600]  我今天講到的題目是
[00:00:43.600 --> 00:00:45.600]  Bling Bling 的生命
[00:00:45.600 --> 00:00:52.800]  Bling Bling 即是很閃、很刺眼
[00:00:52.800 --> 00:00:56.000]  我覺得基督徒的生命應該都是Bling Bling
[00:00:56.000 --> 00:00:58.800]  因為我們遇見了耶穌這個真光
[00:00:58.800 --> 00:01:03.000]  我們的生命應該都是很光亮的
[00:01:03.000 --> 00:01:05.400]  你又看看旁邊的人
[00:01:05.400 --> 00:01:07.000]  你覺得他是不是Bling Bling?
[00:01:07.000 --> 00:01:09.400]  (反應)
[00:01:09.400 --> 00:01:12.000]  好像似乎不是
[00:01:12.000 --> 00:01:15.000]  是呀,但為什麼呢?
[00:01:15.000 --> 00:01:18.000]  明明遇見耶穌真光
[00:01:18.000 --> 00:01:20.000]  我們都應該是Bling Bling的
[00:01:20.000 --> 00:01:23.000]  但我們又不夠Bling Bling
[00:01:23.000 --> 00:01:27.000]  有時候我們甚至落入黑暗
[00:01:27.000 --> 00:01:29.000]  不能夠發光
[00:01:29.000 --> 00:01:33.000]  我們怎樣才可以Bling Bling呢?
[00:01:33.000 --> 00:01:36.600]  怎樣才可以繼續為主發光呢?
[00:01:36.600 --> 00:01:39.400]  今天我跟大家分享的經文是
[00:01:39.400 --> 00:01:43.000]  《撒慕爾記》上的第三章一至十節
[00:01:43.000 --> 00:01:46.000]  是呀,這段經文都很熟悉
[00:01:46.000 --> 00:01:49.000]  我也想再跟大家看看
[00:01:49.000 --> 00:01:51.600]  以色列人是一群神的選民
[00:01:51.600 --> 00:01:54.600]  什麼原因?他們都不能夠發光
[00:01:54.600 --> 00:01:56.600]  他們都落入黑暗
[00:01:56.600 --> 00:01:59.600]  而上帝又怎樣去預備
[00:01:59.600 --> 00:02:03.600]  他的工人能夠在那個時代
[00:02:03.600 --> 00:02:06.000]  繼續為主發光
[00:02:06.000 --> 00:02:09.400]  看看當中上帝對我們的生命有什麼提醒
[00:02:09.400 --> 00:02:12.800]  我想邀請大家跟我一起讀出經文
[00:02:12.800 --> 00:02:14.600]  總共有十節
[00:02:14.600 --> 00:02:16.400]  好,預備起
[00:02:16.400 --> 00:02:21.200]  那孩子撒慕爾在伊利面前侍奉耶和華
[00:02:21.200 --> 00:02:25.200]  在那些日子,耶和華的言語稀少
