
[00:00:00.000 --> 00:00:07.000]  今天我要和你思想的經文,有些內容我自己去思想和預備的時候,
[00:00:07.000 --> 00:00:14.000]  有些時候我都會有些戰戰兢兢,因為裡面有些內容對自己都很大的提醒。
[00:00:14.000 --> 00:00:19.000]  裡面的題目:凡有的還要加給他。
[00:00:27.000 --> 00:00:30.000]  凡有的還要加給他。
[00:00:30.000 --> 00:00:35.000]  在上個月9月4日,有機會和你分享訊息,
[00:00:35.000 --> 00:00:46.000]  有關於耶穌說:你來看,探索過去恩福35年,在他的恩典回想過去。
[00:00:46.000 --> 00:00:51.000]  但是恩福的未來35年,70年,我們又可以怎樣準備呢?
[00:00:51.000 --> 00:00:58.000]  在上次的分享裡面,提到耶和福音裡面一章,很多漢見,很多漢見。
[00:00:58.000 --> 00:01:05.000]  其中施洗日漢兩個門徒,知道神的羔羊經過,他就跟著耶穌。
[00:01:05.000 --> 00:01:13.000]  耶穌轉身就問那兩個門徒跟他的人,你們要什麼?要什麼?
[00:01:13.000 --> 00:01:21.000]  耶穌見到他們有行動,但是更關心他們的內心動機,問他們要什麼?
[00:01:21.000 --> 00:01:32.000]  在恩福我們有時,但以利小組,弟兄團契開組之前,很多時候都會安靜一下。
[00:01:32.000 --> 00:01:39.000]  通常會問一下弟兄,你check in一下你自己裡面的感覺感受。
[00:01:39.000 --> 00:01:47.000]  就好像在屬靈登基之前,要進入一個屬靈的境界,問一下弟兄你自己內心準備好了嗎?
[00:01:47.000 --> 00:01:54.000]  如果準備好,屬靈的旅程將要出發了,穿好安全帶。
[00:01:54.000 --> 00:01:58.000]  有多少人去過弟兄小組但以利的團契?
[00:01:58.000 --> 00:02:00.000]  是不是常常都會check in?
[00:02:00.000 --> 00:02:06.000]  開始之前都會,好像登基之前,問一下你有沒有準備好你的心。
[00:02:06.000 --> 00:02:10.000]  當耶穌轉身問那兩個門徒,你準備好了嗎?
[00:02:10.000 --> 00:02:15.000]  如果在地上進來的時候,安心出行,突然間啪,都會有一句話,
[00:02:15.000 --> 00:02:20.000]  你來崇拜要什麼?你準備好了嗎?
[00:02:20.000 --> 00:02:27.000]  兩個門徒當時問耶穌,你住在哪裡?我想認識你多一點。
[00:02:27.000 --> 00:02:32.000]  耶穌的回答是,你來看,你來看,你來看。
[00:02:32.000 --> 00:02:40.000]  無論是實體的弟兄姐妹,或者現在在網上看直播的,或者過一段時間看錄播的,或者youtube,
[00:02:40.000 --> 00:02:45.000]  這一刻你都可以問自己,你要什麼?
[00:02:45.000 --> 00:02:50.000]  你心裡面是不是都想認識神多一點,經歷祂多一點?
[00:02:50.000 --> 00:02:55.000]  以致你崇拜之後,好像那兩個門徒一樣,
[00:02:55.000 --> 00:03:00.000]  他們跟耶穌有一個頗長時間,過了一個晚上,第二天,
[00:03:00.000 --> 00:03:04.000]  他們四出跟別人分享,他們跟耶穌相見,
[00:03:04.000 --> 00:03:08.000]  他們看到聽到耶穌的訊息,跟著再跟別人分享,
[00:03:08.000 --> 00:03:14.000]  你來看,你來耶穌那裡,你直接認識神,直接經歷神。
[00:03:14.000 --> 00:03:23.000]  如果你心裡面都準備好的話,我相信今天的訊息,神會跟你直接的去說話。
[00:03:23.000 --> 00:03:25.000]  我們同心一起禱告。
[00:03:25.000 --> 00:03:31.000]  親愛的恩主,求祢帶領我們心靈上上準備好,
[00:03:31.000 --> 00:03:36.000]  無論在今天,或者下個星期,當我們有機會去領受祢的說話的時候,
[00:03:36.000 --> 00:03:43.000]  有機會在崇拜的時候,透過詩歌,透過祈禱,透過祢的說話,去親近祢的時候,
[00:03:43.000 --> 00:03:46.000]  我們願意祢直著祢聖經的說話,
[00:03:46.000 --> 00:03:52.000]  詩歌,禱告,讓我們去見到祢,讓我們更多認識祢,
[00:03:52.000 --> 00:03:57.000]  讓我們更多感受祢,直著祢的說話去建立我們生命。
[00:03:57.000 --> 00:04:04.000]  我們將以下時間交託,求祢帶領我們在屬靈上,與祢親近,與祢相遇。
[00:04:04.000 --> 00:04:08.000]  我們的禱告交託是靠主耶穌基督得聖名頭。
[00:04:08.000 --> 00:04:09.000]  阿們。
[00:04:09.000 --> 00:04:14.000]  今天的題目是要跟你思想,有的還要給他。
[00:04:14.000 --> 00:04:16.000]  可能你也聽過這些說話,
[00:04:16.000 --> 00:04:20.000]  美國的社會學家Robert Merton,
[00:04:20.000 --> 00:04:28.000]  莫頓在1968年在經濟學裡面,有一個很有名的叫馬太效應,Mathieu Effect,
[00:04:28.000 --> 00:04:31.000]  在經濟的角度裡面看,
[00:04:31.000 --> 00:04:37.000]  他覺得聖經裡面馬太福音13章的12節,和馬太福音25章的29節,
[00:04:37.000 --> 00:04:47.000]  是幫助有些人,有時越強越強,越弱越弱,越有錢的人越有錢,越窮的人有時越窮,
[00:04:47.000 --> 00:04:52.000]  在這些社會現象裡面,不知道你有沒有這個體會呢?
[00:04:52.000 --> 00:05:03.000]  好像銀行存款的時候,有些人幾億存款,和有幾萬幾十萬的人存款有沒有不同?
[00:05:03.000 --> 00:05:09.000]  原來很有錢的人,他們賺錢好像很容易,好像越有越有,
[00:05:09.000 --> 00:05:21.000]  很多人會有很好的優惠,很好的條件,利息,或者是去到等位,去到櫃檯的時候都特別快一點,
[00:05:21.000 --> 00:05:28.000]  甚至有些地方有位子坐,有隨時喝咖啡的,有沒有這些情況?
[00:05:28.000 --> 00:05:30.000]  好像特別多一些好的待遇。
[00:05:30.000 --> 00:05:36.000]  所以有些人就說聖經裡面說越有越有,有時越沒有越沒有,
[00:05:36.000 --> 00:05:42.000]  好像是否在說物質和金錢呢?某個程度好像是,
[00:05:42.000 --> 00:05:48.000]  好像在家庭裡面,福音傳到一些很貧窮的基層的家庭裡面,
[00:05:48.000 --> 00:05:54.000]  開始促膝見肘,不夠錢,很窮,有不少的家庭因為信了主,
[00:05:54.000 --> 00:06:02.000]  他們懂得去敬畏神,管理金錢,不再賭博,善用時間,好好的讀書小朋友,
[00:06:02.000 --> 00:06:09.000]  很多基層家庭因為信了耶穌,他們脫貧,他們好好的讀書,神祝福他們的家庭,
[00:06:09.000 --> 00:06:17.000]  慢慢不少基督徒的家庭下一代都變成中產,是不是有這樣的情況?
[00:06:17.000 --> 00:06:26.000]  神是有這個恩典和祝福,但這個物質的情況只是一個最基本的外在情況,
[00:06:26.000 --> 00:06:32.000]  但原來聖經裡面的馬太福音十三章和二十五章原本是不是說物質的呢?
[00:06:32.000 --> 00:06:36.000]  原本的意思是怎樣的呢?今天我們一起思想,
[00:06:36.000 --> 00:06:42.000]  聖經裡面原來「凡有的還要加給他」原來的意思是什麼?
[00:06:42.000 --> 00:06:47.000]  從中我們有什麼屬靈學習,願意我們躺開心一起去領受。
[00:06:47.000 --> 00:06:51.000]  我們今天有時候說一些重要的信息,
[00:06:51.000 --> 00:06:56.000]  通常香港人說重要的話要說多少次?三次。
[00:06:56.000 --> 00:07:03.000]  在四福音裡面記載「凡有的還要加給他」有多少次?
[00:07:03.000 --> 00:07:09.000]  是五次,五次。重要嗎?
