
[00:00:00.000 --> 00:00:03.040]  可否給掌聲今天的侍奉團隊
[00:00:03.040 --> 00:00:06.240]  包括剛才的警察隊、AV Team
[00:00:06.240 --> 00:00:07.740]  還有獅子隊
[00:00:07.740 --> 00:00:09.120]  他們很勞苦
[00:00:09.120 --> 00:00:12.200]  每個星期都很早回來預備
[00:00:12.200 --> 00:00:13.700]  多謝他們的預備
[00:00:13.700 --> 00:00:15.100]  還有很好
[00:00:15.100 --> 00:00:16.100]  在勁敗裡
[00:00:16.100 --> 00:00:19.040]  再一次能夠同神去親近
[00:00:19.040 --> 00:00:20.880]  能夠在神的同座裡
[00:00:20.880 --> 00:00:23.040]  有一個很特別的時間
[00:00:23.040 --> 00:00:27.680]  今天我提到的題目是
[00:00:27.680 --> 00:00:30.280]  Bling Bling 的生命
[00:00:30.280 --> 00:00:32.480]  Bling Bling 即是很閃
[00:00:32.480 --> 00:00:34.600]  很刺眼
[00:00:34.600 --> 00:00:36.480]  我相信基督徒的生命
[00:00:36.480 --> 00:00:38.480]  應該都是Bling Bling
[00:00:38.480 --> 00:00:39.680]  你看看旁邊那個
[00:00:39.680 --> 00:00:41.280]  你覺得他Bling Bling嗎?
[00:00:41.280 --> 00:00:44.080]  哈哈
[00:00:44.080 --> 00:00:46.600]  你覺得那個很刺眼嗎?
[00:00:46.600 --> 00:00:48.280]  不過你們的樣子告訴我
[00:00:48.280 --> 00:00:49.680]  你好像不太認同
[00:00:49.680 --> 00:00:52.480]  旁邊那個人是Bling Bling
[00:00:52.480 --> 00:00:54.000]  也是的
[00:00:54.000 --> 00:00:57.480]  明明我們已經認識了耶穌基督
[00:00:57.480 --> 00:00:59.480]  耶穌基督就是一個真光
[00:00:59.480 --> 00:01:01.480]  我們應該的生命
[00:01:01.480 --> 00:01:03.080]  都是一個發光的生命
[00:01:03.080 --> 00:01:06.880]  但為什麼我們又不是真的那麼光呢?
[00:01:06.880 --> 00:01:08.680]  究竟我們的生命
[00:01:08.680 --> 00:01:11.080]  怎樣可以發光呢?
[00:01:11.080 --> 00:01:13.080]  怎樣不要再掉進黑暗裡
[00:01:13.080 --> 00:01:15.480]  能夠我們生命為主發光呢?
[00:01:15.480 --> 00:01:17.080]  今天很想透過
[00:01:17.080 --> 00:01:20.080]  撒慕爾記上三章一至十節
[00:01:20.080 --> 00:01:21.680]  跟大家分享
[00:01:21.680 --> 00:01:23.680]  希望過程當中
[00:01:23.680 --> 00:01:26.480]  看看上帝對我們生命有什麼提醒
