
[00:00:00.000 --> 00:00:02.000]  今天也是一年一度的青少主日
[00:00:02.000 --> 00:00:03.320]  先介紹一下我自己
[00:00:03.320 --> 00:00:04.360]  我叫凌峰
[00:00:04.360 --> 00:00:06.040]  是青少部的傳導人
[00:00:06.040 --> 00:00:09.920]  青少主日通常都很想藉著這個主日
[00:00:09.920 --> 00:00:10.960]  讓大家
[00:00:10.960 --> 00:00:13.640]  大英占卜大家去了解青少部多一點
[00:00:13.640 --> 00:00:16.880]  也去了解時下的年輕人多一點
[00:00:16.880 --> 00:00:18.680]  我不知道大英占卜
[00:00:18.680 --> 00:00:20.120]  我想大家去想一件事
[00:00:20.120 --> 00:00:23.520]  你去想今天的年輕人的時候
[00:00:23.520 --> 00:00:26.240]  如果你要去形容今時今日的年輕人
[00:00:26.240 --> 00:00:28.120]  你會怎樣去形容呢
[00:00:29.280 --> 00:00:31.320]  我想過去幾年
[00:00:31.320 --> 00:00:32.680]  無論是社會運動
[00:00:32.680 --> 00:00:33.720]  無論是疫情
[00:00:33.720 --> 00:00:35.400]  無論是移民潮
[00:00:35.400 --> 00:00:37.640]  我想這些不同的環境的影響
[00:00:37.640 --> 00:00:39.680]  其實都影響著年輕人的成長
[00:00:39.680 --> 00:00:41.480]  當我們到了今天
[00:00:41.480 --> 00:00:44.800]  我們說好像所有事情都開始復常了
[00:00:44.800 --> 00:00:46.760]  不過隨之而來
[00:00:46.760 --> 00:00:48.120]  是些什麼呢
[00:00:48.120 --> 00:00:50.360]  隨之而來我們發現
[00:00:50.360 --> 00:00:54.280]  其實有很多心靈和成長上的需要
[00:00:54.280 --> 00:00:57.240]  學校要去搶成績
[00:00:57.240 --> 00:00:59.440]  學生要去追成績
[00:00:59.440 --> 00:01:03.760]  過去幾年他們少了很多實體的相處
[00:01:03.760 --> 00:01:05.560]  很多時候都是戴著口罩
[00:01:05.560 --> 00:01:06.560]  看不到樣子
[00:01:06.560 --> 00:01:08.960]  好像當復常的時候
[00:01:08.960 --> 00:01:11.920]  在人與人相處的關係上
[00:01:11.920 --> 00:01:13.200]  都有很多張力
[00:01:13.200 --> 00:01:15.280]  我相信可能大家都會同意
[00:01:15.280 --> 00:01:17.400]  可能因為大家在家裡面
[00:01:17.400 --> 00:01:19.840]  面對著大家的子女或者家人的時候
[00:01:19.840 --> 00:01:22.160]  可能這些事情都是這樣去影響大家
[00:01:22.160 --> 00:01:23.960]  突然之間我不知道大家
[00:01:23.960 --> 00:01:25.840]  前陣子有沒有看過這部電影
[00:01:26.080 --> 00:01:27.680]  這部電影叫《年少日記》
[00:01:27.680 --> 00:01:31.200]  那部電影是在說一些原生家庭的問題
[00:01:31.200 --> 00:01:33.640]  帶給不同人不同的影響
[00:01:33.640 --> 00:01:35.000]  甚至是傷痛
[00:01:35.000 --> 00:01:37.120]  不過同時也在說
[00:01:37.120 --> 00:01:38.400]  一些學生
[00:01:38.400 --> 00:01:41.560]  要去關注他們多一點心理健康
[00:01:41.560 --> 00:01:44.760]  甚至可能是一些輕生的問題
[00:01:44.760 --> 00:01:46.480]  當我們看的時候
[00:01:46.480 --> 00:01:48.120]  可能我們都會有一些共鳴
[00:01:48.120 --> 00:01:50.160]  因為確實這些現象
[00:01:50.160 --> 00:01:51.760]  都發生在現在的香港
[00:01:51.760 --> 00:01:55.360]  很多學生面對著情緒壓力的困擾
[00:01:55.480 --> 00:01:57.320]  甚至有很多輕生的問題
[00:01:57.320 --> 00:02:00.640]  最近我看到一個網上的調查
[00:02:00.640 --> 00:02:01.440]  他這樣說
[00:02:01.440 --> 00:02:03.560]  他說當中現在的年輕人是怎麼樣的呢
[00:02:03.560 --> 00:02:05.040]  他說有一個調查
[00:02:05.040 --> 00:02:07.560]  他說有64.5%的年輕人
[00:02:07.560 --> 00:02:09.600]  面對現時的處境的時候
[00:02:09.600 --> 00:02:12.760]  他不知道在這個地方還可以做些什麼
[00:02:12.760 --> 00:02:15.480]  有64%的年輕人
[00:02:15.480 --> 00:02:16.640]  他很同意的是
[00:02:16.640 --> 00:02:18.240]  今天不知道明天的事
[00:02:18.240 --> 00:02:20.600]  也不知道怎麼可以為將來去打算
[00:02:20.600 --> 00:02:23.000]  曾經跟一個年輕人聊天
[00:02:23.000 --> 00:02:23.880]  他這樣去說
[00:02:23.880 --> 00:02:24.800]  他哭著這樣去說
[00:02:24.800 --> 00:02:27.760]  他說這幾年其實他很孤單
[00:02:27.760 --> 00:02:28.880]  原因是什麼呢
[00:02:28.880 --> 00:02:31.760]  因為他很多組員都移民了到外國
[00:02:31.760 --> 00:02:33.280]  他覺得體會到一樣東西
[00:02:33.280 --> 00:02:34.640]  就是他覺得好像神
[00:02:34.640 --> 00:02:37.320]  拿走了他生命裡面很多很重要的同行者
[00:02:37.320 --> 00:02:38.800]  頂姐妹
[00:02:38.800 --> 00:02:40.520]  當我們見到年輕人
[00:02:40.520 --> 00:02:42.960]  甚至當我們墮入自己處境的時候
[00:02:42.960 --> 00:02:44.520]  可能或多或少
[00:02:44.520 --> 00:02:46.080]  我們面對著這個環境
[00:02:46.080 --> 00:02:48.320]  都有很多迷茫的時候
[00:02:48.320 --> 00:02:50.160]  作為目者
[00:02:50.160 --> 00:02:51.680]  我都會問自己的是
[00:02:51.680 --> 00:02:54.440]  信仰又怎麼可以帶年輕人
[00:02:54.560 --> 00:02:57.160]  去用不同的眼光去看現在的處境呢
[00:02:57.160 --> 00:03:00.000]  今年清澈湖的主題叫做
[00:03:00.000 --> 00:03:02.520]  Transform Our Lives, Going for Christ
[00:03:02.520 --> 00:03:05.640]  清澈湖很想跟一群年輕人一起去學習
[00:03:05.640 --> 00:03:08.760]  怎麼樣生命開放給神去轉化
[00:03:08.760 --> 00:03:11.600]  同樣我們成為一個吸引眼球的生命
[00:03:11.600 --> 00:03:14.120]  可以在這個世代裡面為主發光
[00:03:14.120 --> 00:03:16.760]  而《肥勒比書》一章的十二至二十六節
[00:03:16.760 --> 00:03:18.440]  也是今天講到的經文
[00:03:18.440 --> 00:03:21.600]  同樣都是我們今年年度主題的經文
[00:03:21.600 --> 00:03:23.840]  同樣都很想透過今天的經文
[00:03:23.960 --> 00:03:26.440]  都跟大家拍望食住神的話語
[00:03:26.440 --> 00:03:28.520]  都對我們每一個生命去說話
[00:03:28.520 --> 00:03:29.640]  弟兄姊妹
[00:03:29.640 --> 00:03:30.840]  很想問一下大家
[00:03:30.840 --> 00:03:32.440]  你現在的生命
[00:03:32.440 --> 00:03:34.200]  你面對著什麼樣的光景
[00:03:34.200 --> 00:03:35.840]  面對著什麼樣的環境
[00:03:35.840 --> 00:03:38.160]  有什麼影響著大家呢
