
[00:00:00.000 --> 00:00:02.000]  大家晚安
[00:00:02.000 --> 00:00:09.000]  我比較陌生,因為今天是我第一次晚上來這裡的標青
[00:00:09.000 --> 00:00:12.000]  陌生之餘,其實也是很親切的
[00:00:12.000 --> 00:00:15.000]  因為知道有我的老朋友在這裡
[00:00:15.000 --> 00:00:17.000]  雖然不是每個人都能見到
[00:00:17.000 --> 00:00:19.000]  但也很開心可以見到你們
[00:00:19.000 --> 00:00:22.000]  剛才AV team問我
[00:00:22.000 --> 00:00:26.000]  其實Florence你需要照舊要麥克風嗎?
[00:00:26.000 --> 00:00:30.000]  我也很親切,不過Florence已經長大了
[00:00:30.000 --> 00:00:32.000]  我已經不用麥克風了
[00:00:32.000 --> 00:00:36.000]  她這樣問代表很多年前
[00:00:36.000 --> 00:00:39.000]  我們一起共事過,所以也很開心
[00:00:39.000 --> 00:00:43.000]  我是Florence,因為我主力在青少部
[00:00:43.000 --> 00:00:45.000]  所以可能會跟大家陌生一點
[00:00:45.000 --> 00:00:47.000]  但Focus也是上帝的說話
[00:00:47.000 --> 00:00:49.000]  讓我們一起祈禱,我們一起祈禱
[00:00:49.000 --> 00:00:55.000]  我們進入上帝的說話
[00:00:55.000 --> 00:00:58.000]  差天父感恩,你是我們的大目者
[00:00:58.000 --> 00:01:00.000]  有時我們確實會迷失
[00:01:00.000 --> 00:01:03.000]  有時面對生活很多很多的事物
[00:01:03.000 --> 00:01:05.000]  令我們忘記了你
[00:01:05.000 --> 00:01:08.000]  甚至你預備了我們一塊很清澈的草
[00:01:08.000 --> 00:01:10.000]  我們也未必懂得走到那裡
[00:01:10.000 --> 00:01:12.000]  但感恩你讓我們每個星期
[00:01:12.000 --> 00:01:15.000]  可以回來教會,教會的教會
[00:01:15.000 --> 00:01:18.000]  藉著詩歌,藉著宣講的說話
[00:01:18.000 --> 00:01:22.000]  甚至是每天我們靈修聽的詩歌
[00:01:22.000 --> 00:01:24.000]  都是你餵養我們的時候
