
[00:00:00.000 --> 00:00:04.860]  好多謝敬拜隊帶我們一起敬拜
[00:00:04.860 --> 00:00:10.500]  頂姐妹今天首先請求大家一個幫手
[00:00:10.500 --> 00:00:14.080]  為什麼呢?因為今天的講道應該會比較長
[00:00:14.080 --> 00:00:17.400]  平時我寫篇講章大概四五千字
[00:00:17.400 --> 00:00:19.460]  講大概八個字
[00:00:19.460 --> 00:00:22.520]  今天講道應該比較長因為我寫了六千字
[00:00:22.520 --> 00:00:25.080]  所以大家幫幫手給點耐性
[00:00:25.080 --> 00:00:26.880]  為什麼我要請求你這個體諒呢?
[00:00:26.880 --> 00:00:30.200]  因為我很慘啊!
[00:00:30.200 --> 00:00:31.740]  不知道大家有沒有IG
[00:00:31.740 --> 00:00:33.540]  原來我早兩天就被人...
[00:00:33.540 --> 00:00:36.100]  我墮入了電話被騙局
[00:00:36.100 --> 00:00:39.940]  因為上兩星期不是逆女意賣的
[00:00:39.940 --> 00:00:43.000]  昨天就是我們逆女先鋒
[00:00:43.000 --> 00:00:47.360]  我比較多負責這兩個活動的人
[00:00:47.360 --> 00:00:50.940]  這兩個星期忙碌之前
[00:00:50.940 --> 00:00:53.240]  我放了兩個星期假
[00:00:53.240 --> 00:00:56.580]  即是說我完全沒有時間去寫講章
[00:00:56.580 --> 00:00:58.060]  沒有時間寫講章的時候
[00:00:58.060 --> 00:01:01.380]  其實我只不過有上星期早兩天之前
[00:01:01.380 --> 00:01:04.780]  可以專心一點一個下午來寫講章
[00:01:04.780 --> 00:01:07.280]  但是我就墮入了那個騙案
[00:01:07.280 --> 00:01:13.300]  那個騙案就讓我用了普通話來跟這個騙徒視像講了兩個小時
[00:01:13.300 --> 00:01:15.740]  加上我報警就救了四個小時
[00:01:15.740 --> 00:01:17.780]  搞到整個下午都沒有了
[00:01:17.780 --> 00:01:20.540]  所以其實講道告訴你
[00:01:20.540 --> 00:01:23.160]  傳道人講道花了很多心機
[00:01:23.160 --> 00:01:25.300]  其實花了很多心機用那些時間來做什麼?
[00:01:25.300 --> 00:01:27.180]  就是剪短一點讓你們不會太悶
[00:01:27.180 --> 00:01:28.460]  因為我沒有了那些時間
[00:01:28.460 --> 00:01:30.140]  所以篇道就六千多字
[00:01:30.140 --> 00:01:31.940]  所以大家幫我拍一下你旁邊那個
[00:01:31.940 --> 00:01:33.140]  給心機聽啊
[00:01:33.140 --> 00:01:34.860]  撐住 撐住
[00:01:34.860 --> 00:01:37.260]  原諒我這個被騙的人
[00:01:37.260 --> 00:01:41.060]  大家一起給點耐性去聽這篇道
[00:01:41.060 --> 00:01:46.500]  今天我分享的講題叫做打破信心的障礙
[00:01:46.500 --> 00:01:48.180]  踏入11月
[00:01:48.180 --> 00:01:50.180]  9月是我們學年頭
[00:01:50.180 --> 00:01:51.580]  兩個月之後的11月
[00:01:51.580 --> 00:01:54.220]  其實我們又有新的雙月題
[00:01:54.220 --> 00:01:55.940]  就叫做信心
[00:01:55.940 --> 00:01:58.420]  大家記不記得我們的年題出了
[00:01:58.420 --> 00:01:59.460]  一定記得
[00:01:59.460 --> 00:02:01.620]  我們不如一起讀一下那些英文字
[00:02:01.620 --> 00:02:03.420]  然後就是我們今年的年題
[00:02:03.420 --> 00:02:04.420]  1 2 3
[00:02:04.420 --> 00:02:06.580]  In Christ
[00:02:06.580 --> 00:02:07.980]  Let's go and shine
[00:02:07.980 --> 00:02:10.180]  今年我們的年題就是這樣
[00:02:10.180 --> 00:02:11.700]  Alive in Christ
[00:02:11.700 --> 00:02:13.900]  其實意思就是在聖經裡面講的
[00:02:13.900 --> 00:02:15.100]  活在基督裡面
[00:02:15.100 --> 00:02:17.860]  在基督裡面活著就是在講這件事
[00:02:17.860 --> 00:02:19.180]  活在基督裡面
[00:02:19.180 --> 00:02:22.700]  其實我們需要的是對神有堅定的信心
[00:02:22.700 --> 00:02:23.900]  信心是什麼來的?
[00:02:23.900 --> 00:02:25.460]  好像很抽象
[00:02:25.460 --> 00:02:30.980]  其實信心是在講對神完全的依賴和信任
[00:02:30.980 --> 00:02:32.860]  不過今天探討的問題就是
[00:02:32.860 --> 00:02:37.420]  其實什麼阻礙我們對神有信心呢?
[00:02:37.420 --> 00:02:41.220]  什麼讓我們卻步去不依賴神呢?
[00:02:41.220 --> 00:02:43.860]  又是有什麼去限制我們
[00:02:43.860 --> 00:02:47.460]  完全對神的依賴和信任呢?
[00:02:47.460 --> 00:02:50.220]  怎樣可以完全相信神的計劃呢?
[00:02:50.220 --> 00:02:52.420]  我們一起從聖經去看
[00:02:52.420 --> 00:02:56.420]  今天會看的是《撒慕爾記》六章第一至二十三節
[00:02:56.420 --> 00:02:58.260]  只是經文也有上千字
[00:02:58.260 --> 00:03:02.340]  不過這千字是不包括我剛才說的六千字
[00:03:02.340 --> 00:03:05.380]  這個是在說大衛迎接約櫃
[00:03:05.380 --> 00:03:06.700]  等一下,上一頁才行
[00:03:06.700 --> 00:03:07.220]  不可以太快
[00:03:07.220 --> 00:03:08.780]  你等到那裡再看
[00:03:08.780 --> 00:03:13.340]  是在說大衛迎接約櫃的事件
