
[00:00:00.000 --> 00:00:04.800]  教會的年度主題就是約書亞記
[00:00:04.800 --> 00:00:07.300]  其實在過去兩個月都已經說了
[00:00:07.300 --> 00:00:08.600]  今天是第三次
[00:00:08.600 --> 00:00:10.500]  我們先回顧一下
[00:00:10.500 --> 00:00:13.600]  不知道大家記不記得之前說了些什麼
[00:00:13.600 --> 00:00:16.500]  首先我們看看在一月份的時候
[00:00:16.500 --> 00:00:20.300]  Forence傳道分享的就是第一章
[00:00:20.300 --> 00:00:23.300]  約書亞如何接過摩西的棒
[00:00:23.300 --> 00:00:26.000]  成為以色列民的領袖
[00:00:26.000 --> 00:00:28.600]  並且帶領他們準備結束了
[00:00:28.600 --> 00:00:33.000]  結束多年他們在曠野裡漂流的生活
[00:00:33.000 --> 00:00:37.000]  正式準備進入英許地 加拿美地
[00:00:37.000 --> 00:00:40.300]  面對即將要帶來的戰爭
[00:00:40.300 --> 00:00:44.000]  神不斷提醒和鼓勵約書亞
[00:00:44.000 --> 00:00:46.000]  在約書亞一章九節的時候
[00:00:46.000 --> 00:00:47.800]  耶和華鼓勵約書亞
[00:00:47.800 --> 00:00:49.900]  祂說:你當剛強壯膽
[00:00:49.900 --> 00:00:52.200]  不要懼怕 也不要驚慌
[00:00:52.200 --> 00:00:53.900]  因為你無論往哪裡去
[00:00:53.900 --> 00:00:57.000]  耶和華你的神都必與你同在
[00:00:57.000 --> 00:01:00.400]  上個月Adrian傳道跟我們說
[00:01:00.400 --> 00:01:03.900]  約書亞準備進入迦南地之前
[00:01:03.900 --> 00:01:07.300]  他派了兩個探子到耶利哥城
[00:01:07.300 --> 00:01:10.400]  在那裡他遇上了妓女拉合
[00:01:10.400 --> 00:01:15.100]  這個愛邦的女子因為敬畏和相信耶和華
[00:01:15.100 --> 00:01:19.500]  她願意去冒險和保護那兩個探子
[00:01:19.500 --> 00:01:22.800]  她幫助他們逃離危險
[00:01:22.800 --> 00:01:27.900]  結果為她和她的家人帶來了日後的拯救
[00:01:27.900 --> 00:01:29.700]  而到了今天的經文
[00:01:29.700 --> 00:01:32.500]  就是約書亞將要帶領以色列人
[00:01:32.500 --> 00:01:36.100]  去出兵攻打耶利哥城之前的那一刻
[00:01:36.100 --> 00:01:40.400]  在這一場如此艱鉅和關鍵的戰爭之前
[00:01:40.400 --> 00:01:44.100]  神如何去預備約書亞的心呢?
[00:01:44.100 --> 00:01:48.600]  我們今天一起看的經文就是約書亞記的五章
[00:01:48.600 --> 00:01:50.200]  十三至十五節
[00:01:50.200 --> 00:01:53.900]  我們不如先一起讀出經文,好嗎?
[00:01:53.900 --> 00:01:56.300]  我們準備,1,2,3
[00:01:56.300 --> 00:01:59.400]  約書亞靠近耶利哥的時候
[00:01:59.400 --> 00:02:00.800]  舉目觀看
[00:02:00.800 --> 00:02:04.200]  看啊,有一個人站在他對面
[00:02:04.200 --> 00:02:06.800]  手裡拿著拔出來的刀
[00:02:06.800 --> 00:02:08.900]  約書亞到他那裡
[00:02:08.900 --> 00:02:11.600]  對他說:你是屬於我們的
[00:02:11.600 --> 00:02:14.300]  還是屬於我們敵人的呢?
[00:02:14.300 --> 00:02:16.900]  他說:不
[00:02:16.900 --> 00:02:21.300]  我現在來是要作耶和華軍隊的元帥
[00:02:21.300 --> 00:02:24.100]  約書亞就面服於地下拜
[00:02:24.100 --> 00:02:28.800]  說:我主有什麼話請吩咐僕人吧
[00:02:28.800 --> 00:02:32.700]  耶和華軍隊的元帥對約書亞說
[00:02:32.700 --> 00:02:35.300]  把你腳上的鞋脫下來
[00:02:35.300 --> 00:02:38.800]  因為你所站的地方是聖的
[00:02:38.800 --> 00:02:41.300]  約書亞就照著做了
[00:02:41.300 --> 00:02:44.100]  我們先一起去禱告吧
[00:02:44.100 --> 00:02:48.800]  真是天父,我們懷著謙卑和感恩的心來到您的面前
[00:02:48.800 --> 00:02:52.200]  求您在此時此刻與我們同在
[00:02:52.200 --> 00:02:54.400]  求您開啟我們的耳朵和心靈
[00:02:54.400 --> 00:02:56.700]  使我們能夠聽到您的話語
[00:02:56.700 --> 00:02:58.300]  領受您的旨意
[00:02:58.300 --> 00:03:00.600]  也願聖靈引導這個訊息
[00:03:00.600 --> 00:03:04.000]  讓我們得著提醒和安慰
[00:03:04.000 --> 00:03:05.600]  求主親自帶領
[00:03:05.600 --> 00:03:10.700]  以上禱告,奉主耶穌基督得聖名自祈求,阿們
[00:03:10.700 --> 00:03:15.500]  今天說到他們將要攻打耶利哥
[00:03:15.500 --> 00:03:19.600]  大家知不知道他們現在身處什麼地方?
[00:03:19.600 --> 00:03:21.100]  應該都不知道
[00:03:21.100 --> 00:03:23.900]  我們可以看看,經文告訴我們
[00:03:23.900 --> 00:03:26.300]  其實他們已經過了
[00:03:26.300 --> 00:03:28.300]  中間藍色那條就是約旦河
[00:03:28.300 --> 00:03:30.200]  他們已經過了約旦河
[00:03:30.200 --> 00:03:33.500]  現在其實他們在一個平原裏面
[00:03:33.500 --> 00:03:37.500]  在耶利哥附近有一個吉甲的平原宅營
[00:03:37.500 --> 00:03:41.800]  換句話說,其實耶利哥就在他們附近
[00:03:41.800 --> 00:03:45.400]  也就是說,他們將要進入迦南之前
[00:03:45.400 --> 00:03:47.300]  要面對的第一個挑戰
[00:03:47.300 --> 00:03:50.100]  其實就是去附近
[00:03:50.100 --> 00:03:51.700]  大家有沒有想過
[00:03:51.700 --> 00:03:54.400]  其實約書亞眼前的耶利哥
[00:03:54.400 --> 00:03:57.400]  其實是一個怎樣的城市呢?
[00:03:57.400 --> 00:04:00.100]  我們先介紹一下耶利哥
[00:04:00.100 --> 00:04:05.100]  其實耶利哥身處在約旦河西岸的一個古城
[00:04:05.100 --> 00:04:09.800]  而它是擁有一個很重要的戰略位置
[00:04:09.800 --> 00:04:13.400]  因為它是守住了一個主要的通道
[00:04:13.400 --> 00:04:15.700]  而這個通道就是可以讓人
[00:04:15.700 --> 00:04:23.300]  由約旦河谷通過中間山地上的幾條主要通道
[00:04:23.300 --> 00:04:26.600]  他們就可以進入迦南地了
[00:04:26.600 --> 00:04:30.100]  所以耶利哥在他們進入迦南地之前
[00:04:30.100 --> 00:04:35.200]  一定要攻破,也是一定要跨過的一關
[00:04:35.200 --> 00:04:39.200]  還有,耶利哥最出名是它堅固的城牆
[00:04:39.200 --> 00:04:41.900]  其實在聖經和一些歷史都提到
[00:04:41.900 --> 00:04:46.300]  其實耶利哥是有兩重的石牆去保護住的
[00:04:46.300 --> 00:04:49.500]  又高又厚,是極其堅固的
[00:04:49.500 --> 00:04:51.300]  大家可以想像一下
[00:04:51.300 --> 00:04:53.300]  在這段經文裏面
[00:04:53.300 --> 00:04:58.500]  約書亞就是站在耶利哥平原的附近
[00:04:58.500 --> 00:05:04.100]  他面對著這座被高牆環繞的城池
[00:05:04.100 --> 00:05:07.300]  而這座城池正正就是以色列人
[00:05:07.300 --> 00:05:12.500]  他要進入迦南地之前必定要攻破的目標
[00:05:12.500 --> 00:05:14.400]  所以我們可以想像
[00:05:14.400 --> 00:05:20.100]  約書亞的內心此刻應該不斷在思考一個問題
[00:05:20.100 --> 00:05:22.000]  大家猜到是什麼嗎?
[00:05:22.000 --> 00:05:29.100]  到底我要怎樣才可以攻打耶利哥這個堅固的城牆呢?
[00:05:29.100 --> 00:05:30.800]  對一個領袖來說
[00:05:30.800 --> 00:05:33.300]  要帶領軍隊去進攻
[00:05:33.300 --> 00:05:36.500]  本身已經不是一件容易的事
[00:05:36.500 --> 00:05:38.700]  而且約書亞要面對的
[00:05:38.700 --> 00:05:41.900]  不單止是眼前這個又高又厚
[00:05:41.900 --> 00:05:44.300]  難以攻破的城牆
[00:05:44.300 --> 00:05:48.700]  其實他還有很多內在的壓力和掙扎
[00:05:48.700 --> 00:05:54.200]  首先他要接過一個很偉大的領袖摩西的坦
[00:05:54.200 --> 00:05:57.500]  他第一次成為以色列的領袖
[00:05:57.500 --> 00:06:01.800]  以色列人會不會真心聽從他呢?
[00:06:01.800 --> 00:06:05.700]  再去以色列人過往的經驗告訴我們
[00:06:05.700 --> 00:06:09.500]  他們對神的信心其實隨時都會動搖的
[00:06:09.500 --> 00:06:12.100]  遇到困難他們就會埋怨
[00:06:12.100 --> 00:06:15.000]  如果當他們見到眼前的耶利哥
[00:06:15.000 --> 00:06:17.500]  這個這麼堅固的城牆的時候
[00:06:17.500 --> 00:06:23.500]  他們會不會再一次失去信心呢?
[00:06:23.500 --> 00:06:28.900]  而且他們還有一個很現實要面對的問題
[00:06:28.900 --> 00:06:30.200]  因為在5章1節
[00:06:30.200 --> 00:06:31.900]  5章2節開始
[00:06:31.900 --> 00:06:33.800]  神吩咐摩西
[00:06:33.800 --> 00:06:37.400]  要為在曠野出生的這一代的以色列男丁
[00:06:37.400 --> 00:06:38.900]  去行國禮
[00:06:38.900 --> 00:06:40.800]  我相信大家都知道什麼是國禮
[00:06:40.800 --> 00:06:44.300]  特別是弟兄應該更加能夠想像得到
[00:06:44.300 --> 00:06:46.500]  剛剛行完國禮的
[00:06:46.500 --> 00:06:49.200]  戰鬥力應該幾乎是零
[00:06:49.200 --> 00:06:52.500]  還需要一段時間才能夠康復
[00:06:52.500 --> 00:06:54.200]  換句話來說
[00:06:54.200 --> 00:06:58.300]  約書亞其實要帶著一群剛剛行完國禮
[00:06:58.300 --> 00:07:00.300]  身體根本未恢復的男丁
[00:07:00.300 --> 00:07:05.200]  去打一座有雙重城牆保護的堅固城池
[00:07:05.200 --> 00:07:06.700]  弟兄姊妹
[00:07:06.700 --> 00:07:08.700]  如果你是約書亞
[00:07:08.700 --> 00:07:11.700]  面對這麼多這麼多不利的條件
[00:07:11.700 --> 00:07:14.200]  你有什麼想法?
[00:07:14.200 --> 00:07:16.500]  第一次正式做領袖
[00:07:16.500 --> 00:07:20.800]  第一次以領袖的身份去打這場仗
[00:07:20.800 --> 00:07:23.700]  第一場仗就已經這麼艱難
[00:07:23.700 --> 00:07:27.400]  還要你的隊友在這樣的狀態
[00:07:27.400 --> 00:07:29.200]  你會不會都在想
[00:07:29.200 --> 00:07:31.100]  不如遲一點吧
[00:07:31.100 --> 00:07:33.600]  我們是不是選錯了日子?
[00:07:33.600 --> 00:07:36.400]  不如我們暫時不要打了
[00:07:36.400 --> 00:07:38.900]  我相信約書亞的內心
[00:07:38.900 --> 00:07:42.000]  其實正正就是被這些內憂外患
[00:07:42.000 --> 00:07:47.000]  讓他滿腦子都在擔憂和苦惱的裡面
[00:07:47.000 --> 00:07:50.900]  因為似乎眼前暫時未看到任何出路
[00:07:50.900 --> 00:07:53.900]  也未有任何的方法
[00:07:53.900 --> 00:07:57.500]  正正在約書亞這個最苦惱的時刻
[00:07:57.500 --> 00:08:00.800]  我們經民用了一個很細緻的方法
[00:08:00.800 --> 00:08:04.200]  去描述接下來將要發生的事
[00:08:04.200 --> 00:08:09.000]  他好像想帶我們進入約書亞的視角一樣
[00:08:09.000 --> 00:08:13.100]  因為經民用了「約書亞舉目觀看」
[00:08:13.100 --> 00:08:15.400]  接著還有一個很重要的轉接詞
[00:08:15.400 --> 00:08:17.900]  就是用「Honor, Behold」這個原文
[00:08:17.900 --> 00:08:21.300]  其實每一次在聖經裡面出現這個詞的時候
[00:08:21.300 --> 00:08:23.700]  都是在提醒我們「停一停低」
[00:08:23.700 --> 00:08:27.100]  因為接著將有一件很重要
[00:08:27.100 --> 00:08:31.500]  甚至令人覺得很震驚的事會發生
[00:08:31.500 --> 00:08:36.200]  作者要我們用約書亞的眼光
[00:08:36.200 --> 00:08:38.800]  去看現在這一刻
[00:08:38.800 --> 00:08:44.000]  也是可以看到他內心掙扎的最關鍵的時刻
[00:08:44.000 --> 00:08:46.800]  其實在耶路撒冷城牆前面
[00:08:46.800 --> 00:08:50.600]  約書亞突然間看到一個男人站在他前面
[00:08:50.600 --> 00:08:54.500]  那個男人手裡拿著一把拔出來的刀
[00:08:54.500 --> 00:08:56.700]  其實刀的原文是劍
[00:08:56.700 --> 00:08:59.500]  正在和他對峙
[00:08:59.500 --> 00:09:04.800]  大家知不知道拔出來的劍代表了什麼?
[00:09:04.800 --> 00:09:08.200]  其實劍是用來打仗的武器
[00:09:08.200 --> 00:09:13.800]  還要是一種埋身作戰的象徵
[00:09:13.800 --> 00:09:19.300]  而且劍的出現幾乎全部都是和戰爭有關
[00:09:19.300 --> 00:09:23.300]  就是說約書亞眼前出現的人
[00:09:23.300 --> 00:09:29.900]  他已經準備好隨時和你埋身作戰的準備
