
[00:00:00.000 --> 00:00:02.960]  我不知道剛才敬拜裡面你有什麼體會
[00:00:02.960 --> 00:00:04.160]  我其中有一個體會
[00:00:04.160 --> 00:00:05.360]  或者我很被提醒
[00:00:05.360 --> 00:00:06.880]  或者我很認同
[00:00:06.880 --> 00:00:08.080]  剛才Brian說
[00:00:08.080 --> 00:00:09.680]  是的
[00:00:09.680 --> 00:00:13.920]  上帝不是一定按我們期望去回應我們的
[00:00:13.920 --> 00:00:15.440]  我們有很多想望
[00:00:15.440 --> 00:00:17.120]  但不一定按我們期望
[00:00:17.120 --> 00:00:19.840]  不過如果我們將人生交給他的時候
[00:00:19.840 --> 00:00:22.240]  我們真的可以經歷到
[00:00:22.240 --> 00:00:24.720]  從上帝而來的很多恩典
[00:00:24.720 --> 00:00:26.640]  經歷到從他而來的力量
[00:00:26.640 --> 00:00:27.920]  去面對很多挑戰
[00:00:27.920 --> 00:00:28.720]  面對很多困難
[00:00:28.720 --> 00:00:30.160]  這是很真實的
[00:00:30.160 --> 00:00:33.440]  所以有上帝的生命真的很棒
[00:00:33.440 --> 00:00:35.120]  鼓勵你跟旁邊的人說
[00:00:35.120 --> 00:00:37.600]  哇!上帝很棒
[00:00:37.600 --> 00:00:40.240]  哈哈哈哈
[00:00:40.240 --> 00:00:41.680]  不是你旁邊的人很棒
[00:00:41.680 --> 00:00:44.560]  哈哈哈哈
[00:00:44.560 --> 00:00:45.680]  旁邊的人也很棒
[00:00:45.680 --> 00:00:47.920]  剛才說
[00:00:47.920 --> 00:00:50.160]  OK
[00:00:50.160 --> 00:00:52.480]  高一點
[00:00:52.480 --> 00:00:52.960]  好
[00:00:52.960 --> 00:00:55.920]  進入今天的講道
[00:00:55.920 --> 00:00:57.600]  不知道大家有沒有印象
[00:00:57.600 --> 00:00:59.280]  Billy傳道也好
[00:00:59.280 --> 00:01:00.080]  房牧師也好
[00:01:00.080 --> 00:01:01.680]  我應該提過兩次
[00:01:01.680 --> 00:01:04.320]  其實9月開始
[00:01:04.320 --> 00:01:07.680]  新一年標籤崇拜有一個新的主題
[00:01:07.680 --> 00:01:09.920]  就是展現上帝的國
[00:01:09.920 --> 00:01:12.160]  成為基督的精兵
[00:01:12.160 --> 00:01:14.160]  我希望接下來這一年
[00:01:14.160 --> 00:01:15.520]  裝備好大家
