
[00:00:00.000 --> 00:00:03.000]  今天最後唱一首詩歌,最好的福氣
[00:00:03.000 --> 00:00:07.000]  我覺得很貼近我今天想講的主題
[00:00:07.000 --> 00:00:10.000]  因為它講到
[00:00:10.000 --> 00:00:14.000]  我們清早到晚上,我們應該不停地去感恩
[00:00:14.000 --> 00:00:17.000]  我們真的要學感恩
[00:00:17.000 --> 00:00:19.000]  在聽這邊到之前
[00:00:19.000 --> 00:00:25.000]  你嘗試先自己在座位裡面靜默想一想
[00:00:25.000 --> 00:00:29.000]  你今年有什麼事可以發出感恩呢?
[00:00:29.000 --> 00:00:41.000]  對我來說,第一件可以感恩的事就是
[00:00:41.000 --> 00:00:43.000]  我是一個三高人士
[00:00:43.000 --> 00:00:47.000]  我每次覆診,看醫生都要四五千元找數
[00:00:47.000 --> 00:00:50.000]  然而在我臨退休前
[00:00:50.000 --> 00:00:55.000]  我終於按了H.A.高,我可以看
[00:00:55.000 --> 00:00:59.000]  以後我五十元看一次醫生
[00:00:59.000 --> 00:01:02.000]  就可以拿到以前四千多元的藥
[00:01:02.000 --> 00:01:07.000]  對一個臨退休的人來說,是不是很大的感恩呢?
[00:01:07.000 --> 00:01:11.000]  臨退休前,又找到一個地方
[00:01:11.000 --> 00:01:14.000]  可以幫我安心地
[00:01:14.000 --> 00:01:18.000]  他幫我口裡缺了兩隻牙
[00:01:18.000 --> 00:01:19.000]  他幫我種了牙
[00:01:19.000 --> 00:01:22.000]  上個星期就把牙都種好了
[00:01:22.000 --> 00:01:27.000]  剛剛好已經適應了一個新的
[00:01:27.000 --> 00:01:29.000]  不是叫做客人
[00:01:29.000 --> 00:01:32.000]  新的入住我的口裡的
[00:01:32.000 --> 00:01:35.000]  不是叫做客人,應該怎麼說呢?
[00:01:35.000 --> 00:01:36.000]  是住客
[00:01:36.000 --> 00:01:38.000]  我適應了他
[00:01:38.000 --> 00:01:41.000]  你說是不是一份感恩呢?
[00:01:41.000 --> 00:01:45.000]  其實從早到晚,如果你懂得感恩
[00:01:45.000 --> 00:01:47.000]  其實這份已經是福氣
[00:01:47.000 --> 00:01:50.000]  第二,在這段經文裡
[00:01:50.000 --> 00:01:52.000]  如果我們真的去依靠神
[00:01:52.000 --> 00:01:55.000]  能夠經歷到那一陣的恩典的豐富
[00:01:55.000 --> 00:01:58.000]  你的生命可以告訴你
[00:01:58.000 --> 00:02:01.000]  是無窮無盡
[00:02:01.000 --> 00:02:04.000]  這裡我相信有很多是唱歌的
[00:02:04.000 --> 00:02:05.000]  是敬拜隊
[00:02:05.000 --> 00:02:10.000]  當你懂得用口去敬拜神的時候
[00:02:10.000 --> 00:02:14.000]  你是比別人能夠更加精靈的
[00:02:14.000 --> 00:02:16.000]  所以他們的頭一粒大力一點
[00:02:16.000 --> 00:02:18.000]  我就知道誰是敬拜隊
[00:02:18.000 --> 00:02:23.000]  第三,全然要去投靠他
[00:02:23.000 --> 00:02:26.000]  在信和易裡面,你能不能夠這樣做到呢?
[00:02:26.000 --> 00:02:32.000]  這個就真的考驗我們對上帝那份信靠
[00:02:32.000 --> 00:02:36.000]  還有你能不能夠覓到在神那裡的福氣
[00:02:36.000 --> 00:02:42.000]  今天是2024年最後一個星期六的主日
[00:02:42.000 --> 00:02:47.000]  接下來下一次就會是2025年的第一個主日
[00:02:47.000 --> 00:02:52.000]  在這裡先祝福大家
[00:02:52.000 --> 00:02:54.000]  期望你們能夠在新的一年
[00:02:54.000 --> 00:02:58.000]  在主裡面覓到真正的福氣
[00:02:58.000 --> 00:03:04.000]  在講道之先,我也想先跟大家有個祈禱
[00:03:04.000 --> 00:03:05.000]  交給神
[00:03:05.000 --> 00:03:08.000]  慈悲仁愛的天父來到你的面前
[00:03:08.000 --> 00:03:10.000]  我們其實沒有一個人可以誇
[00:03:10.000 --> 00:03:14.000]  能夠誇的是,好像剛才的詩歌裡
[00:03:14.000 --> 00:03:16.000]  是因為我們認識你,我們投靠你
[00:03:16.000 --> 00:03:20.000]  我們接受了你成為救主之後
[00:03:20.000 --> 00:03:22.000]  我們才可以誇成
[00:03:22.000 --> 00:03:25.000]  今天我們在你面前的時候
[00:03:25.000 --> 00:03:28.000]  求的是主你高沒孩子的口
[00:03:28.000 --> 00:03:31.000]  讓孩子能夠將上帝你的恩賢
[00:03:31.000 --> 00:03:34.000]  跟眾弟兄姊妹分享
[00:03:34.000 --> 00:03:38.000]  彼此能夠得著從上帝你而來的好處
[00:03:38.000 --> 00:03:40.000]  求你恩待我們眾人
[00:03:40.000 --> 00:03:42.000]  多謝主你聽我們的祈禱
[00:03:42.000 --> 00:03:44.000]  奉耶穌基督的名字
[00:03:44.000 --> 00:03:46.000]  阿門
[00:03:46.000 --> 00:03:48.000]  講到福氣的時候
[00:03:48.000 --> 00:03:54.000]  傳統上,中國人對福氣的觀念是怎樣的
[00:03:54.000 --> 00:03:56.000]  長壽
[00:03:56.000 --> 00:03:58.000]  其實現在香港人來說
[00:03:58.000 --> 00:04:02.000]  在全世界長壽都排一個很高的位置
[00:04:02.000 --> 00:04:04.000]  富貴
[00:04:04.000 --> 00:04:08.000]  富貴真是每個人心裡面都不同
[00:04:08.000 --> 00:04:11.000]  多少才算是富貴呢
[00:04:11.000 --> 00:04:12.000]  康寧
[00:04:12.000 --> 00:04:15.000]  身心能夠有一份寧靜
[00:04:15.000 --> 00:04:16.000]  好德
[00:04:16.000 --> 00:04:17.000]  換句話說
[00:04:17.000 --> 00:04:20.000]  你是否能夠像聖靈所結的果子一樣
[00:04:20.000 --> 00:04:22.000]  能夠有這些德行
[00:04:22.000 --> 00:04:24.000]  還有就是善終
