
[00:00:00.000 --> 00:00:03.720]  我不知道你小時候有沒有試過
[00:00:03.720 --> 00:00:06.720]  如果你有兄弟姐妹或同學
[00:00:06.720 --> 00:00:08.720]  你隔壁那個被罰的時候
[00:00:08.720 --> 00:00:10.720]  你有什麼反應呢?
[00:00:10.720 --> 00:00:17.320]  我的家庭是藤條炆豬肉是常菜
[00:00:17.320 --> 00:00:18.320]  那又怎樣呢?
[00:00:18.320 --> 00:00:21.120]  我有一個哥哥
[00:00:21.120 --> 00:00:23.720]  通常罰就是罰我哥哥
[00:00:23.720 --> 00:00:27.120]  我看到有人被罰的時候
[00:00:27.120 --> 00:00:31.520]  立刻改變我的言語行為、表現
[00:00:31.520 --> 00:00:34.520]  很多時候都逃過大難
[00:00:34.520 --> 00:00:39.520]  但如果你看到隔壁的同學或兄弟姐妹被罰的時候
[00:00:39.520 --> 00:00:41.720]  發覺原來不關你的事
[00:00:41.720 --> 00:00:42.920]  那你會怎樣呢?
[00:00:42.920 --> 00:00:44.720]  你會不會拍手掌就好了
[00:00:44.720 --> 00:00:46.320]  輪到你了
[00:00:46.320 --> 00:00:47.920]  我相信你不會
[00:00:47.920 --> 00:00:51.520]  你可能都希望幫他
[00:00:51.520 --> 00:00:52.320]  對不對?
[00:00:52.320 --> 00:00:57.120]  或者如果我們今天用基督教
[00:00:57.120 --> 00:00:58.320]  或者在我們信仰裡面
[00:00:58.320 --> 00:01:00.720]  我們都會為他祈禱的
[00:01:00.720 --> 00:01:01.920]  同意嗎?
[00:01:01.920 --> 00:01:03.520]  我想問大家
[00:01:03.520 --> 00:01:05.520]  我不知道很多人
[00:01:05.520 --> 00:01:07.520]  起碼我自己認為
[00:01:07.520 --> 00:01:10.120]  疫情是神的審判
[00:01:10.120 --> 00:01:12.720]  其實在神的審判裡面
[00:01:12.720 --> 00:01:15.120]  我們應該怎樣回應呢?
[00:01:15.120 --> 00:01:19.720]  我們有沒有為了疫情來祈禱呢?
[00:01:19.720 --> 00:01:23.720]  或者我們有沒有問我們可以做些什麼呢?
[00:01:23.720 --> 00:01:27.120]  所以今天想跟大家思想
[00:01:27.120 --> 00:01:29.320]  藉著以利亞的故事
[00:01:29.320 --> 00:01:31.720]  但我還沒說以利亞之前
[00:01:31.720 --> 00:01:33.720]  想介紹一下以利亞
[00:01:33.720 --> 00:01:36.320]  你會說以利亞用不著你介紹
[00:01:36.320 --> 00:01:37.520]  我們每個人都認識
[00:01:37.520 --> 00:01:38.720]  不是
[00:01:38.720 --> 00:01:42.920]  以利亞在舊約裡面是非常非常獨特的
[00:01:42.920 --> 00:01:43.720]  為什麼呢?
[00:01:43.720 --> 00:01:45.720]  我們新約的時候
[00:01:45.720 --> 00:01:49.720]  只是提摩西和以利亞
[00:01:49.720 --> 00:01:51.920]  其他先知都沒什麼說的
[00:01:51.920 --> 00:01:52.520]  是不是?
[00:01:52.520 --> 00:01:55.520]  所以以利亞是以色列人裡面
[00:01:55.520 --> 00:01:57.520]  首屈一指的先知
[00:01:57.520 --> 00:02:01.320]  沒有人能夠比得上以利亞
[00:02:01.320 --> 00:02:05.720]  就等於摩西的身份是非常非常獨特
[00:02:05.720 --> 00:02:07.720]  今天想跟大家來看
[00:02:07.720 --> 00:02:12.320]  在神審判的世代裡面的因典和伏事
[00:02:12.320 --> 00:02:15.520]  一照七節分三點跟大家看
[00:02:15.520 --> 00:02:19.120]  第一點就是伏事不信的世代
[00:02:19.120 --> 00:02:21.320]  就是用一節來看
[00:02:21.320 --> 00:02:23.920]  然後審判裡面
[00:02:23.920 --> 00:02:26.320]  神的保護和因典
[00:02:26.320 --> 00:02:28.520]  用烏鴉供養以利亞
[00:02:28.520 --> 00:02:29.720]  如果大家熟悉英文
[00:02:29.720 --> 00:02:33.720]  第三點就是隱藏的伏事
[00:02:33.720 --> 00:02:36.920]  就是以利亞的祈禱
[00:02:36.920 --> 00:02:43.120]  十七章一節是說提比斯人以利亞
