
[00:00:00.000 --> 00:00:04.000]  我剛才敬拜一開始
[00:00:04.000 --> 00:00:08.000]  之前一個小時已經來到這個場地
[00:00:08.000 --> 00:00:13.000]  已經看到我們的童工隊、敬拜隊和AB
[00:00:13.000 --> 00:00:16.000]  已經很勤力地在練歌
[00:00:16.000 --> 00:00:20.000]  所以我們都特別欣賞他們在我們當中的服侍
[00:00:20.000 --> 00:00:22.000]  各位頂尖姐妹
[00:00:22.000 --> 00:00:26.000]  我很開心可以回到標青
[00:00:26.000 --> 00:00:28.000]  來到港島
[00:00:28.000 --> 00:00:33.000]  特別感謝大衛牧師和標青童工的邀請
[00:00:33.000 --> 00:00:35.000]  我回到港島後很有親切感
[00:00:35.000 --> 00:00:40.000]  雖然今天我在場看不到很多頂尖姐妹
[00:00:40.000 --> 00:00:42.000]  但看到一群童工
[00:00:42.000 --> 00:00:46.000]  我真的覺得自己是一份子
[00:00:46.000 --> 00:00:49.000]  這是很大的恩典
[00:00:49.000 --> 00:00:51.000]  今天我這個題目
[00:00:51.000 --> 00:00:54.000]  從意象到使命
[00:00:54.000 --> 00:01:01.000]  其實這個想法在幾個月已經彈了出來
[00:01:01.000 --> 00:01:03.000]  因為過去一段時間
[00:01:03.000 --> 00:01:07.000]  我一直和標青你們一同去敬拜
[00:01:07.000 --> 00:01:10.000]  我一直跟隨你們的訊息
[00:01:10.000 --> 00:01:14.000]  一直在講傳福音
[00:01:14.000 --> 00:01:17.000]  又有使命小組
[00:01:17.000 --> 00:01:19.000]  我們很多時候唱詩歌
[00:01:19.000 --> 00:01:21.000]  我們都說尋求意象
[00:01:21.000 --> 00:01:23.000]  所有這些東西加在一起
[00:01:23.000 --> 00:01:28.000]  令我當要和頂尖姐妹分享一些訊息的時候
[00:01:28.000 --> 00:01:30.000]  到底我可以說些什麼
[00:01:30.000 --> 00:01:36.000]  我就很自然地在內心出了這個訊息
[00:01:36.000 --> 00:01:41.000]  所以在這裡先和大家去看這段經文
[00:01:41.000 --> 00:01:46.000]  《士徒行傳》第九章一至十九節
[00:01:46.000 --> 00:01:50.000]  這段經文其實在很多人看
[00:01:50.000 --> 00:01:53.000]  其實是一段很重要的聖經
[00:01:53.000 --> 00:01:59.000]  甚至有人說是新約聖經裡第二大的事件
[00:01:59.000 --> 00:02:02.000]  有什麼事件這麼重要?
[00:02:02.000 --> 00:02:07.000]  原來這段經文是在講使徒保羅生命的改變
[00:02:07.000 --> 00:02:09.000]  第一大事件是什麼呢?
[00:02:09.000 --> 00:02:13.000]  當然就是我們的主耶穌基督從死裡復活
[00:02:13.000 --> 00:02:16.000]  這是新約聖經最大的事件
[00:02:16.000 --> 00:02:20.000]  所以很多人說這件保羅生命改變
[00:02:20.000 --> 00:02:24.000]  可以算得上是第二大的事件
[00:02:24.000 --> 00:02:26.000]  因為一個這麼重要的使徒
[00:02:26.000 --> 00:02:29.000]  他生命以前是逼白主的
[00:02:29.000 --> 00:02:31.000]  但是現在改變過來
[00:02:31.000 --> 00:02:34.000]  他要去傳揚主的福音
[00:02:34.000 --> 00:02:36.000]  這個改變對於基督教
[00:02:36.000 --> 00:02:41.000]  對於教會來說是超級重要
[00:02:41.000 --> 00:02:43.000]  我們儘管來看
[00:02:43.000 --> 00:02:45.000]  他是如何領受意象的呢?
[00:02:45.000 --> 00:02:47.000]  他是如何履行使命的呢?
[00:02:47.000 --> 00:02:50.000]  並且我們作為弟兄姊妹
[00:02:50.000 --> 00:02:55.000]  我們又可以從中學習到什麼呢?
[00:02:55.000 --> 00:02:58.000]  來尋求意象和活出使命
[00:02:58.000 --> 00:03:02.000]  我讀出這段聖經
[00:03:02.000 --> 00:03:07.000]  《使徒行傳》九章一至十九
[00:03:07.000 --> 00:03:10.000]  「蘇羅仍然向主的門徒
[00:03:10.000 --> 00:03:13.000]  口吐威嚇、兇殺的話
[00:03:13.000 --> 00:03:15.000]  去見大祭司
[00:03:15.000 --> 00:03:18.000]  求文書及大馬士革的各會堂
[00:03:18.000 --> 00:03:21.000]  若是找著信奉這道的人
[00:03:21.000 --> 00:03:26.000]  無論男女都准他捆綁帶到耶路撒冷
