
[00:00:00.000 --> 00:00:12.000]  聽眾: 各位同學,每次聽到年青人分享他們的見證都很被激勵。
[00:00:12.000 --> 00:00:17.000]  因為聽到他們很單純的信心,就是這樣去跟從神,
[00:00:17.000 --> 00:00:24.000]  還有很多反思,我們人長大了,經驗多了,忙了,
[00:00:24.000 --> 00:00:32.000]  反而會少了時間去反思,看看神在我們生命中在做什麼。
[00:00:32.000 --> 00:00:35.000]  盼望Timothy剛才的見證都激勵我們每一個人,
[00:00:35.000 --> 00:00:40.000]  讓我們知道,真的要時時刻刻地對準神,去求敏神。
[00:00:40.000 --> 00:00:45.000]  我們一起祈禱吧!
[00:00:45.000 --> 00:00:50.000]  天主佛神,我們很感謝祢,感謝祢從來都沒有介意我們,
[00:00:50.000 --> 00:00:56.000]  我們不知道怎樣去回應祢,但祢時時刻刻地愛著我們,護著我們。
[00:00:56.000 --> 00:01:01.000]  求神,祢開過我們去查考祢的話語的時間,
[00:01:01.000 --> 00:01:04.000]  開我們的眼睛,開我們的心,
[00:01:04.000 --> 00:01:09.000]  以致我們知道、學懂,怎樣去倚靠祢,怎樣去真正認識祢。
[00:01:09.000 --> 00:01:14.000]  我們感謝神,祢聽我們的祈禱,我們禱告,開放主耶穌,得勝的命求。阿們。
[00:01:14.000 --> 00:01:22.000]  我今天要講的經文是出自《史圖行傳》第17章第10至15節,
[00:01:22.000 --> 00:01:27.000]  題目是「態度決定我們的高度」。
[00:01:27.000 --> 00:01:30.000]  我相信大家都知道態度是很重要的。
[00:01:30.000 --> 00:01:36.000]  從前有一個男士,他知道要參加一個舊的同學會,
[00:01:36.000 --> 00:01:42.000]  他特意買了一條新褲,打算穿著新褲去參加同學會。
[00:01:42.000 --> 00:01:47.000]  誰知道買的時候發現那條褲子長了一點,長了兩吋左右。
[00:01:47.000 --> 00:01:52.000]  他想想,明天就是要去參加同學會了,趕不及的。
[00:01:52.000 --> 00:01:57.000]  打算回家請老婆幫他,幫他改短就可以了。
[00:01:57.000 --> 00:02:03.000]  誰知道他回家的時候,老婆說,不行,我還有很多家務沒做,
[00:02:03.000 --> 00:02:05.000]  所以幫不了你。
[00:02:05.000 --> 00:02:09.000]  他想,那怎麼辦呢?不如叫個女兒吧。
[00:02:09.000 --> 00:02:14.000]  他跟女兒說,女兒,不如你幫我改褲子吧。
[00:02:14.000 --> 00:02:19.000]  女兒跟爸爸說,不行,我吃完飯約了男朋友出街,
[00:02:19.000 --> 00:02:22.000]  要很晚才回來,應該改不了。
[00:02:22.000 --> 00:02:27.000]  他又有點失望,他又想想,
[00:02:27.000 --> 00:02:31.000]  媽媽,雖然年紀大了,眼睛不太好,
[00:02:31.000 --> 00:02:35.000]  但應該針子仍然OK,因為他沒有辦法。
[00:02:35.000 --> 00:02:41.000]  他跟媽媽說,媽媽,你可不可以幫我改一改褲子呢?
[00:02:41.000 --> 00:02:48.000]  媽媽跟他說,兒子,我今天頭痛,搞不定,
[00:02:48.000 --> 00:02:50.000]  我想我還是幫不了你。
[00:02:50.000 --> 00:02:56.000]  男士就想,沒辦法,改不了就算了,明天再算吧。
[00:02:56.000 --> 00:02:58.000]  就這樣去了睡覺。
[00:02:58.000 --> 00:03:02.000]  誰知道太太做完家務就想想,
[00:03:02.000 --> 00:03:07.000]  老公平時對我很好,難道他叫我幫他改褲子也不幫他改嗎?
[00:03:07.000 --> 00:03:11.000]  明天還是去一個很重要的舊同學會,
[00:03:11.000 --> 00:03:14.000]  他就想幫他改完再睡吧。
[00:03:14.000 --> 00:03:20.000]  太太就幫他改了,改完之後,女兒就回家了。
[00:03:20.000 --> 00:03:25.000]  女兒回家的時候,他就想,
[00:03:25.000 --> 00:03:30.000]  爸爸平時對我很好,我要什麼爸爸就給我什麼,
[00:03:30.000 --> 00:03:32.000]  他經常都很搶我的,
[00:03:32.000 --> 00:03:35.000]  他就想,還是幫爸爸改一改吧。
[00:03:35.000 --> 00:03:39.000]  他就拿起褲子,又改了兩次。
[00:03:39.000 --> 00:03:46.000]  沒多久,媽媽半夜睡不著,又起來了。
[00:03:46.000 --> 00:03:51.000]  我現在頭沒那麼痛了,兒子對我很好,一直都很孝順,
[00:03:51.000 --> 00:03:55.000]  難道不幫他改褲子嗎?明天要見人的。
[00:03:55.000 --> 00:03:59.000]  他又拿起褲子,又改了兩次。
[00:03:59.000 --> 00:04:02.000]  大家都知道,第二天早上起來,
[00:04:02.000 --> 00:04:06.000]  兒子一起來就拿起褲子,
