
[00:00:00.000 --> 00:00:04.880]  跟大家繼續分享以西傑書的信息系列
[00:00:04.880 --> 00:00:07.880]  我要負責的今天這個部分
[00:00:07.880 --> 00:00:11.480]  是由第八章到第十章
[00:00:11.480 --> 00:00:14.360]  所以有三章的經文
[00:00:14.360 --> 00:00:17.600]  請大家為我祈禱
[00:00:17.600 --> 00:00:20.080]  希望我能夠說得清楚
[00:00:20.080 --> 00:00:24.880]  也請大家提起你的精神
[00:00:24.880 --> 00:00:28.080]  否則你一直聽的時候
[00:00:28.080 --> 00:00:30.360]  你就會有很多的異象
[00:00:30.360 --> 00:00:34.920]  不過不是以西傑書的異象
[00:00:34.920 --> 00:00:39.880]  我今天的題目叫做
[00:00:39.880 --> 00:00:42.080]  人的敗落
[00:00:42.080 --> 00:00:44.960]  神的不捨
[00:00:44.960 --> 00:00:46.520]  人的敗落
[00:00:46.520 --> 00:00:47.560]  神的不捨
[00:00:47.560 --> 00:00:51.480]  從這三章的經文裡面
[00:00:51.480 --> 00:00:54.920]  我們看到昔日以色列人
[00:00:54.920 --> 00:00:57.520]  他們的屬靈狀況
[00:00:58.160 --> 00:00:59.880]  似乎是每況愈下
[00:00:59.880 --> 00:01:05.200]  但同時我們看到神對屬祂的子民
[00:01:05.200 --> 00:01:07.320]  那份情心
[00:01:07.320 --> 00:01:10.880]  仍然很希望祂的子民
[00:01:10.880 --> 00:01:13.720]  能夠明白上帝的心意
[00:01:13.720 --> 00:01:15.480]  有回轉的機會
[00:01:15.480 --> 00:01:23.160]  我們首先讀以西傑書第八章
[00:01:23.160 --> 00:01:27.040]  由第五節到第十八節
[00:01:27.040 --> 00:01:30.600]  經文第一章是一節四
[00:01:30.600 --> 00:01:33.160]  第二章是從五節開始
[00:01:33.160 --> 00:01:37.280]  看到的時候我們一起重讀
[00:01:37.280 --> 00:01:39.960]  神對我說
[00:01:39.960 --> 00:01:41.120]  人子啊
[00:01:41.120 --> 00:01:43.440]  你舉目向不觀看
[00:01:43.440 --> 00:01:46.040]  我就舉目向不觀看
[00:01:46.040 --> 00:01:48.240]  見祭壇門的北邊
[00:01:48.240 --> 00:01:51.880]  在門口有這野忌邪的偶像
[00:01:51.880 --> 00:01:53.440]  又對我說
[00:01:53.440 --> 00:01:54.600]  人子啊
[00:01:54.600 --> 00:01:56.480]  以色列家所行的
[00:01:56.480 --> 00:02:00.120]  就是在此行者大可憎的事
[00:02:00.120 --> 00:02:02.840]  使我遠離我的聖所
[00:02:02.840 --> 00:02:04.640]  你看見了嗎?
[00:02:04.640 --> 00:02:08.440]  你還要看見另有大可憎的事
[00:02:08.440 --> 00:02:11.040]  他令我到遠門口
[00:02:11.040 --> 00:02:12.280]  我觀看
[00:02:12.280 --> 00:02:14.800]  見牆上有個窟窿
[00:02:14.800 --> 00:02:16.600]  他對我說
[00:02:16.600 --> 00:02:17.680]  人子啊
[00:02:17.680 --> 00:02:19.200]  你要刮牆
[00:02:19.200 --> 00:02:20.640]  我一刮牆
[00:02:20.640 --> 00:02:22.160]  見有一門
[00:02:22.160 --> 00:02:23.160]  他說
[00:02:23.160 --> 00:02:24.360]  你進去
[00:02:24.360 --> 00:02:28.560]  看他們在這裏所行可憎的惡事
[00:02:28.560 --> 00:02:30.360]  我進去一看
[00:02:30.360 --> 00:02:33.000]  誰知在四面牆上
[00:02:33.000 --> 00:02:36.920]  畫著各樣貧物和可憎的走獸
[00:02:36.920 --> 00:02:40.120]  並以色列家一切的偶像
[00:02:40.120 --> 00:02:42.160]  在這些像前
[00:02:42.160 --> 00:02:45.920]  有以色列家的七十個長老站立
[00:02:45.920 --> 00:02:50.800]  沙發的兒子亞撒尼亞也站在其中
[00:02:50.800 --> 00:02:53.000]  各人手拿香爐
[00:02:53.000 --> 00:02:55.600]  煙氣向氣上騰
[00:02:55.600 --> 00:02:57.040]  他對我說
[00:02:57.040 --> 00:02:58.200]  人子啊
[00:02:58.200 --> 00:03:00.120]  以色列家的長老
[00:03:00.120 --> 00:03:03.880]  暗中在各人畫像屋裏所行的
[00:03:03.880 --> 00:03:05.760]  你看見了嗎?
[00:03:05.760 --> 00:03:07.200]  他們常說
[00:03:07.200 --> 00:03:09.600]  耶和華看不見我們
[00:03:09.600 --> 00:03:12.560]  耶和華已經離棄這地
[00:03:12.560 --> 00:03:13.920]  他又說
[00:03:13.920 --> 00:03:18.720]  你還要看見他們另外恆大可憎的事
[00:03:18.720 --> 00:03:23.800]  他領我到耶和華殿外院朝北的門口
