
[00:00:00.000 --> 00:00:10.000]  今日很想同大家分享一個題目,題目叫信仰豈只是道德教化那麼簡單?
[00:00:10.000 --> 00:00:21.000]  這個題目,我突然想起要講這個題目,就是有一天去預備之前水禮班主日學的時候,突然想起一條問題
[00:00:21.000 --> 00:00:37.000]  我在預備教材的時候,我在想,我信了這個信仰那麼久,當我們經常想起,可能我們從小到大,或者未信主之前或信主之後,可能你或多或少都聽過基督教是些什麼
[00:00:37.000 --> 00:00:51.000]  我想問一下大家,當你想起基督教信仰的時候,你第一眼想起什麼?可能我們想起,我不知道以下會不會是大家想起的東西
[00:00:51.000 --> 00:01:02.000]  可能大家想起的是什麼呢?神愛世人,可能我們會想的是神和我們的關係,可能我們會想的是我們要行在合神心意的事情上
[00:01:02.000 --> 00:01:12.000]  可能我們會想的是我們要做見證,我們要傳福音,我們在不同的場合,我們從小到大,或者你信主之前或信主之後
[00:01:12.000 --> 00:01:29.000]  可能我們在不同的場合都聽到很多這些信仰的概念,或者我們經歷這些信仰,可能我們愛人如己的教義,教條
[00:01:29.000 --> 00:01:36.000]  當我們想起基督教信仰的時候,如果我們要寫的時候,可能我們會寫很多這一堆的東西出來
[00:01:36.000 --> 00:01:45.000]  不過很多時候我們聽信仰的東西,很多時候我們只聽那裡一部分,這裡一部分,這裡一部分,那裡一部分
[00:01:45.000 --> 00:01:53.000]  可能我們有時候會進入一個什麼狀態呢?可能我們出現了一個信仰的割裂期
[00:01:53.000 --> 00:02:02.000]  可能我們聽了很多信仰不同的概念,很多不同的面向,有些情況下我們很經歷神的愛是怎麼樣
[00:02:02.000 --> 00:02:12.000]  有些情況我們看聖經,聖經告訴我們我們要愛人如己,但是很多時候這些東西都一塊塊,好像找不到那個連接是怎麼樣
[00:02:12.000 --> 00:02:21.000]  神愛我們,N年前已經發生的事情,但是同一時間,要在我現在這個時刻,我要去愛旁邊那個的時候
[00:02:21.000 --> 00:02:29.000]  眼睛一直看著旁邊那個,神所正看著旁邊那個,都是很難實踐
[00:02:29.000 --> 00:02:39.000]  當我們說基督教的信仰告訴我們要有永生的盼望,好像很遠,好像都和我不是很有關係
[00:02:39.000 --> 00:02:51.000]  變相我們的信仰是怎麼樣呢?變相好像我們信過去的東西有一部分,然後我們信現在我們作為基督徒要做的一部分
[00:02:51.000 --> 00:03:00.000]  我信將來上帝給我們的盼望有一部分,好像是三塊東西,好像在過程裡面有很多東西很混亂
[00:03:00.000 --> 00:03:09.000]  但實際上當我們面對我們現在的生活的時候,我們會看信仰是什麼呢?好像上帝叫我們做很多東西,我們要去遵守
[00:03:09.000 --> 00:03:16.000]  有很多規條,有很多律法,有很多教化我們要去做,所以我想到這裡的時候,我就會問的是
[00:03:16.000 --> 00:03:24.000]  信仰其實對於現在的我們,其實過去對我們生命有什麼影響?將來對我們生命有什麼影響?
[00:03:24.000 --> 00:03:31.000]  例如我們現在要做愛人如己,受到的律法,其實又有什麼聯繫呢?
[00:03:31.000 --> 00:03:38.000]  今天這個月的月題,其實我已經轉了新的月題,我不知道大家知不知道,就是真理的基礎
[00:03:38.000 --> 00:03:47.000]  我想和大家回到神的話語裡面去看看,其實回到基礎上,我們經常都聽到,我們經常信很多過去、現在、將來
[00:03:47.000 --> 00:03:57.000]  究竟那些東西有什麼聯繫呢?和我們現在有什麼關係呢?今天和大家去看一段經文,是來自提多書的二章十一到十四節
[00:03:57.000 --> 00:04:08.000]  提多書可能大家很少看的,因為可能都看提摩太前後書之類的,說一點點關於提多書的背景,讓大家知道是什麼
[00:04:08.000 --> 00:04:22.000]  提多書其實是保羅書信裡面的一些教學的書信,那時候內容背景是什麼呢?其實是保羅寫給一間叫做格里底教會的領袖提多
[00:04:22.000 --> 00:04:34.000]  其實是勉勵他和一班領袖,怎樣去回應當時教會的問題,是什麼問題呢?其實和很多保羅書信一樣,都是在說假教師的問題
[00:04:34.000 --> 00:04:43.000]  教會裡面的領袖,其實應該怎樣去領袖角色的問題,甚至都是回應一些人信的東西,一些信仰的問題
[00:04:43.000 --> 00:04:55.000]  提多書其實篇幅不多,其實他只有三章,如果你讀經的話,很簡單,很快就看完的了,但是其實他講的東西都很簡單直接的
[00:04:55.000 --> 00:05:01.000]  第一章其實是說保羅已經很單刀直入地去講很多當時教會的很多問題
[00:05:01.000 --> 00:05:18.000]  他重申的是作為教會領袖應該怎樣去做見證,然後在一章的第九節,他鼓勵那班領袖的是你要堅守所教的真實的道理,然後就要去教化人,就要將那些爭辯的人去反駁他們
[00:05:18.000 --> 00:05:34.000]  之後就完了第一章,到了第二章發生什麼事呢?第二章其實我們看的經文頭半部分都是在說很多不同男女老幼應該怎樣去活出他們的信仰,應該有什麼態度
[00:05:34.000 --> 00:05:48.000]  然後到了第二章的第十節,就說阿斯做這些一切的事其實凡事都是證明我們救主神的道,其實他叫他們做了很多這些事,對應什麼呢?
[00:05:48.000 --> 00:06:02.000]  其實當時原來流傳了一個這樣的文化,當時有些人說當你成為基督徒之後,其實不緊要的,你可以走一些舊有的信仰,舊有的生活習慣,其實是沒有問題的
[00:06:02.000 --> 00:06:16.000]  所以保羅想在這裡帶出的是我們應該怎樣去守神想我們走的一些生活方式,然後就是我們今天看的經文,這段經文其實是回到我們信仰的核心
[00:06:16.000 --> 00:06:29.000]  保羅我想提醒那班信徒,你信的是什麼東西?而跟我們走出來其實又有什麼關係呢?我們一起去讀這幾節的經文,是很短的,十一到十四節
[00:06:29.000 --> 00:06:31.000]  準備起
[00:06:31.000 --> 00:07:00.000]  因為上帝救眾人的恩典已經顯明出來,和世俗的事,由今世自首,公義,敬虔度日,等候所盼望的福,並等候至大的上帝和我們救主耶穌基督的榮耀顯現,他為我們捨了自己,要贖我們脫離一切罪惡,又潔淨我們,特作自己的子民。
[00:07:00.000 --> 00:07:02.000]  以心為善
[00:07:02.000 --> 00:07:27.000]  很簡單的幾個經文,你會看到在過程中,保羅很想提到的是什麼呢?原來經文一開始,你會看到一開始有「因為」這兩個字,其實連接著上面的內容,他很想帶出原來剛才第一章第一節到第十節的內容,說到男女老幼要做什麼呢?
[00:07:27.000 --> 00:07:40.000]  其實不是設定出來的規條這麼簡單,是原來是有根有基,是有基礎的,之後就說為什麼我們要這樣走呢?究竟發生了什麼事呢?
[00:07:40.000 --> 00:07:56.000]  很特別的,其實這幾個經文正正包含了我們信仰過去發生的事,現在我們做的事,以及我們怎樣去等待將來的盼望,一會兒我們會慢慢逐一去講解一下究竟發生了什麼事呢?
