
[00:00:00.000 --> 00:00:02.640]  我又自爆系列了
[00:00:02.640 --> 00:00:04.440]  很想和你們分享一下
[00:00:04.440 --> 00:00:07.640]  我之前在職場的一個經歷
[00:00:07.640 --> 00:00:10.520]  我之前做的其中一間公司
[00:00:10.520 --> 00:00:15.440]  每天上午都需要處理不同的投訴
[00:00:15.440 --> 00:00:20.520]  你也知道客人最喜歡說的那句話是什麼
[00:00:20.520 --> 00:00:24.120]  就是叫你的經理來
[00:00:24.120 --> 00:00:28.240]  其實大多數的投訴我們都能處理
[00:00:28.240 --> 00:00:30.720]  都不需要經理去處理
[00:00:30.720 --> 00:00:33.520]  但是到了一些很大的事情的時候
[00:00:33.520 --> 00:00:37.360]  就真的需要找經理去解決
[00:00:37.360 --> 00:00:40.120]  誰知道後來我們發現
[00:00:40.120 --> 00:00:43.000]  明明經理的電話沒有在說
[00:00:43.000 --> 00:00:46.480]  為什麼我們不能把電話電話給他呢
[00:00:46.480 --> 00:00:50.120]  原來因為他不想聽投訴電話
[00:00:50.120 --> 00:00:53.680]  所以他整個上午都把電話電話電話放在電話上
[00:00:53.680 --> 00:00:57.880]  讓我們無法把投訴電話電話打過去
[00:00:57.880 --> 00:00:59.920]  還給我們打眼色
[00:00:59.920 --> 00:01:04.480]  你們自己處理好不要煩我
[00:01:04.480 --> 00:01:06.400]  一段時間之後
[00:01:06.400 --> 00:01:10.800]  很多同事就存了很多怨氣和不滿
[00:01:10.800 --> 00:01:16.920]  如果你是我你們會怎麼做呢
[00:01:16.920 --> 00:01:23.480]  我預見這件事是小事一樁
[00:01:23.480 --> 00:01:28.320]  但是今天我們會看到一件令人髮指的事情
[00:01:28.320 --> 00:01:34.880]  請聽我讀出《馬學福音》15章1至13節的經文
[00:01:34.880 --> 00:01:38.880]  一到清晨那些祭司長和長老
[00:01:38.880 --> 00:01:44.920]  經學家以及公議會全體商量好了
[00:01:44.920 --> 00:01:47.120]  就把耶穌綁起來
[00:01:47.120 --> 00:01:50.040]  押去交給彼拉多
[00:01:50.040 --> 00:01:54.000]  彼拉多問他你是猶太人的王嗎
[00:01:54.000 --> 00:01:57.720]  耶穌回答你自己已經說了
[00:01:57.720 --> 00:02:01.480]  那些祭司長控告了他許多事情
[00:02:01.480 --> 00:02:03.320]  彼拉多又問他
[00:02:03.320 --> 00:02:07.280]  你看他們作證指控你這麼多的事
[00:02:07.280 --> 00:02:10.480]  你真的什麼都不回答嗎
[00:02:10.480 --> 00:02:13.040]  但是耶穌不再回答什麼
[00:02:13.040 --> 00:02:15.640]  令彼拉多很驚訝
[00:02:15.640 --> 00:02:20.200]  每逢這節期彼拉多都會按照眾人的要求
[00:02:20.200 --> 00:02:23.120]  給他們釋放一個囚犯
[00:02:23.120 --> 00:02:28.920]  當時有個叫巴拉巴的人和叛亂分子囚禁在一起
[00:02:28.920 --> 00:02:32.280]  他們叛亂的時候殺過人
[00:02:32.280 --> 00:02:37.520]  群眾上去要求彼拉多按慣例為他們辦理
[00:02:37.520 --> 00:02:39.560]  彼拉多回答他們
[00:02:39.560 --> 00:02:44.960]  你們想要我給你們釋放這個猶太人的王嗎
[00:02:44.960 --> 00:02:48.760]  其實他知道那些祭司長是因為嫉妒
[00:02:48.760 --> 00:02:51.480]  才把耶穌交了來
[00:02:51.480 --> 00:02:54.240]  那些祭司長卻煽動群眾
[00:02:54.240 --> 00:02:58.680]  寧可要彼拉多給他們釋放巴拉巴
[00:02:58.680 --> 00:03:01.080]  彼拉多又對他們說
[00:03:01.080 --> 00:03:04.600]  那麼你們稱為猶太人的王的那人
[00:03:04.600 --> 00:03:08.160]  你們想要我怎樣處置呢
[00:03:08.160 --> 00:03:10.160]  他們就喊著回答
[00:03:10.160 --> 00:03:12.480]  把他釘上十字架
