
[00:00:00.000 --> 00:00:02.560]  今天很想跟大家分享
[00:00:02.560 --> 00:00:03.360]  《神奇話語》
[00:00:03.360 --> 00:00:04.560]  分享這個題目
[00:00:04.560 --> 00:00:07.200]  《復和者聯盟》
[00:00:07.200 --> 00:00:10.320]  這個這麼"娘"的識字
[00:00:10.320 --> 00:00:12.560]  不過我去想
[00:00:12.560 --> 00:00:15.360]  思想《哥林多後書段經文》的時候
[00:00:15.360 --> 00:00:16.840]  的確我也想到
[00:00:16.840 --> 00:00:19.760]  其實好像也想
[00:00:19.760 --> 00:00:20.560]  也想一下
[00:00:20.560 --> 00:00:22.680]  原來我想這個題目的時候
[00:00:22.680 --> 00:00:24.520]  其實也是基於《魔物獵人世界》的戲
[00:00:24.520 --> 00:00:26.920]  不過跟大家說一下
[00:00:26.920 --> 00:00:29.160]  我今晚不會劇透什麼東西
[00:00:29.160 --> 00:00:31.160]  因為我還沒看《蜘蛛俠》
[00:00:31.160 --> 00:00:35.560]  不過相信大家其實無論如何都有看過《魔物獵人世界》的戲
[00:00:35.560 --> 00:00:38.880]  不過我不知道你看過《復和者聯盟》也好
[00:00:38.880 --> 00:00:41.000]  或者其他《魔物獵人世界》的戲的時候
[00:00:41.000 --> 00:00:43.080]  不知道你看這些戲的時候
[00:00:43.080 --> 00:00:45.400]  最吸引你的是什麼地方呢?
[00:00:45.400 --> 00:00:48.160]  我自己看《魔物獵人世界》的時候
[00:00:48.160 --> 00:00:50.200]  最吸引我的地方就是
[00:00:50.200 --> 00:00:54.240]  當你覺得每一個英雄都很厲害的時候
[00:00:54.240 --> 00:00:55.840]  很英雄主義的時候
[00:00:55.840 --> 00:00:57.560]  但往往當你看《魔物獵人世界》的時候
[00:00:57.560 --> 00:00:59.640]  確實每一個英雄在他生命裡面
[00:00:59.640 --> 00:01:01.480]  他都面對著很多不同的掙扎
[00:01:01.480 --> 00:01:04.480]  他面對著要跟很多自己的陰暗面
[00:01:04.480 --> 00:01:06.360]  以及自己的心魔去搏鬥
[00:01:06.360 --> 00:01:09.440]  正正就是因為這些人性的掙扎
[00:01:09.440 --> 00:01:11.720]  往往都是看《魔物獵人世界》的戲
[00:01:11.720 --> 00:01:13.800]  往往最吸引我們的地方
[00:01:13.800 --> 00:01:16.240]  因為我們好像也會有一種共鳴
[00:01:16.240 --> 00:01:17.760]  因為我們在生命裡面
[00:01:17.760 --> 00:01:21.280]  其實同樣都會面對著很多這些不同的掙扎
[00:01:21.280 --> 00:01:23.560]  或者我們會問的是
[00:01:23.560 --> 00:01:25.400]  人生這麼多掙扎
[00:01:25.400 --> 00:01:27.080]  這些掙扎有時候可能
[00:01:27.080 --> 00:01:29.720]  我們會說這些好像都是我們的心魔
[00:01:29.720 --> 00:01:34.320]  讓我們生命很多時候都不能夠去展現信仰
[00:01:34.320 --> 00:01:37.560]  甚至被很多黑暗的勢力去吞噬
[00:01:37.560 --> 00:01:39.880]  甚至讓我們不能夠去擁抱
[00:01:39.880 --> 00:01:41.920]  就是福音這個使命的時候
[00:01:41.920 --> 00:01:44.280]  經常都會覺得好像自己有生命
[00:01:44.280 --> 00:01:45.680]  有很多事情都還沒搞定
[00:01:45.680 --> 00:01:47.680]  很難去跟別人分享信仰
[00:01:47.680 --> 00:01:49.720]  但是第一次會很想
[00:01:49.720 --> 00:01:51.600]  你先去想一想的就是
